signal_date,execution_date,strategy,rank,symbol,name,industry,rank_score,raw_effective_weight,adjusted_target_weight,locked,skipped_by_position_cap,adaptive_role,adaptive_underlying_strategy,adaptive_reason
2025-06-03,2025-06-04,adaptive_style_switch,1,603056,德邦股份,仓储物流,81.76,0.2,0.2,0,0,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-03,2025-06-04,adaptive_style_switch,2,002907,华森制药,中成药,81.66,0.2,0.2,0,0,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-03,2025-06-04,adaptive_style_switch,3,002023,海特高新,航空,80.7,0.2,0.2,0,0,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-03,2025-06-04,adaptive_style_switch,4,600415,小商品城,商品城,78.98,0.2,0.2,0,0,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-03,2025-06-04,adaptive_style_switch,5,002389,航天彩虹,航空,78.28,0.2,0.2,0,0,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-04,2025-06-05,adaptive_style_switch,1,002250,联化科技,化工原料,84.15,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-04,2025-06-05,adaptive_style_switch,2,002580,圣阳股份,电气设备,81.69,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-04,2025-06-05,adaptive_style_switch,3,002177,御银股份,其他商业,81.43,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-04,2025-06-05,adaptive_style_switch,4,300530,领湃科技,电气设备,79.83,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-04,2025-06-05,adaptive_style_switch,5,002961,瑞达期货,多元金融,79.47,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-05,2025-06-06,adaptive_style_switch,1,002177,御银股份,其他商业,82.56,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-05,2025-06-06,adaptive_style_switch,2,002657,中科金财,软件服务,81.53,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-05,2025-06-06,adaptive_style_switch,3,301027,华蓝集团,建筑工程,81.35,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-05,2025-06-06,adaptive_style_switch,4,603093,南华期货,多元金融,79.05,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-05,2025-06-06,adaptive_style_switch,5,300849,锦盛新材,塑料,78.76,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-06,2025-06-09,adaptive_style_switch,1,603093,南华期货,多元金融,81.16,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-06,2025-06-09,adaptive_style_switch,2,600106,重庆路桥,路桥,81.06,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-06,2025-06-09,adaptive_style_switch,3,600938,中国海油,石油开采,81.03,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-06,2025-06-09,adaptive_style_switch,4,300651,金陵体育,文教休闲,81.03,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-06,2025-06-09,adaptive_style_switch,5,300530,领湃科技,电气设备,80.82,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-09,2025-06-10,adaptive_style_switch,1,603226,菲林格尔,家居用品,80.6,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-09,2025-06-10,adaptive_style_switch,2,605099,共创草坪,文教休闲,79.35,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-09,2025-06-10,adaptive_style_switch,3,600567,山鹰国际,造纸,78.53,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-09,2025-06-10,adaptive_style_switch,4,000981,山子高科,汽车配件,78.51,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-09,2025-06-10,adaptive_style_switch,5,300530,领湃科技,电气设备,78.18,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-10,2025-06-11,adaptive_style_switch,1,002951,金时科技,广告包装,81.52,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-10,2025-06-11,adaptive_style_switch,2,002826,易明医药,化学制药,80.31,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
2025-06-10,2025-06-11,adaptive_style_switch,3,603308,应流股份,机械基件,80.14,0.2,0.0,0,1,fallback,baseline_full_score,fallback_insufficient_completed_history
