strategy,signal_date,desired_role,active_role,selected_strategy,reason,switch_blocked,current_role_days_before,market_amount_ratio_20,index_bucket,market_bs_ratio,market_avg_score,data_cutoff_date,completed_history_rule,attack_short_count,attack_short_avg_ret,attack_count,attack_avg_ret,attack_win_rate,attack_max_drawdown,balanced_count,balanced_avg_ret,balanced_win_rate,balanced_max_drawdown,defensive_count,defensive_avg_ret,defensive_win_rate,defensive_max_drawdown,fallback_count,fallback_avg_ret,fallback_win_rate,fallback_max_drawdown,current_role_days_after
adaptive_style_switch,2025-01-02,fallback,fallback,baseline_full_score,fallback_insufficient_completed_history,0,0,0.8927091848794827,index_neutral,0.0,35.84311010439236,2025-01-02,exit_date < signal_date,0,,0,,,,0,,,,0,,,,0,,,,1
adaptive_style_switch,2025-01-03,fallback,fallback,baseline_full_score,fallback_insufficient_completed_history,0,1,0.818212703044766,index_neutral,0.0,34.873218503937004,2025-01-03,exit_date < signal_date,0,,0,,,,0,,,,0,,,,0,,,,2
adaptive_style_switch,2025-01-06,defensive,fallback,baseline_full_score,hold_min_state_3_days,1,2,0.7006020678853947,index_weak,0.0,33.96776377952756,2025-01-06,exit_date < signal_date,0,,0,,,,0,,,,0,,,,0,,,,3
adaptive_style_switch,2025-01-07,defensive,defensive,baseline_full_liquidity_detail,defensive_low_liquidity_weak_index_or_attack_failed,0,3,0.726185579603213,index_weak,0.0,33.9764010232192,2025-01-07,exit_date < signal_date,0,,0,,,,0,,,,0,,,,0,,,,1
adaptive_style_switch,2025-01-08,fallback,defensive,baseline_full_liquidity_detail,hold_min_state_3_days,1,1,0.8666592597313025,index_weak,0.0,34.61219795356159,2025-01-08,exit_date < signal_date,0,,0,,,,0,,,,0,,,,0,,,,2
adaptive_style_switch,2025-01-09,defensive,defensive,baseline_full_liquidity_detail,defensive_low_liquidity_weak_index_or_attack_failed,0,2,0.7967251820268352,index_weak,0.0,34.16610466260082,2025-01-09,exit_date < signal_date,0,,0,,,,0,,,,0,,,,0,,,,3
adaptive_style_switch,2025-01-10,fallback,fallback,baseline_full_score,fallback_insufficient_completed_history,0,3,0.8420326215124452,index_weak,0.0,34.49298387096775,2025-01-10,exit_date < signal_date,0,,0,,,,0,,,,0,,,,0,,,,1
adaptive_style_switch,2025-01-13,defensive,fallback,baseline_full_score,hold_min_state_3_days,1,1,0.7367274512671362,index_weak,0.0,34.18471872541306,2025-01-13,exit_date < signal_date,0,,0,,,,0,,,,0,,,,0,,,,2
adaptive_style_switch,2025-01-14,fallback,fallback,baseline_full_score,fallback_insufficient_completed_history,0,2,1.0485484775445586,index_neutral,0.0,37.012958521722034,2025-01-14,exit_date < signal_date,0,,0,,,,0,,,,0,,,,0,,,,3
adaptive_style_switch,2025-01-15,fallback,fallback,baseline_full_score,fallback_insufficient_completed_history,0,3,0.9371554725068212,index_neutral,0.0,36.2448300255453,2025-01-15,exit_date < signal_date,0,,0,,,,0,,,,0,,,,0,,,,4
adaptive_style_switch,2025-01-16,fallback,fallback,baseline_full_score,fallback_insufficient_completed_history,0,4,1.0032824254838681,index_neutral,0.0,37.05511691884457,2025-01-16,exit_date < signal_date,0,,0,,,,0,,,,0,,,,0,,,,5
adaptive_style_switch,2025-01-17,fallback,fallback,baseline_full_score,fallback_insufficient_completed_history,0,5,0.9039695713661687,index_neutral,0.0,37.2337708783651,2025-01-17,exit_date < signal_date,1,-0.03717402978721008,1,-0.03717402978721008,0.0,0.0,1,-0.15293079477735047,0.0,0.0,1,-0.022772149050951172,0.0,0.0,1,-0.05514568444934425,0.0,0.0,6
adaptive_style_switch,2025-01-20,fallback,fallback,baseline_full_score,fallback_insufficient_completed_history,0,6,0.9515716211025039,index_neutral,0.0,38.789300314465414,2025-01-20,exit_date < signal_date,2,0.019991498986537053,2,0.019991498986537053,0.5,0.0,2,-0.11572115596582606,0.0,-0.0785115171543016,2,-0.011593473149252742,0.0,-0.00041479724755433267,2,-0.06121891544203223,0.0,-0.06729214643472026,7
