signal_date,execution_date,strategy,rank,symbol,name,industry,rank_score,raw_effective_weight,adjusted_target_weight,locked,skipped_by_position_cap
2025-06-03,2025-06-04,tiered_liquidity_then_bs_v2_industry_cap2,1,600521,华海药业,化学制药,73.35,0.2,0.2,0,0
2025-06-03,2025-06-04,tiered_liquidity_then_bs_v2_industry_cap2,2,002389,航天彩虹,航空,72.33,0.2,0.2,0,0
2025-06-03,2025-06-04,tiered_liquidity_then_bs_v2_industry_cap2,3,600415,小商品城,商品城,71.85,0.2,0.2,0,0
2025-06-03,2025-06-04,tiered_liquidity_then_bs_v2_industry_cap2,4,300468,四方精创,软件服务,71.3,0.2,0.2,0,0
2025-06-03,2025-06-04,tiered_liquidity_then_bs_v2_industry_cap2,5,002311,海大集团,饲料,70.49,0.2,0.2,0,0
2025-06-04,2025-06-05,tiered_liquidity_then_bs_v2_industry_cap2,1,002250,联化科技,化工原料,77.12,0.2,0.0,0,1
2025-06-04,2025-06-05,tiered_liquidity_then_bs_v2_industry_cap2,2,002580,圣阳股份,电气设备,75.3,0.2,0.0,0,1
2025-06-04,2025-06-05,tiered_liquidity_then_bs_v2_industry_cap2,3,000657,中钨高新,小金属,74.26,0.2,0.0,0,1
2025-06-04,2025-06-05,tiered_liquidity_then_bs_v2_industry_cap2,4,002550,千红制药,生物制药,72.77,0.2,0.0,0,1
2025-06-04,2025-06-05,tiered_liquidity_then_bs_v2_industry_cap2,5,300394,天孚通信,通信设备,72.65,0.2,0.0,0,1
2025-06-05,2025-06-06,tiered_liquidity_then_bs_v2_industry_cap2,1,002177,御银股份,其他商业,75.49,0.2,0.0,0,1
2025-06-05,2025-06-06,tiered_liquidity_then_bs_v2_industry_cap2,2,300308,中际旭创,通信设备,72.17,0.2,0.0,0,1
2025-06-05,2025-06-06,tiered_liquidity_then_bs_v2_industry_cap2,3,300394,天孚通信,通信设备,71.93,0.2,0.0,0,1
2025-06-05,2025-06-06,tiered_liquidity_then_bs_v2_industry_cap2,4,002657,中科金财,软件服务,71.78,0.2,0.0,0,1
2025-06-05,2025-06-06,tiered_liquidity_then_bs_v2_industry_cap2,5,002463,沪电股份,元器件,71.77,0.2,0.0,0,1
2025-06-06,2025-06-09,tiered_liquidity_then_bs_v2_industry_cap2,1,002250,联化科技,化工原料,75.51,0.2,0.0,0,1
2025-06-06,2025-06-09,tiered_liquidity_then_bs_v2_industry_cap2,2,300394,天孚通信,通信设备,73.53,0.2,0.0,0,1
2025-06-06,2025-06-09,tiered_liquidity_then_bs_v2_industry_cap2,3,300530,领湃科技,电气设备,73.17,0.2,0.0,0,1
2025-06-06,2025-06-09,tiered_liquidity_then_bs_v2_industry_cap2,4,002104,恒宝股份,通信设备,71.46,0.2,0.0,0,1
2025-06-06,2025-06-09,tiered_liquidity_then_bs_v2_industry_cap2,5,000426,兴业银锡,铅锌,71.3,0.2,0.0,0,1
2025-06-09,2025-06-10,tiered_liquidity_then_bs_v2_industry_cap2,1,600521,华海药业,化学制药,73.08,0.2,0.0,1,0
2025-06-09,2025-06-10,tiered_liquidity_then_bs_v2_industry_cap2,2,000426,兴业银锡,铅锌,72.28,0.2,0.0,0,1
2025-06-09,2025-06-10,tiered_liquidity_then_bs_v2_industry_cap2,3,000981,山子高科,汽车配件,71.05,0.2,0.0,0,1
2025-06-09,2025-06-10,tiered_liquidity_then_bs_v2_industry_cap2,4,300584,海辰药业,化学制药,70.9,0.2,0.0,0,1
2025-06-09,2025-06-10,tiered_liquidity_then_bs_v2_industry_cap2,5,300530,领湃科技,电气设备,70.87,0.2,0.0,0,1
2025-06-10,2025-06-11,tiered_liquidity_then_bs_v2_industry_cap2,1,600521,华海药业,化学制药,74.56,0.2,0.0,1,0
2025-06-10,2025-06-11,tiered_liquidity_then_bs_v2_industry_cap2,2,002250,联化科技,化工原料,72.9,0.2,0.0,0,1
2025-06-10,2025-06-11,tiered_liquidity_then_bs_v2_industry_cap2,3,300723,一品红,化学制药,72.84,0.2,0.0,0,1
2025-06-10,2025-06-11,tiered_liquidity_then_bs_v2_industry_cap2,4,002292,奥飞娱乐,影视音像,71.67,0.2,0.0,0,1
2025-06-10,2025-06-11,tiered_liquidity_then_bs_v2_industry_cap2,5,002471,中超控股,电气设备,71.18,0.2,0.0,0,1
2025-06-11,2025-06-12,tiered_liquidity_then_bs_v2_industry_cap2,1,002558,巨人网络,互联网,74.19,0.2,0.0,0,1
