signal_date,exit_date,role,underlying_strategy,cycle_ret,selected_count
2023-01-03,2023-01-19,attack,tiered_liquidity_then_bs_v2,-0.08663012554461777,5
2023-01-03,2023-01-19,balanced,baseline_full_dynamic_factor_industry_cap2,-0.07987768859171171,5
2023-01-03,2023-01-19,defensive,baseline_full_liquidity_detail,0.05473732221670179,5
2023-01-03,2023-01-19,fallback,baseline_full_score,-0.14442601490587656,5
2023-01-04,2023-01-20,attack,tiered_liquidity_then_bs_v2,-0.010188809056513318,5
2023-01-04,2023-01-20,balanced,baseline_full_dynamic_factor_industry_cap2,-0.06303917282056455,5
2023-01-04,2023-01-20,defensive,baseline_full_liquidity_detail,-0.0037703516391701455,5
2023-01-04,2023-01-20,fallback,baseline_full_score,-0.06296718386290551,5
2023-01-05,2023-01-30,attack,tiered_liquidity_then_bs_v2,-0.02566543034733906,5
2023-01-05,2023-01-30,balanced,baseline_full_dynamic_factor_industry_cap2,0.03304407875772129,5
2023-01-05,2023-01-30,defensive,baseline_full_liquidity_detail,0.08481407143477493,5
2023-01-05,2023-01-30,fallback,baseline_full_score,-0.07002776006938549,5
2023-01-06,2023-01-31,attack,tiered_liquidity_then_bs_v2,0.04174358522139338,5
2023-01-06,2023-01-31,balanced,baseline_full_dynamic_factor_industry_cap2,0.013817994124246093,5
2023-01-06,2023-01-31,defensive,baseline_full_liquidity_detail,0.09030157170402023,5
2023-01-06,2023-01-31,fallback,baseline_full_score,0.033983341802004643,5
2023-01-09,2023-02-01,attack,tiered_liquidity_then_bs_v2,0.05260521232152121,5
2023-01-09,2023-02-01,balanced,baseline_full_dynamic_factor_industry_cap2,-0.01115735941863485,5
2023-01-09,2023-02-01,defensive,baseline_full_liquidity_detail,0.06799594295721101,5
2023-01-09,2023-02-01,fallback,baseline_full_score,0.08951232760395378,5
2023-01-10,2023-02-02,attack,tiered_liquidity_then_bs_v2,-0.01560972513795627,5
2023-01-10,2023-02-02,balanced,baseline_full_dynamic_factor_industry_cap2,-0.028369559927950067,5
2023-01-10,2023-02-02,defensive,baseline_full_liquidity_detail,0.06553124442623773,5
2023-01-10,2023-02-02,fallback,baseline_full_score,0.05296926223757286,5
2023-01-11,2023-02-03,attack,tiered_liquidity_then_bs_v2,-0.06683662701162793,5
2023-01-11,2023-02-03,balanced,baseline_full_dynamic_factor_industry_cap2,-0.08668829210120367,5
2023-01-11,2023-02-03,defensive,baseline_full_liquidity_detail,0.05881374567134877,5
2023-01-11,2023-02-03,fallback,baseline_full_score,0.028177410231655743,5
2023-01-12,2023-02-06,attack,tiered_liquidity_then_bs_v2,-0.02831462877595388,5
2023-01-12,2023-02-06,balanced,baseline_full_dynamic_factor_industry_cap2,-0.11895234377498978,5
2023-01-12,2023-02-06,defensive,baseline_full_liquidity_detail,-0.06305530883308527,5
2023-01-12,2023-02-06,fallback,baseline_full_score,-0.024204069990249953,5
2023-01-13,2023-02-07,attack,tiered_liquidity_then_bs_v2,-0.04024000597493169,5
2023-01-13,2023-02-07,balanced,baseline_full_dynamic_factor_industry_cap2,-0.039730818612308545,5
2023-01-13,2023-02-07,defensive,baseline_full_liquidity_detail,-0.03922817901730734,5
2023-01-13,2023-02-07,fallback,baseline_full_score,-0.05795238780028414,5
2023-01-16,2023-02-08,attack,tiered_liquidity_then_bs_v2,-0.06943791163657415,5
2023-01-16,2023-02-08,balanced,baseline_full_dynamic_factor_industry_cap2,-0.08015116290770935,5
2023-01-16,2023-02-08,defensive,baseline_full_liquidity_detail,0.011144587669855644,5
2023-01-16,2023-02-08,fallback,baseline_full_score,-0.05826355951925265,5
2023-01-17,2023-02-09,attack,tiered_liquidity_then_bs_v2,-0.0347586232424332,5
2023-01-17,2023-02-09,balanced,baseline_full_dynamic_factor_industry_cap2,-0.08946443708860892,5
2023-01-17,2023-02-09,defensive,baseline_full_liquidity_detail,0.01161346919649835,5
2023-01-17,2023-02-09,fallback,baseline_full_score,0.05322216489387628,5
2023-01-18,2023-02-10,attack,tiered_liquidity_then_bs_v2,-0.05899654487980496,5
2023-01-18,2023-02-10,balanced,baseline_full_dynamic_factor_industry_cap2,-0.049063858136638466,5
2023-01-18,2023-02-10,defensive,baseline_full_liquidity_detail,0.016388852000954877,5
2023-01-18,2023-02-10,fallback,baseline_full_score,-0.03377309734830715,5
2023-01-19,2023-02-13,attack,tiered_liquidity_then_bs_v2,0.021028928829401817,5
2023-01-19,2023-02-13,balanced,baseline_full_dynamic_factor_industry_cap2,0.009359502642315935,5
2023-01-19,2023-02-13,defensive,baseline_full_liquidity_detail,0.012535378062111958,5
2023-01-19,2023-02-13,fallback,baseline_full_score,0.08104376851921663,5
2023-01-20,2023-02-14,attack,tiered_liquidity_then_bs_v2,-0.05086848200644381,5
2023-01-20,2023-02-14,balanced,baseline_full_dynamic_factor_industry_cap2,-0.041629835420271655,5
2023-01-20,2023-02-14,defensive,baseline_full_liquidity_detail,-0.034710273771959475,5
2023-01-20,2023-02-14,fallback,baseline_full_score,0.02232561294784859,5
2023-01-30,2023-02-15,attack,tiered_liquidity_then_bs_v2,-0.0008394540117287585,5
2023-01-30,2023-02-15,balanced,baseline_full_dynamic_factor_industry_cap2,-0.04985809786282729,5
2023-01-30,2023-02-15,defensive,baseline_full_liquidity_detail,-0.0415024833388401,5
2023-01-30,2023-02-15,fallback,baseline_full_score,-0.01762501892023214,5
2023-01-31,2023-02-16,attack,tiered_liquidity_then_bs_v2,-0.07763566981923928,5
2023-01-31,2023-02-16,balanced,baseline_full_dynamic_factor_industry_cap2,0.006109009514646658,5
2023-01-31,2023-02-16,defensive,baseline_full_liquidity_detail,-0.01017415666023285,5
2023-01-31,2023-02-16,fallback,baseline_full_score,0.012559657265306747,5
2023-02-01,2023-02-17,attack,tiered_liquidity_then_bs_v2,-0.06030193552252912,5
2023-02-01,2023-02-17,balanced,baseline_full_dynamic_factor_industry_cap2,-0.08411694697840508,5
2023-02-01,2023-02-17,defensive,baseline_full_liquidity_detail,-0.024687948600160638,5
2023-02-01,2023-02-17,fallback,baseline_full_score,-0.01833227972534692,5
2023-02-02,2023-02-20,attack,tiered_liquidity_then_bs_v2,0.029502080372400222,5
2023-02-02,2023-02-20,balanced,baseline_full_dynamic_factor_industry_cap2,0.005030756183503527,5
2023-02-02,2023-02-20,defensive,baseline_full_liquidity_detail,0.059077683841472634,5
2023-02-02,2023-02-20,fallback,baseline_full_score,-0.055543455614621665,5
2023-02-03,2023-02-21,attack,tiered_liquidity_then_bs_v2,-0.045769261582825085,5
2023-02-03,2023-02-21,balanced,baseline_full_dynamic_factor_industry_cap2,0.014881711974928623,5
2023-02-03,2023-02-21,defensive,baseline_full_liquidity_detail,-0.018363211555391026,5
2023-02-03,2023-02-21,fallback,baseline_full_score,0.12066648016917178,5
2023-02-06,2023-02-22,attack,tiered_liquidity_then_bs_v2,0.04775786898603763,5
