strategy,trade_date,symbol,name,industry,side,price,shares,gross_amount,cost,cash_after,reason
tiered_liquidity_then_bs_v2,2023-01-04,002252,上海莱士,生物制药,BUY,6.7736,14700,99571.92,74.67894,400353.40106,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-01-04,002531,天顺风能,电气设备,BUY,16.535,6000,99210.0,74.4075,301068.99356,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-01-04,002640,跨境通,互联网,BUY,5.67,17600,99792.0,74.84400000000001,201202.14956,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-01-04,002820,桂发祥,食品,BUY,14.8666,6700,99606.22,74.704665,101521.22489499999,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-01-04,300413,芒果超媒,影视音像,BUY,32.231,3100,99916.1,74.93707500000001,1530.187819999992,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-01-16,002820,桂发祥,食品,SELL,12.615,6700,84520.5,63.390375,85987.29744499999,hard_stop_loss_15.0pct
tiered_liquidity_then_bs_v2,2023-01-16,000568,泸州老窖,白酒,BUY,278.9146,300,83674.38,62.755785,2250.1616599999834,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-01-18,002252,上海莱士,生物制药,SELL,6.4773,14700,95216.31,71.4122325,97395.05942749997,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-01-18,002531,天顺风能,电气设备,SELL,15.7659,6000,94595.40000000001,70.94655,191919.51287749998,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-01-18,002640,跨境通,互联网,SELL,5.18,17600,91168.0,68.376,283019.1368775,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-01-18,300413,芒果超媒,影视音像,SELL,32.0775,3100,99440.25,74.58018750000001,382384.80669,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-01-18,000400,许继电气,电气设备,BUY,23.7781,4000,95112.4,71.3343,287201.07239,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-01-18,000630,铜陵有色,铜,BUY,3.7595,25400,95491.3,71.618475,191638.15391499997,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-01-18,002271,东方雨虹,其他建材,BUY,49.4849,1900,94021.31000000001,70.5159825,97546.32793249996,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-01-18,603986,兆易创新,半导体,BUY,119.99,700,83993.0,62.99475,13490.333182499962,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-02-06,000568,泸州老窖,白酒,SELL,260.0022,300,78000.66,58.500495,91432.49268749997,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-02-06,603881,数据港,软件服务,BUY,67.2704,1300,87451.51999999999,65.58864,3915.3840474999743,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-02-08,000400,许继电气,电气设备,SELL,23.1634,4000,92653.59999999999,69.4902,96499.49384749997,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-02-08,000630,铜陵有色,铜,SELL,3.7161,25400,94388.94,70.79170500000001,190817.64214249997,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-02-08,002271,东方雨虹,其他建材,SELL,44.775,1900,85072.5,63.804375,275826.33776749996,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-02-08,603986,兆易创新,半导体,SELL,114.8476,700,80393.32,60.294990000000006,356159.36277749995,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-02-08,002155,湖南黄金,黄金,BUY,24.4644,3600,88071.84000000001,66.05388,268021.46889749996,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-02-08,002167,东方锆业,小金属,BUY,9.35,9500,88825.0,66.61875,179129.85014749996,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-02-08,002558,巨人网络,互联网,BUY,11.1566,7900,88137.14,66.102855,90926.60729249996,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-02-08,300418,昆仑万维,互联网,BUY,20.9146,4200,87841.32,65.88099000000001,3019.4063024999487,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-02-20,603881,数据港,软件服务,SELL,64.0282,1300,83236.66,62.427495,86193.63880749996,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-02-20,002261,拓维信息,软件服务,BUY,9.95,8600,85570.0,64.1775,559.4613074999506,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-02-22,002155,湖南黄金,黄金,SELL,24.1314,3600,86873.04,65.15478,87367.34652749995,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-02-22,002167,东方锆业,小金属,SELL,8.96,9500,85120.00000000001,63.84000000000001,172423.50652749997,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-02-22,002558,巨人网络,互联网,SELL,11.1777,7900,88303.83,66.2278725,260661.10865499996,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-02-22,300418,昆仑万维,互联网,SELL,23.3787,4200,98190.54,73.642905,358778.00574999995,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-02-22,000425,徐工机械,工程机械,BUY,7.7068,11600,89398.88,67.04916,269312.07658999995,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-02-22,601699,潞安环能,煤炭开采,BUY,29.3565,3000,88069.5,66.052125,181176.52446499997,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-02-22,601728,中国电信,电信运营,BUY,6.7505,13200,89106.59999999999,66.82995,92003.09451499998,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-02-22,603993,洛阳钼业,小金属,BUY,6.5248,13700,89389.76,67.04232,2546.2921949999873,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-03-06,002261,拓维信息,软件服务,SELL,11.61,8600,99846.0,74.8845,102317.40769499999,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-03-06,002649,博彦科技,软件服务,BUY,17.5304,5800,101676.32,76.25724000000001,564.8304549999739,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-03-08,000425,徐工机械,工程机械,SELL,7.6746,11600,89025.36,66.76902,89523.42143499997,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-03-08,601699,潞安环能,煤炭开采,SELL,28.9755,3000,86926.5,65.194875,176384.72655999998,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-03-08,601728,中国电信,电信运营,SELL,6.919,13200,91330.79999999999,68.4981,267647.02845999994,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-03-08,603993,洛阳钼业,小金属,SELL,6.2268,13700,85307.16,63.98037,352890.20809,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-03-08,600028,中国石化,石油加工,BUY,6.0041,14700,88260.27,66.19520250000001,264563.7428875,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-03-08,600938,中国海油,石油开采,BUY,20.8865,4200,87723.3,65.79247500000001,176774.65041249996,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-03-08,601088,中国神华,煤炭开采,BUY,35.6213,2400,85491.12,64.11834,91219.41207249997,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-03-08,601857,中国石油,石油开采,BUY,6.5078,13500,87855.29999999999,65.89147499999999,3298.2205974999815,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-03-20,002649,博彦科技,软件服务,SELL,16.8487,5800,97722.46,73.29184500000001,100947.38875249999,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-03-20,603888,新华网,互联网,BUY,35.201,2800,98562.8,73.9221,2310.666652499989,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-03-22,600028,中国石化,石油加工,SELL,6.4678,14700,95076.66,71.307495,97316.01915749999,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-03-22,600938,中国海油,石油开采,SELL,19.7811,4200,83080.62,62.310465,180334.32869249998,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-03-22,601088,中国神华,煤炭开采,SELL,35.4972,2400,85193.28,63.89496,265463.7137325,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-03-22,601857,中国石油,石油开采,SELL,6.6837,13500,90229.95,67.6724625,355625.99127,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-03-22,300002,神州泰岳,互联网,BUY,7.9829,11100,88610.19,66.4576425,266949.3436275,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-03-22,300418,昆仑万维,互联网,BUY,29.5389,3000,88616.70000000001,66.46252500000001,178266.1811025,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-03-22,600633,浙数文化,互联网,BUY,12.0902,7300,88258.45999999999,66.193845,89941.52725750001,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-03-22,603083,剑桥科技,通信设备,BUY,27.3652,3200,87568.64,65.67648,2307.2107775000186,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-04-04,603888,新华网,互联网,SELL,40.3189,2800,112892.92,84.66969,115115.46108750002,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-04-04,002517,恺英网络,互联网,BUY,13.4335,8500,114184.75,85.6385625,845.072525000025,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-04-06,300002,神州泰岳,互联网,SELL,10.505,11100,116605.50000000001,87.45412500000002,117363.11840000004,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-04-06,300418,昆仑万维,互联网,SELL,48.2298,3000,144689.4,108.51705,261944.00135000004,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-04-06,600633,浙数文化,互联网,SELL,13.8938,7300,101424.74,76.068555,363292.672795,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-04-06,603083,剑桥科技,通信设备,SELL,44.7702,3200,143264.64,107.44848000000002,506449.864315,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-04-06,002351,漫步者,IT设备,BUY,18.9191,6600,124866.06,93.649545,381490.15477,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-04-06,002463,沪电股份,元器件,BUY,24.257,5200,126136.40000000001,94.60230000000001,255259.15247000003,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-04-06,002558,巨人网络,互联网,BUY,15.3456,8200,125833.92,94.37544,129330.85703000003,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-04-06,600703,三安光电,半导体,BUY,22.1504,5700,126257.28000000001,94.69296000000001,2978.8840700000146,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-04-11,002351,漫步者,IT设备,SELL,14.968,6600,98788.8,74.0916,101693.59247000002,hard_stop_loss_15.0pct
tiered_liquidity_then_bs_v2,2023-04-11,603501,豪威集团,半导体,BUY,106.8999,900,96209.91,72.1574325,5411.525037500018,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-04-19,002517,恺英网络,互联网,SELL,13.4542,8500,114360.7,85.770525,119686.45451250001,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-04-19,002351,漫步者,IT设备,BUY,19.2327,6200,119242.74,89.432055,354.28245750001224,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-04-20,002463,沪电股份,元器件,SELL,24.7139,5200,128512.28,96.38421,128770.1782475,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-04-20,002558,巨人网络,互联网,SELL,15.0088,8200,123072.16,92.30412,251750.03412750002,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-04-20,600703,三安光电,半导体,SELL,20.1367,5700,114779.19,86.0843925,366443.13973500003,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-04-20,300053,航宇微,半导体,BUY,13.0,9400,122200.0,91.65,244151.48973500004,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-04-20,601168,西部矿业,铜,BUY,17.294,7000,121058.0,90.79350000000001,123002.69623500004,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-04-20,603019,中科曙光,IT设备,BUY,52.027,2300,119662.1,89.746575,3250.8496600000362,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-04-25,603501,豪威集团,半导体,SELL,91.9184,900,82726.56,62.04492,85915.36474000003,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-04-25,002517,恺英网络,互联网,BUY,16.3003,5200,84761.56,63.57117,1090.2335700000403,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-04-28,300053,航宇微,半导体,SELL,10.56,9400,99264.0,74.44800000000001,100279.78557000004,hard_stop_loss_15.0pct
tiered_liquidity_then_bs_v2,2023-04-28,300031,宝通科技,互联网,BUY,26.1986,3800,99554.68,74.66601,650.4395600000425,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-05-08,002351,漫步者,IT设备,SELL,23.4137,6200,145164.94,108.873705,145706.50585500005,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-05-08,600629,华建集团,建筑工程,BUY,12.1281,12000,145537.2,109.15290000000002,60.152955000055954,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-05-09,601168,西部矿业,铜,SELL,16.5576,7000,115903.20000000001,86.9274,115876.42555500007,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-05-09,603019,中科曙光,IT设备,SELL,50.8076,2300,116857.48,87.64311,232646.26244500006,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-05-09,601881,中国银河,证券,BUY,14.4531,8000,115624.79999999999,86.7186,116934.74384500008,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-05-09,603533,掌阅科技,互联网,BUY,32.3959,3500,113385.65,85.0392375,3464.0546075000893,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-05-11,600629,华建集团,建筑工程,SELL,10.2728,12000,123273.6,92.4552,126645.1994075001,hard_stop_loss_15.0pct
tiered_liquidity_then_bs_v2,2023-05-11,002941,新疆交建,建筑工程,BUY,21.6515,5800,125578.7,94.184025,972.3153825001064,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-05-12,002517,恺英网络,互联网,SELL,16.8798,5200,87774.95999999999,65.83122,88681.4441625001,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-05-12,002354,天娱数科,互联网,BUY,7.38,12000,88560.0,66.42,55.024162500107195,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-05-15,002941,新疆交建,建筑工程,SELL,18.1831,5800,105461.98,79.096485,105437.9076775001,hard_stop_loss_15.0pct
tiered_liquidity_then_bs_v2,2023-05-15,600795,国电电力,火力发电,BUY,4.6985,22400,105246.40000000001,78.93480000000001,112.57287750008982,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-05-17,603533,掌阅科技,互联网,SELL,25.8458,3500,90460.3,67.845225,90505.0276525001,hard_stop_loss_15.0pct
tiered_liquidity_then_bs_v2,2023-05-17,002354,天娱数科,互联网,SELL,6.23,12000,74760.0,56.07,165208.95765250007,hard_stop_loss_15.0pct
tiered_liquidity_then_bs_v2,2023-05-17,300031,宝通科技,互联网,SELL,24.5448,300,7363.44,5.52258,172566.8750725001,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-05-17,300573,兴齐眼药,化学制药,BUY,507.0119,100,50701.19,38.025892500000005,121827.65918000008,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-05-17,603606,东方电缆,电气设备,BUY,54.0134,1500,81020.09999999999,60.765074999999996,40746.79410500008,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-05-18,300031,宝通科技,互联网,SELL,26.239,3500,91836.5,68.877375,132514.41673000008,rebalance_unlocked
tiered_liquidity_then_bs_v2,2023-05-18,300288,朗玛信息,软件服务,BUY,25.1491,5200,130775.32,98.08149,1641.0152400000807,rebalance_unlocked
