strategy,trade_date,last_signal_date,cash,market_value,total_equity,nav,position_count,gross_exposure,locked_count,locked_value,candidate_count,executed,equity_before,max_total_positions,position_ratio,position_cap_skipped
tiered_liquidity_then_bs_v2,2023-01-04,2023-01-03,253460.67408000003,252583.84000000003,506044.51408000005,1.0120890281600001,5,0.4991336393779566,0,0.0,5,5,500000.0,5.0,0.5,0.0
tiered_liquidity_then_bs_v2,2023-01-05,2023-01-04,253460.67408000003,246922.95,500383.62408000004,1.00076724816,5,0.49346728813116114,5,246760.69,5,0,500221.36408,5.0,0.5,4.0
tiered_liquidity_then_bs_v2,2023-01-06,2023-01-05,253460.67408000003,242304.2,495764.87408000004,0.9915297481600001,5,0.4887482205141063,5,239871.75,5,0,493332.42408,5.0,0.5,5.0
tiered_liquidity_then_bs_v2,2023-01-09,2023-01-06,253460.67408000003,238640.08,492100.75408,0.98420150816,5,0.484941504400143,5,237962.76,5,0,491423.43408000004,5.0,0.5,5.0
tiered_liquidity_then_bs_v2,2023-01-10,2023-01-09,253460.67408000003,240160.83,493621.50408,0.98724300816,5,0.4865282975214097,5,237581.49,5,0,491042.16408,5.0,0.5,5.0
tiered_liquidity_then_bs_v2,2023-01-11,2023-01-10,253460.67408000003,237678.34,491139.01408,0.98227802816,5,0.48393292568137414,5,238448.36000000002,5,0,491909.03408,5.0,0.5,5.0
tiered_liquidity_then_bs_v2,2023-01-12,2023-01-11,253460.67408000003,240493.55,493954.22408,0.98790844816,5,0.48687416419593177,5,237496.84000000003,5,0,490957.51408000005,5.0,0.5,5.0
tiered_liquidity_then_bs_v2,2023-01-13,2023-01-12,253460.67408000003,239157.09,492617.76408,0.98523552816,5,0.4854820662966621,5,239421.49000000002,5,0,492882.16408,5.0,0.5,5.0
tiered_liquidity_then_bs_v2,2023-01-16,2023-01-13,253460.67408000003,232243.76,485704.43408000004,0.97140886816,5,0.47815861603138526,5,234240.64,5,0,487701.31408000004,5.0,0.5,5.0
tiered_liquidity_then_bs_v2,2023-01-17,2023-01-16,253460.67408000003,229902.63,483363.30408000003,0.9667266081600001,5,0.4756311206486405,5,232461.18,5,0,485921.85408,5.0,0.5,5.0
tiered_liquidity_then_bs_v2,2023-01-18,2023-01-17,257920.57681000003,221776.60000000003,479697.1768100001,0.9593943536200001,5,0.46232625648293524,0,0.0,5,10,482018.42408,5.0,0.5,0.0
tiered_liquidity_then_bs_v2,2023-01-19,2023-01-18,257920.57681000003,223982.01,481902.58681,0.9638051736200001,5,0.46478690119235555,5,221571.46,5,0,479492.03681,5.0,0.5,4.0
tiered_liquidity_then_bs_v2,2023-01-20,2023-01-19,257920.57681000003,225103.97000000003,483024.5468100001,0.9660490936200001,5,0.46603008374343696,5,223518.75,5,0,481439.32681,5.0,0.5,5.0
tiered_liquidity_then_bs_v2,2023-01-30,2023-01-20,257920.57681000003,222028.48,479949.05681000004,0.9598981136200001,5,0.4626084307274628,5,227929.05,5,0,485849.62681000005,5.0,0.5,5.0
