strategy,trade_date,symbol,name,industry,shares,entry_date,holding_trade_days,close,market_value,weight
baseline_full_score,2025-12-03,002702,海欣食品,食品,10300,2025-12-03,1,9.64,99292.0,0.1987451128250842
baseline_full_score,2025-12-03,300437,清水源,化工原料,4100,2025-12-03,1,23.27,95407.0,0.1909688089604682
baseline_full_score,2025-12-03,603778,国晟科技,电气设备,7700,2025-12-03,1,12.64,97328.0,0.19481392600652414
baseline_full_score,2025-12-03,603829,洛凯股份,电气设备,3700,2025-12-03,1,27.3,101010.0,0.20218390048001608
baseline_full_score,2025-12-03,688270,臻镭科技,半导体,1500,2025-12-03,1,67.13,100695.0,0.201553389355858
baseline_full_score,2025-12-04,002702,海欣食品,食品,10300,2025-12-03,2,8.68,89404.0,0.18093299478769986
baseline_full_score,2025-12-04,300437,清水源,化工原料,4100,2025-12-03,2,22.01,90241.0,0.18262688898300772
baseline_full_score,2025-12-04,603778,国晟科技,电气设备,7700,2025-12-03,2,12.3,94710.0,0.1916711102002489
baseline_full_score,2025-12-04,603829,洛凯股份,电气设备,3700,2025-12-03,2,29.05,107485.0,0.21752475218956555
baseline_full_score,2025-12-04,688270,臻镭科技,半导体,1500,2025-12-03,2,70.95,106425.0,0.21537955762919955
baseline_full_score,2025-12-05,002702,海欣食品,食品,10300,2025-12-03,3,9.55,98365.00000000001,0.19029584081771586
baseline_full_score,2025-12-05,300437,清水源,化工原料,4100,2025-12-03,3,22.59,92619.0,0.17917969278397827
baseline_full_score,2025-12-05,603778,国晟科技,电气设备,7700,2025-12-03,3,12.88,99176.0,0.1918647924458678
baseline_full_score,2025-12-05,603829,洛凯股份,电气设备,3700,2025-12-03,3,29.09,107633.0,0.20822561108863122
baseline_full_score,2025-12-05,688270,臻镭科技,半导体,1500,2025-12-03,3,75.5,113250.0,0.2190921971494568
baseline_full_score,2025-12-08,002702,海欣食品,食品,10300,2025-12-03,4,10.2,105059.99999999999,0.20148643723155524
baseline_full_score,2025-12-08,300437,清水源,化工原料,4100,2025-12-03,4,21.4,87740.0,0.1682697506443619
baseline_full_score,2025-12-08,603778,国晟科技,电气设备,7700,2025-12-03,4,13.26,102102.0,0.19581351812503575
baseline_full_score,2025-12-08,603829,洛凯股份,电气设备,3700,2025-12-03,4,29.5,109150.0,0.20933033146605995
baseline_full_score,2025-12-08,688270,臻镭科技,半导体,1500,2025-12-03,4,74.34,111510.0,0.21385639268694773
baseline_full_score,2025-12-09,002702,海欣食品,食品,10300,2025-12-03,5,11.06,113918.0,0.2116216842153272
baseline_full_score,2025-12-09,300437,清水源,化工原料,4100,2025-12-03,5,20.27,83107.0,0.15438511306451305
baseline_full_score,2025-12-09,603778,国晟科技,电气设备,7700,2025-12-03,5,13.06,100562.0,0.18681068670501355
