strategy,window,window_start,window_end,periods,total_return,avg_cycle_return,max_drawdown,annualized_volatility,win_rate,avg_gross_exposure
tiered_liquidity_then_bs_v2,3m,2026-03-02,2026-05-19,53,2.572749934825985,0.027791792277813903,-0.6674250698240205,0.42406570345153344,0.6037735849056604,1.0
tiered_liquidity_then_bs_v2,6m,2025-12-02,2026-05-19,109,40.994148586865926,0.03899879878119888,-0.7338721739255429,0.46141507485596095,0.6697247706422018,1.0
tiered_liquidity_then_bs_v2,1y,2025-06-03,2026-05-19,233,123.69171206812797,0.02486351582800471,-0.7338721739255428,0.449712391095172,0.6137339055793991,1.0
tiered_liquidity_then_bs_v2,3y,2023-06-02,2026-05-19,715,-0.999299314703285,-0.0053473316641053275,-0.9999964007712986,0.500543695087367,0.4223776223776224,1.0
baseline_full_liquidity_detail_market_gate,3m,2026-03-02,2026-05-19,53,8.463587214542933,0.04650025375304866,-0.32793451937333773,0.41112735859647814,0.6226415094339622,0.9773584905660376
baseline_full_liquidity_detail_market_gate,6m,2025-12-02,2026-05-19,109,86.95470733301867,0.04687793075051476,-0.7598902014708395,0.5162766972024362,0.6146788990825688,0.9669724770642201
baseline_full_liquidity_detail_market_gate,1y,2025-06-03,2026-05-19,233,338.9817665823819,0.029347199356764872,-0.7957518443369633,0.4621349170379823,0.6008583690987125,0.9776824034334765
baseline_full_liquidity_detail_market_gate,3y,2023-06-02,2026-05-19,715,-0.8816607274666272,0.0005855206244593763,-0.9997451563528884,0.4315355857378407,0.427972027972028,0.9748251748251748
baseline_full_liquidity,3m,2026-03-02,2026-05-19,53,12.437788504328793,0.05249042445246118,-0.10206130807705516,0.34747360475400246,0.7547169811320755,1.0
baseline_full_liquidity,6m,2025-12-02,2026-05-19,109,2.344743654519308,0.013560265810514624,-0.8606944679161691,0.3554227176987057,0.5504587155963303,1.0
baseline_full_liquidity,1y,2025-06-03,2026-05-19,233,5282.150958482519,0.04177957925869102,-0.860694467916169,0.48524920556895246,0.648068669527897,1.0
baseline_full_liquidity,3y,2023-06-02,2026-05-19,715,0.5315814066154803,0.00404516217874422,-0.9998777675760903,0.4274674715092243,0.46853146853146854,1.0
baseline_full_liquidity_detail_vol_position,3m,2026-03-02,2026-05-19,53,8.769170060043047,0.047059557386103984,-0.3189596094252475,0.4073691219477436,0.6415094339622641,0.21227025488030382
baseline_full_liquidity_detail_vol_position,6m,2025-12-02,2026-05-19,109,96.22416129032474,0.047619254742932035,-0.7207013898346999,0.5068022196443162,0.6146788990825688,0.21309995601254647
baseline_full_liquidity_detail_vol_position,1y,2025-06-03,2026-05-19,233,246.85621319356972,0.02766622330618392,-0.7997534453063906,0.4466438321736389,0.5965665236051502,0.2606802586903615
baseline_full_liquidity_detail_vol_position,3y,2023-06-02,2026-05-19,715,-0.03528894906687252,0.0030479218004448717,-0.9973142095574289,0.402778687855557,0.45174825174825173,0.3046345796172134
baseline_full_liquidity_detail_hist_mdd_position,3m,2026-03-02,2026-05-19,53,7.864709095882342,0.04535149391665423,-0.3496752392236724,0.41837612064726903,0.660377358490566,0.8231880995566951
baseline_full_liquidity_detail_hist_mdd_position,6m,2025-12-02,2026-05-19,109,88.07481727119419,0.04753416401912288,-0.7841776370520855,0.5430259973276209,0.6238532110091743,0.8438579119608831
baseline_full_liquidity_detail_hist_mdd_position,1y,2025-06-03,2026-05-19,233,319.14620769046604,0.02937268214707879,-0.7841776370520854,0.4782778213686758,0.6051502145922747,0.8347848834999441
baseline_full_liquidity_detail_hist_mdd_position,3y,2023-06-02,2026-05-19,715,-0.9558336983887394,-0.0004692069540268868,-0.999895457433958,0.44898545500085796,0.42097902097902096,0.7812179236310421
adaptive_market_style_event,3m,2026-03-02,2026-06-02,53,3.370165308803961,0.028993546308276757,-0.05187967485721179,0.20205306925212183,0.7358490566037735,0.5547169811320755
adaptive_market_style_event,6m,2025-12-02,2026-06-02,109,3.1975914054382057,0.014762363517128313,-0.6127983882131038,0.2789473135089199,0.6238532110091743,0.6174311926605505
adaptive_market_style_event,1y,2025-06-03,2026-06-02,233,36.95378005237701,0.017273654597035087,-0.6127983882131036,0.28242581145840845,0.6437768240343348,0.617167381974249
adaptive_market_style_event,3y,2023-06-02,2026-06-02,715,-0.7394102070271171,-0.0007395518900968203,-0.9955907914434245,0.24098782653238676,0.46573426573426574,0.5605594405594405
