strategy,trade_date,last_signal_date,cash,market_value,total_equity,nav,position_count,gross_exposure,locked_count,locked_value,candidate_count,executed,equity_before,max_total_positions,position_ratio,position_cap_skipped,adaptive_role,adaptive_underlying_strategy,adaptive_reason,adaptive_market_amount_ratio_20,adaptive_index_bucket,market_style_state,selected_strategy,style_reason,adaptive_position_scale,adaptive_target_position_ratio,adaptive_position_reason,target_position_ratio
adaptive_market_style,2026-03-03,2026-03-02,328149.2085,164200.0,492349.2085,0.984698417,4,0.3335031257595695,0,0.0,5,4,500000.0,5,0.5,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,1.201198035417065,index_neutral,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,0.5,fallback_data_or_history_cap_50pct,0.5
adaptive_market_style,2026-03-04,2026-03-03,272640.09786750004,215732.74,488372.8378675,0.976745675735,5,0.44173779389944334,4,160938.0,5,1,489087.2085,5,0.5,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,1.248317196065012,index_neutral,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,0.5,fallback_data_or_history_cap_50pct,0.5
adaptive_market_style,2026-03-05,2026-03-04,272640.09786750004,221165.87,493805.96786750003,0.9876119357350001,5,0.4478801075554115,5,221495.75,5,0,494135.84786750004,5,0.5,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.954117274880906,index_neutral,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,0.5,fallback_data_or_history_cap_50pct,0.5
adaptive_market_style,2026-03-06,2026-03-05,272640.09786750004,217848.5,490488.59786750004,0.9809771957350001,5,0.44414590053090147,5,218784.39,5,0,491424.48786750005,5,0.5,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.9752605813573314,index_neutral,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,0.5,fallback_data_or_history_cap_50pct,0.5
adaptive_market_style,2026-03-09,2026-03-06,272640.09786750004,212393.2,485033.29786750005,0.9700665957350001,5,0.437894059920853,5,208662.5,5,0,481302.59786750004,5,0.5,1,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.9163660778147229,index_neutral,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,0.5,fallback_data_or_history_cap_50pct,0.5
adaptive_market_style,2026-03-10,2026-03-09,272640.09786750004,220421.68,493061.77786750003,0.9861235557350001,5,0.4470467797226693,5,218414.86,5,0,491054.9578675,5,0.5,1,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,1.107119274217464,index_neutral,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,0.5,fallback_data_or_history_cap_50pct,0.5
adaptive_market_style,2026-03-11,2026-03-10,272640.09786750004,218032.59,490672.6878675,0.981345375735,5,0.44435444521598677,5,222215.87,5,0,494855.96786750003,5,0.5,1,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,1.0058809391378283,index_neutral,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,0.5,fallback_data_or_history_cap_50pct,0.5
adaptive_market_style,2026-03-12,2026-03-11,272640.09786750004,212772.24,485412.3378675,0.9708246757350001,5,0.4383329870327258,5,218399.9,5,0,491039.99786750006,5,0.5,1,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,1.0530900964961984,index_neutral,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,0.5,fallback_data_or_history_cap_50pct,0.5
adaptive_market_style,2026-03-13,2026-03-12,272640.09786750004,211037.09,483677.1878675,0.967354375735,5,0.43631805529313517,5,209636.26,5,0,482276.35786750005,5,0.5,1,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,1.0257878254274666,index_neutral,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,0.5,fallback_data_or_history_cap_50pct,0.5
adaptive_market_style,2026-03-16,2026-03-13,272640.09786750004,213496.41999999998,486136.5178675,0.972273035735,5,0.4391696820813407,5,211015.93,5,0,483656.02786750003,5,0.5,1,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,1.003082221707231,index_neutral,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.5,0.5,fallback_data_or_history_cap_50pct,0.5
