strategy,trade_date,last_signal_date,cash,market_value,total_equity,nav,position_count,gross_exposure,locked_count,locked_value,candidate_count,executed,equity_before,max_total_positions,position_ratio,position_cap_skipped,adaptive_role,adaptive_underlying_strategy,adaptive_reason,adaptive_market_amount_ratio_20,adaptive_index_bucket,market_style_state,selected_strategy,style_reason,switch_reason,recent_champion_strategy,champion_score,weekly_switch_allowed,market_state,industry_state,adaptive_position_scale,adaptive_target_position_ratio,adaptive_position_reason,target_position_ratio
adaptive_market_style,2023-01-05,2023-01-04,361029.190005,142632.8,503661.99000499997,1.00732398001,3,0.28319151103418394,0,0.0,5,3,500000.0,5,0.5,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,1.0567738881358764,index_neutral,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,fallback_insufficient_completed_history,baseline_full_liquidity_detail_vol_position,,1.0,index_neutral,normal,0.5,0.5,fallback_data_or_history_cap_50pct,0.5
adaptive_market_style,2023-01-06,2023-01-05,361029.190005,142456.8,503485.99000499997,1.0069719800099999,3,0.28294094141246173,3,142840.18,5,0,503869.370005,5,0.5,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,1.1450144836931995,index_neutral,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,fallback_insufficient_completed_history,baseline_full_liquidity_detail_vol_position,,0.0,index_neutral,normal,0.5,0.5,fallback_data_or_history_cap_50pct,0.5
adaptive_market_style,2023-01-09,2023-01-06,361029.190005,146070.44,507099.630005,1.01419926001,3,0.2880507721895986,3,143864.86,5,0,504894.05000499997,5,0.5,1,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,1.1393120933167395,index_neutral,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,fallback_insufficient_completed_history,baseline_full_liquidity_detail_vol_position,,0.0,index_neutral,normal,0.5,0.5,fallback_data_or_history_cap_50pct,0.5
adaptive_market_style,2023-01-10,2023-01-09,361029.190005,145178.86,506208.05000499997,1.01241610001,3,0.2867968219757983,3,146012.98,5,0,507042.17000499996,5,0.5,1,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,1.1135813776737984,index_neutral,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,fallback_insufficient_completed_history,baseline_full_liquidity_detail_vol_position,,0.0,index_neutral,normal,0.5,0.5,fallback_data_or_history_cap_50pct,0.5
adaptive_market_style,2023-01-11,2023-01-10,361029.190005,145073.22,506102.41000499995,1.01220482001,3,0.2866479533234524,3,145609.76,5,0,506638.950005,5,0.5,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,1.0434940477903671,index_neutral,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,fallback_insufficient_completed_history,baseline_full_liquidity_detail_vol_position,,0.0,index_neutral,normal,0.5,0.5,fallback_data_or_history_cap_50pct,0.5
adaptive_market_style,2023-01-12,2023-01-11,361029.190005,145662.12,506691.310005,1.01338262001,3,0.28747704395909734,3,145238.66,5,0,506267.850005,5,0.5,0,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,1.0417647374981975,index_neutral,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,fallback_insufficient_completed_history,baseline_full_liquidity_detail_vol_position,,1.0,index_neutral,normal,0.5,0.5,fallback_data_or_history_cap_50pct,0.5
adaptive_market_style,2023-01-13,2023-01-12,361029.190005,148170.64,509199.830005,1.01839966001,3,0.2909872141916172,3,145888.76,5,0,506917.950005,5,0.5,1,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.9647761002906378,index_neutral,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,fallback_insufficient_completed_history,baseline_full_liquidity_detail_vol_position,,1.0,index_neutral,normal,0.5,0.5,fallback_data_or_history_cap_50pct,0.5
adaptive_market_style,2023-01-16,2023-01-13,361029.190005,151393.58,512422.77000499994,1.0248455400099998,3,0.29544662895937035,3,148552.84,5,0,509582.03000499995,5,0.5,1,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.999244444389779,index_neutral,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,fallback_insufficient_completed_history,baseline_full_liquidity_detail_vol_position,,1.0,index_neutral,normal,0.5,0.5,fallback_data_or_history_cap_50pct,0.5
adaptive_market_style,2023-01-17,2023-01-16,361029.190005,150380.14,511409.330005,1.02281866001,3,0.29405044291728066,3,151370.03999999998,5,0,512399.23000499996,5,0.5,1,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,1.2902436740862637,index_strong,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,fallback_insufficient_completed_history,baseline_full_liquidity_detail_vol_position,,1.0,index_strong,normal,0.5,0.5,fallback_data_or_history_cap_50pct,0.5
adaptive_market_style,2023-01-18,2023-01-17,361029.190005,150714.82,511744.010005,1.02348802001,3,0.2945121331239958,3,150195.32,5,0,511224.510005,5,0.5,1,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,0.9960424747697851,index_strong,fallback,baseline_full_liquidity,fallback_insufficient_completed_history,fallback_insufficient_completed_history,baseline_full_liquidity_detail_vol_position,,1.0,index_strong,normal,0.5,0.5,fallback_data_or_history_cap_50pct,0.5
