strategy,window,window_start,window_end,trading_days,initial_cash,window_start_equity,window_end_equity,total_return,max_drawdown,annualized_volatility,daily_win_rate,avg_gross_exposure,avg_position_count
production_governed_vol_position,3m,2026-03-18,2026-06-18,63,500000.0,511255.7670525001,606824.4950325002,0.18692938865213105,-0.09063074973634844,0.29173926398552036,0.5396825396825397,0.6743251715549516,4.761904761904762
production_governed_vol_position,6m,2025-12-18,2026-06-18,119,500000.0,423791.71309750003,606824.4950325002,0.43189325387514277,-0.1597195500000007,0.33356445935158524,0.5798319327731093,0.6537904204757774,4.873949579831932
production_governed_vol_position,1y,2025-06-18,2026-06-18,244,500000.0,435765.23072500003,606824.4950325002,0.3925491348240475,-0.18905995125491515,0.3099881634001058,0.5245901639344263,0.6079489980378597,4.872950819672131
production_governed_vol_position,3y,2023-11-30,2026-06-18,616,500000.0,503907.9274625,606824.4950325002,0.20423684955355093,-0.24810418157264202,0.245554981417566,0.48538961038961037,0.5565500253664991,4.900974025974026
production_governed_vol_position_v1_2b_gate_tuned,3m,2026-03-18,2026-06-18,63,500000.0,653277.2754100006,796875.9441375006,0.21981274128566097,-0.10217172640914152,0.3169384155701275,0.5396825396825397,0.6906283239206086,4.7936507936507935
production_governed_vol_position_v1_2b_gate_tuned,6m,2025-12-18,2026-06-18,119,500000.0,456438.59161000047,796875.9441375006,0.7458557597565798,-0.19538662637021909,0.41039768973516066,0.5630252100840336,0.6716032997123175,4.873949579831932
production_governed_vol_position_v1_2b_gate_tuned,1y,2025-06-18,2026-06-18,244,500000.0,415883.6500250004,796875.9441375006,0.916103083373432,-0.19538662637021909,0.35473544173573834,0.5409836065573771,0.6193146767038515,4.881147540983607
production_governed_vol_position_v1_2b_gate_tuned,3y,2023-11-30,2026-06-18,616,500000.0,503907.9274625,796875.9441375006,0.5813919581505349,-0.2551681251242047,0.26611860470600635,0.49188311688311687,0.5666408507459952,4.910714285714286
production_governed_vol_position_v1_2b_dynamic_score,3m,2026-03-18,2026-06-18,63,500000.0,653277.2754100006,796875.9441375006,0.21981274128566097,-0.10217172640914152,0.3169384155701275,0.5396825396825397,0.6906283239206086,4.7936507936507935
production_governed_vol_position_v1_2b_dynamic_score,6m,2025-12-18,2026-06-18,119,500000.0,456438.59161000047,796875.9441375006,0.7458557597565798,-0.19538662637021909,0.41039768973516066,0.5630252100840336,0.6716032997123175,4.873949579831932
production_governed_vol_position_v1_2b_dynamic_score,1y,2025-06-18,2026-06-18,244,500000.0,415883.6500250004,796875.9441375006,0.916103083373432,-0.19538662637021909,0.35473544173573834,0.5409836065573771,0.6193146767038515,4.881147540983607
production_governed_vol_position_v1_2b_dynamic_score,3y,2023-11-30,2026-06-18,616,500000.0,503907.9274625,796875.9441375006,0.5813919581505349,-0.2551681251242047,0.26611860470600635,0.49188311688311687,0.5666408507459952,4.910714285714286
adaptive_market_style,3m,2026-03-18,2026-06-18,63,500000.0,628556.3454525003,713029.1839875004,0.13439183160928514,-0.04272714010395395,0.23131756468265552,0.4603174603174603,0.4140926419783917,4.761904761904762
adaptive_market_style,6m,2025-12-18,2026-06-18,119,500000.0,525900.0391675001,713029.1839875004,0.35582645157476267,-0.17504895979549107,0.29897534231077133,0.48739495798319327,0.43377285518705616,4.80672268907563
adaptive_market_style,1y,2025-06-18,2026-06-18,244,500000.0,498232.0486925002,713029.1839875004,0.43111866420212763,-0.26681531331142183,0.3540903257608709,0.4918032786885246,0.41478726585161496,4.721311475409836
adaptive_market_style,3y,2023-11-30,2026-06-18,616,500000.0,502104.65109000006,713029.1839875004,0.4200808186891163,-0.2668153133114217,0.26242185810221763,0.4837662337662338,0.3779963375781661,4.650974025974026
baseline_full_liquidity_detail_vol_position,3m,2026-03-18,2026-06-18,63,500000.0,442730.2160725003,565791.4186275001,0.2779598005455486,-0.06468861643116319,0.31682947092075364,0.6190476190476191,0.6672248802259596,4.809523809523809
baseline_full_liquidity_detail_vol_position,6m,2025-12-18,2026-06-18,119,500000.0,361924.8760750002,565791.4186275001,0.5632841399668074,-0.20001444338636365,0.3629936300526905,0.5882352941176471,0.6795111917643325,4.873949579831932
baseline_full_liquidity_detail_vol_position,1y,2025-06-18,2026-06-18,244,500000.0,353393.8985800001,565791.4186275001,0.6010220349048221,-0.20001444338636376,0.33396467142012476,0.5491803278688525,0.6809540305965753,4.905737704918033
baseline_full_liquidity_detail_vol_position,3y,2023-11-30,2026-06-18,616,500000.0,503907.9274625,565791.4186275001,0.12280713954357325,-0.3532655531533181,0.2934459402730409,0.4902597402597403,0.6849096006033791,4.943181818181818
