strategy,signal_date,desired_role,active_role,selected_strategy,reason,switch_reason,switch_blocked,weekly_switch_allowed,current_role_days_before,market_state,industry_state,market_amount_ratio_20,index_bucket,market_bs_ratio,market_avg_score,market_liquidity_bucket,avg_vol_20,data_cutoff_date,completed_history_rule,attack_short_count,attack_short_avg_ret,industry_concentration_high,attack_drawdown_expanded,recent_champion_role,recent_champion_strategy,champion_score,champion_eligible,champion_reason,avg_s_liquidity,avg_relative_amount,avg_amount_ratio_5_20,avg_low_impact_cost,avg_amount_stability,median_hist_mdd_20,top_industry,top_industry_weight,industry_count,attack_count,attack_avg_ret,attack_win_rate,attack_max_drawdown,attack_total_return,recent_champion_count,recent_champion_avg_ret,recent_champion_win_rate,recent_champion_max_drawdown,recent_champion_total_return,balanced_count,balanced_avg_ret,balanced_win_rate,balanced_max_drawdown,balanced_total_return,robust_count,robust_avg_ret,robust_win_rate,robust_max_drawdown,robust_total_return,defensive_count,defensive_avg_ret,defensive_win_rate,defensive_max_drawdown,defensive_total_return,fallback_count,fallback_avg_ret,fallback_win_rate,fallback_max_drawdown,fallback_total_return,current_role_days_after,market_style_state,risk_governor_primary_strategy,risk_decision,target_position_ratio,adaptive_target_position_ratio,fallback_strategy,allow_new_buys,risk_governor_reasons,risk_governor_version,recovery_status,governed_nav_ret_10d,governed_nav_drawdown_20d,recovery_streak,champion_score_floor,recovery_position,nav_ret_10d_kill,nav_dd_20d_kill,max_recovery_streak,champion_score_pctile_252,champion_score_z_252,champion_score_rank_252,champion_score_sample_count_252,champion_score_percentile_floor,champion_score_z_floor,pattern_top5_high_risk_count,pattern_top5_bullish_count,pattern_top5_bearish_count,fp_classified_label,fp_classified_gate_reason,execution_safe_uplift_preflight_status,execution_safe_uplift_fallback_applied,execution_safe_uplift_hard_block_reasons,execution_safe_uplift_incremental_symbols,execution_safe_uplift_planned_strategy,execution_safe_uplift_planned_position_ratio,decision_timestamp,proxy_asof_timestamp,order_submit_timestamp,fill_timestamp,execution_mode,causality_pass,daily_proxy_approximation,execution_mode_status,execution_promotion_eligible,precommit_uplift_risk_level,precommit_uplift_cap_reason,cap_input_coverage,cap_missing_fields,cap_trigger_count,strict_cap_candidate_vol_20,strict_cap_candidate_ret_1,planned_uplift_ratio,capped_uplift_ratio,precommit_cap_applied,execution_safe_uplift_final_strategy,execution_safe_uplift_final_position_ratio
production_governed_vol_position,2026-01-05,recent_champion,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,0,1,0,index_neutral,normal,1.3137043587215775,index_neutral,0.056275,44.84822084703152,high_liquidity,0.02363955922367082,2026-01-05,exit_date < signal_date,0,,0,0,robust,baseline_full_liquidity_detail_vol_position,,1,configured_default_recent_champion_until_constraints_select_another,15.002898859021464,50.00968429207825,50.00968429207825,49.9903306903887,50.00968616815188,-0.02815013404825739,,0.04785385353727063,0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,recent_champion,baseline_full_liquidity_detail_vol_position,normal,0.7,0.7,,1,normal_production_risk_budget,v1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position,2026-01-06,recent_champion,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,0,0,1,index_strong,normal,1.409889433337714,index_strong,0.056254,45.55784844384303,high_liquidity,0.02377570445505351,2026-01-06,exit_date < signal_date,0,,0,0,robust,baseline_full_liquidity_detail_vol_position,,1,configured_default_recent_champion_until_constraints_select_another,15.002890005799346,50.009682416731216,50.009682416731216,49.99033442876474,50.009682416731216,-0.019054601312665786,,0.06442287106912177,0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,2,recent_champion,baseline_full_liquidity_detail_vol_position,normal,0.7,0.7,,1,normal_production_risk_budget,v1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position,2026-01-07,recent_champion,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,0,0,2,index_neutral,normal,1.4053930670766235,index_neutral,0.056243,46.254223038268265,high_liquidity,0.023942336680023348,2026-01-07,exit_date < signal_date,0,,0,0,robust,baseline_full_liquidity_detail_vol_position,,1,configured_default_recent_champion_until_constraints_select_another,15.002889447236184,50.00967492260062,50.00967492260062,49.99033629686896,50.00968054211036,-0.020627117540860607,,0.08606151078737774,0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,3,recent_champion,baseline_full_liquidity_detail_vol_position,normal,0.7,0.7,,1,normal_production_risk_budget,v1,,,-4.493686991569046e-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position,2026-01-08,recent_champion,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,0,0,3,index_neutral,normal,1.3485565707687264,index_neutral,0.056254,46.984442296539726,high_liquidity,0.024137481223320174,2026-01-08,exit_date < signal_date,0,,0,0,robust,baseline_full_liquidity_detail_vol_position,,1,configured_default_recent_champion_until_constraints_select_another,15.002897738256332,50.00967492260062,50.00967492260062,49.99033442876474,50.00967679504548,-0.015086533912903821,,0.09062203157663332,0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,4,recent_champion,baseline_full_liquidity_detail_vol_position,normal,0.7,0.7,,1,normal_production_risk_budget,v1,,,-4.493686991569046e-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position,2026-01-09,recent_champion,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,0,0,4,index_neutral,normal,1.4568424384533856,index_neutral,0.056265,48.09510054137664,high_liquidity,0.02445248038875808,2026-01-09,exit_date < signal_date,0,,0,0,robust,baseline_full_liquidity_detail_vol_position,,1,configured_default_recent_champion_until_constraints_select_another,15.002898298530548,50.009676795045486,50.00967679504548,49.99033255993813,50.00967679504548,-0.006773920406435208,,0.07602736972179591,0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,5,recent_champion,baseline_full_liquidity_detail_vol_position,normal,0.7,0.7,,1,normal_production_risk_budget,v1,,,-4.493686991569046e-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position,2026-01-12,recent_champion,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,0,1,5,index_strong,normal,1.6185279732686697,index_strong,0.056265,49.08183101314771,high_liquidity,0.024742835051765142,2026-01-12,exit_date < signal_date,0,,0,0,robust,baseline_full_liquidity_detail_vol_position,,1,configured_default_recent_champion_until_constraints_select_another,15.002898298530548,50.009676795045486,50.00967679504548,49.99033255993813,50.00967679504548,0.0,,0.1764824832966136,0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,6,recent_champion,baseline_full_liquidity_detail_vol_position,normal,0.7,0.7,,1,normal_production_risk_budget,v1,,,-4.493686991569046e-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position,2026-01-13,recent_champion,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,0,1,6,index_neutral,normal,1.5869268440876108,index_neutral,0.056147,49.76962439496612,high_liquidity,0.025337555168537362,2026-01-13,exit_date < signal_date,0,,0,0,robust,baseline_full_liquidity_detail_vol_position,,1,configured_default_recent_champion_until_constraints_select_another,15.002902226524684,50.00968992248062,50.00968992248062,49.99031945788963,50.00968992248062,-0.024172504232927217,,0.1688697875630665,0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,7,recent_champion,baseline_full_liquidity_detail_vol_position,normal,0.7,0.7,,1,normal_production_risk_budget,v1,,,-4.493686991569046e-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position,2026-01-14,recent_champion,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,0,1,7,index_strong,normal,1.633674736865707,index_strong,0.056125,50.21064640990903,high_liquidity,0.02543345425001129,2026-01-14,exit_date < signal_date,0,,0,0,robust,baseline_full_liquidity_detail_vol_position,,1,configured_default_recent_champion_until_constraints_select_another,15.00290884459067,50.00968054211036,50.00968054211036,49.99032320495452,50.00968616815188,-0.02208835341365467,,0.1359111635848426,0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,8,recent_champion,baseline_full_liquidity_detail_vol_position,normal,0.7,0.7,,1,normal_production_risk_budget,v1,,,-4.493686991569046e-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position,2026-01-15,recent_champion,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,0,1,8,index_strong,normal,1.1754221729676126,index_strong,0.055899,49.26144294003868,normal_liquidity,0.02523469750923935,2026-01-15,exit_date < signal_date,0,,0,0,robust,baseline_full_liquidity_detail_vol_position,,1,configured_default_recent_champion_until_constraints_select_another,15.002907156673114,50.00967492260062,50.00967492260062,49.990328820116055,50.00967679504548,-0.028367487971740935,,0.19242620554252624,0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,9,recent_champion,baseline_full_liquidity_detail_vol_position,normal,0.7,0.7,,1,normal_production_risk_budget,v1,,,-0.04633208616376594,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position,2026-01-16,recent_champion,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,0,1,9,index_neutral,normal,1.1934619021787187,index_neutral,0.055878,48.97252126836814,normal_liquidity,0.025688345179610238,2026-01-16,exit_date < signal_date,0,,0,0,robust,baseline_full_liquidity_detail_vol_position,,1,configured_default_recent_champion_until_constraints_select_another,15.002890564578502,50.00967117988394,50.009671179883945,49.99033255993813,50.009671179883945,-0.03253719216602974,,0.0873996445156151,0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,10,recent_champion,baseline_full_liquidity_detail_vol_position,normal,0.7,0.7,,1,normal_production_risk_budget,v1,,,-0.07565760662752696,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
