trade_date,replayed_cash,replayed_shares,replayed_equity,ledger_equity,nav_equity,event_replay_error_bps,ledger_vs_nav_error_bps
2026-01-07,188374.456,"{""002465"": 3800, ""002759"": 900, ""300058"": 2900, ""300136"": 700, ""300418"": 2400}",500412.456,500412.456,500412.456,0.0,0.0
2026-01-08,188374.456,"{""002465"": 3800, ""002759"": 900, ""300058"": 2900, ""300136"": 700, ""300418"": 2400}",512824.456,512824.456,512824.456,0.0,0.0
2026-01-09,188374.456,"{""002465"": 3800, ""002759"": 900, ""300058"": 2900, ""300136"": 700, ""300418"": 2400}",537966.456,537966.456,537966.456,0.0,0.0
2026-01-12,188374.456,"{""002465"": 3800, ""002759"": 900, ""300058"": 2900, ""300136"": 700, ""300418"": 2400}",587457.456,587457.456,587457.456,0.0,0.0
2026-01-13,188374.456,"{""002465"": 3800, ""002759"": 900, ""300058"": 2900, ""300136"": 700, ""300418"": 2400}",582920.456,582920.456,582920.456,0.0,0.0
2026-01-14,188374.456,"{""002465"": 3800, ""002759"": 900, ""300058"": 2900, ""300136"": 700, ""300418"": 2400}",593385.456,593385.456,593385.456,0.0,0.0
2026-01-15,188374.456,"{""002465"": 3800, ""002759"": 900, ""300058"": 2900, ""300136"": 700, ""300418"": 2400}",576715.456,576715.456,576715.456,0.0,0.0
2026-01-16,188374.456,"{""002465"": 3800, ""002759"": 900, ""300058"": 2900, ""300136"": 700, ""300418"": 2400}",544153.456,544153.456,544153.456,0.0,0.0
2026-01-19,188374.456,"{""002465"": 3800, ""002759"": 900, ""300058"": 2900, ""300136"": 700, ""300418"": 2400}",533911.456,533911.456,533911.456,0.0,0.0
2026-01-20,188374.456,"{""002465"": 3800, ""002759"": 900, ""300058"": 2900, ""300136"": 700, ""300418"": 2400}",529906.456,529906.456,529906.456,0.0,0.0
2026-01-21,188374.456,"{""002465"": 3800, ""002759"": 900, ""300058"": 2900, ""300136"": 700, ""300418"": 2400}",524717.456,524717.456,524717.456,0.0,0.0
2026-01-22,188374.456,"{""002465"": 3800, ""002759"": 900, ""300058"": 2900, ""300136"": 700, ""300418"": 2400}",535871.456,535871.456,535871.456,0.0,0.0
2026-01-23,212883.68575000012,"{""002156"": 1000, ""002465"": 0, ""002716"": 2800, ""002759"": 0, ""300058"": 0, ""300136"": 0, ""300418"": 0, ""600036"": 3700, ""688008"": 300, ""688525"": 200}",539303.6857500002,539303.6857500002,539303.6857500002,0.0,0.0
2026-01-26,212883.68575000012,"{""002156"": 1000, ""002465"": 0, ""002716"": 2800, ""002759"": 0, ""300058"": 0, ""300136"": 0, ""300418"": 0, ""600036"": 3700, ""688008"": 300, ""688525"": 200}",541334.6857500002,541334.6857500002,541334.6857500002,0.0,0.0
2026-01-27,212883.68575000012,"{""002156"": 1000, ""002465"": 0, ""002716"": 2800, ""002759"": 0, ""300058"": 0, ""300136"": 0, ""300418"": 0, ""600036"": 3700, ""688008"": 300, ""688525"": 200}",544461.6857500002,544461.6857500002,544461.6857500002,0.0,0.0
2026-01-28,212883.68575000012,"{""002156"": 1000, ""002465"": 0, ""002716"": 2800, ""002759"": 0, ""300058"": 0, ""300136"": 0, ""300418"": 0, ""600036"": 3700, ""688008"": 300, ""688525"": 200}",551421.6857500002,551421.6857500002,551421.6857500002,0.0,0.0
2026-01-29,212883.68575000012,"{""002156"": 1000, ""002465"": 0, ""002716"": 2800, ""002759"": 0, ""300058"": 0, ""300136"": 0, ""300418"": 0, ""600036"": 3700, ""688008"": 300, ""688525"": 200}",552328.6857500002,552328.6857500002,552328.6857500002,0.0,0.0
2026-01-30,212883.68575000012,"{""002156"": 1000, ""002465"": 0, ""002716"": 2800, ""002759"": 0, ""300058"": 0, ""300136"": 0, ""300418"": 0, ""600036"": 3700, ""688008"": 300, ""688525"": 200}",553345.6857500002,553345.6857500002,553345.6857500002,0.0,0.0
