strategy,symbol,name,industry,entry_date,exit_date,shares,entry_price,exit_price,gross_pnl,cost,net_pnl,gross_return,net_return,exit_reason
adaptive_market_style,000001,平安银行,银行,2023-01-05,2023-01-19,4100,17.009,17.8713,3535.430000000005,107.2569225,3428.1730775000046,0.05069668998765367,0.049158667470162926,rebalance_unlocked
adaptive_market_style,000716,黑芝麻,食品,2023-01-05,2023-01-19,8100,8.6045,8.2775,-2648.7,102.55815,-2751.2581499999997,-0.03800337032947876,-0.03947486780173165,rebalance_unlocked
adaptive_market_style,600919,江苏银行,银行,2023-01-05,2023-01-19,7400,9.3414,9.3414,0.0,103.68954,-103.68954,0.0,-0.0014999999999999998,rebalance_unlocked
adaptive_market_style,600996,贵广网络,影视音像,2023-01-05,2023-01-19,4400,15.85,15.05,-3519.9999999999955,101.97,-3621.9699999999953,-0.05047318611987375,-0.05193533123028384,rebalance_unlocked
adaptive_market_style,601318,中国平安,保险,2023-01-05,2023-01-19,400,56.9937,59.5422,1019.4000000000017,34.960770000000004,984.4392300000017,0.044715468551787374,0.04318193195037354,rebalance_unlocked
adaptive_market_style,601318,中国平安,保险,2023-01-05,2023-01-20,800,56.9937,60.3531,2687.5200000000004,70.40808,2617.1119200000003,0.058943356897341294,0.057399149379668286,rebalance_unlocked
adaptive_market_style,000858,五粮液,白酒,2023-01-19,2023-02-09,200,234.6222,226.9056,-1543.32,69.22917,-1612.54917,-0.03288947081733954,-0.03436480371422653,rebalance_unlocked
adaptive_market_style,601012,隆基绿能,电气设备,2023-01-19,2023-02-09,1100,45.4618,46.5802,1230.2400000000014,75.93464999999999,1154.3053500000015,0.02460087370055742,0.023082423045282005,rebalance_unlocked
adaptive_market_style,300059,东方财富,证券,2023-01-20,2023-02-10,1700,28.3452,26.9937,-2297.5499999999965,70.55709750000001,-2368.1070974999966,-0.04768003048135127,-0.049144270458490256,rebalance_unlocked
adaptive_market_style,002155,湖南黄金,黄金,2023-02-02,2023-02-16,2200,22.4401,23.8385,3076.4799999999973,76.35969,3000.1203099999975,0.062317012847536275,0.06077027508790062,rebalance_unlocked
adaptive_market_style,600111,北方稀土,小金属,2023-02-02,2023-02-16,1600,31.0323,28.9567,-3320.9599999999964,71.98679999999999,-3392.9467999999965,-0.06688514869990293,-0.06833498483837801,rebalance_unlocked
adaptive_market_style,000977,浪潮信息,IT设备,2023-02-09,2023-02-23,1900,27.4311,37.4427,19022.04,92.445165,18929.594835,0.36497260408806065,0.36319887463499456,rebalance_unlocked
adaptive_market_style,300502,新易盛,通信设备,2023-02-09,2023-02-23,900,56.2401,60.5419,3871.62,78.82785000000001,3792.7921499999998,0.07648990666801801,0.074932539238017,rebalance_unlocked
