strategy,trade_date,last_signal_date,cash,market_value,total_equity,nav,position_count,gross_exposure,locked_count,locked_value,candidate_count,executed,equity_before,max_total_positions,position_ratio,position_cap_skipped,cash_residual_ratio,intentional_cash_ratio,planned_cash_buffer_ratio,unexpected_cash_residual_ratio,planned_vs_filled_notional_gap,planned_vs_filled_share_gap,buy_order_shortfall_ratio,t1_not_tradable_reject_count,limit_block_reject_count,adaptive_role,adaptive_underlying_strategy,adaptive_reason,adaptive_market_amount_ratio_20,adaptive_index_bucket,market_style_state,selected_strategy,style_reason,switch_reason,recent_champion_strategy,champion_score,weekly_switch_allowed,market_state,industry_state,adaptive_position_scale,adaptive_target_position_ratio,adaptive_position_reason,target_position_ratio,strategy_source,route_reason,risk_veto_reason,adaptive_version,ashare_release_tier,ashare_weight_profile,ashare_supplement_limit,ashare_weight_cache_key,dual_intersection_count,dual_union_count,ashare_weighted_hit_count,ashare_supplement_count,ashare_weekly_penalty_count,ashare_risk_veto_filtered_count,ashare_industry_concentration_triggered,ashare_available,ashare_candidate_count,ashare_risk_veto_ratio,ashare_market_regime,ashare_governance_hint,ashare_route_cache_hit,ashare_weekly_unconfirmed_count,ashare_resolved_strategy
baseline_full_liquidity_detail_vol_position,2023-11-30,2023-11-29,335453.037765845,672466.75,1007919.787765845,1.007919787765845,5,0.6671828037929386,0.0,0.0,5.0,5.0,1000000.0,5.0,0.7,0.0,0.33584309340170915,0.30000000000000004,0.30000000000000004,0.0358430934017091,-663.3855399999302,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_full_liquidity_detail_vol_position,2023-12-01,2023-11-29,335453.037765845,664377.4,999830.4377658451,0.9998304377658451,5,0.6644900724212536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_full_liquidity_detail_vol_position,2023-12-04,2023-12-01,335453.037765845,657703.9,993156.9377658451,0.9931569377658451,5,0.6622356195583117,5.0,660511.61,5.0,0.0,995964.6477658451,5.0,0.7,3.0,0.3368121936037947,0.30000000000000004,0.30000000000000004,0.036812193603794674,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_full_liquidity_detail_vol_position,2023-12-05,2023-12-01,335453.037765845,645789.53,981242.567765845,0.981242567765845,5,0.6581344422005401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_full_liquidity_detail_vol_position,2023-12-06,2023-12-05,335453.037765845,659069.48,994522.5177658449,0.994522517765845,5,0.6626994042131628,5.0,644269.49,5.0,0.0,979722.527765845,5.0,0.7,2.0,0.34239596238621833,0.30000000000000004,0.30000000000000004,0.04239596238621829,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_full_liquidity_detail_vol_position,2023-12-07,2023-12-06,335453.037765845,648812.97,984266.0077658449,0.9842660077658449,5,0.6591845749836678,5.0,656793.3200000001,5.0,0.0,992246.357765845,5.0,0.7,3.0,0.33807434528775243,0.30000000000000004,0.30000000000000004,0.03807434528775239,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_full_liquidity_detail_vol_position,2023-12-08,2023-12-07,335453.037765845,658920.77,994373.807765845,0.9943738077658449,5,0.6626489604351713,5.0,649246.64,5.0,0.0,984699.6777658451,5.0,0.7,3.0,0.34066532704361613,0.30000000000000004,0.30000000000000004,0.040665327043616084,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_full_liquidity_detail_vol_position,2023-12-11,2023-12-08,335453.037765845,659351.31,994804.347765845,0.994804347765845,5,0.6627949621257554,5.0,651281.35,5.0,0.0,986734.387765845,5.0,0.7,3.0,0.3399628531497465,0.30000000000000004,0.30000000000000004,0.03996285314974646,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_full_liquidity_detail_vol_position,2023-12-12,2023-12-11,335453.037765845,651573.0800000001,987026.117765845,0.987026117765845,5,0.6601376278419561,5.0,659249.6400000001,5.0,0.0,994702.6777658451,5.0,0.7,4.0,0.33723950408909154,0.30000000000000004,0.30000000000000004,0.03723950408909149,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_full_liquidity_detail_vol_position,2023-12-13,2023-12-12,335453.037765845,634501.8400000001,969954.877765845,0.969954877765845,5,0.6541560381256972,5.0,648238.35,5.0,0.0,983691.387765845,5.0,0.7,5.0,0.34101451119514653,0.30000000000000004,0.30000000000000004,0.041014511195146486,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_full_liquidity_detail_vol_position,2023-12-14,2023-12-13,474160.618352455,493274.38,967434.998352455,0.967434998352455,4,0.5098785766899564,0.0,0.0,5.0,9.0,973802.1877658451,5.0,0.7,0.0,0.4879127874897922,0.30000000000000004,0.30000000000000004,0.18791278748979218,-497.6536699999124,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_full_liquidity_detail_vol_position,2023-12-15,2023-12-14,294629.42343688256,669355.95,963985.3734368825,0.9639853734368825,5,0.694363180650299,4.0,494803.08999999997,5.0,1.0,968963.7083524549,5.0,0.7,2.0,0.3041650138248118,0.30000000000000004,0.30000000000000004,0.00416501382481177,-179.2174299999606,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_full_liquidity_detail_vol_position,2023-12-18,2023-12-15,294629.42343688256,673702.4299999999,968331.8534368825,0.9683318534368824,5,0.695735070171285,5.0,668549.81,5.0,0.0,963179.2334368826,5.0,0.7,4.0,0.3058926243515088,0.30000000000000004,0.30000000000000004,0.0058926243515087795,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_full_liquidity_detail_vol_position,2023-12-19,2023-12-18,294629.42343688256,677437.19,972066.6134368825,0.9720666134368825,5,0.6969040810946304,5.0,673888.28,5.0,0.0,968517.7034368826,5.0,0.7,4.0,0.3042065440738568,0.30000000000000004,0.30000000000000004,0.004206544073856733,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_full_liquidity_detail_vol_position,2023-12-20,2023-12-19,294629.42343688256,670868.02,965497.4434368826,0.9654974434368826,5,0.6948418398829832,5.0,675050.88,5.0,0.0,969680.3034368826,5.0,0.7,5.0,0.30384181507308533,0.30000000000000004,0.30000000000000004,0.0038418150730852862,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_full_liquidity_detail_vol_position,2023-12-21,2023-12-20,294629.42343688256,673909.52,968538.9434368826,0.9685389434368826,5,0.6958001271571143,5.0,668006.24,5.0,0.0,962635.6634368825,5.0,0.7,5.0,0.30606535226938497,0.30000000000000004,0.30000000000000004,0.006065352269384927,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_full_liquidity_detail_vol_position,2023-12-22,2023-12-21,294629.42343688256,668603.23,963232.6534368825,0.9632326534368826,5,0.6941243401730373,5.0,673718.15,5.0,0.0,968347.5734368826,5.0,0.7,5.0,0.30425999044039187,0.30000000000000004,0.30000000000000004,0.004259990440391825,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_full_liquidity_detail_vol_position,2023-12-25,2023-12-22,294629.42343688256,665708.47,960337.8934368825,0.9603378934368826,5,0.6932023348756394,5.0,663300.9299999999,5.0,0.0,957930.3534368825,5.0,0.7,5.0,0.30756873125463136,0.30000000000000004,0.30000000000000004,0.007568731254631311,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_full_liquidity_detail_vol_position,2023-12-26,2023-12-25,294629.42343688256,665096.98,959726.4034368825,0.9597264034368825,5,0.693006858640355,5.0,664828.7,5.0,0.0,959458.1234368825,5.0,0.7,5.0,0.3070789816042082,0.30000000000000004,0.30000000000000004,0.007078981604208168,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_full_liquidity_detail_vol_position,2023-12-27,2023-12-26,294629.42343688256,668712.15,963341.5734368826,0.9633415734368825,5,0.6941589239362497,5.0,665657.96,5.0,0.0,960287.3834368825,5.0,0.7,4.0,0.30681380232488276,0.30000000000000004,0.30000000000000004,0.006813802324882712,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_full_liquidity_detail_vol_position,2023-12-28,2023-12-27,295556.52098630264,674947.49,970504.0109863026,0.9705040109863027,5,0.6954607939374359,1.0,179620.37,5.0,7.0,962634.8534368826,5.0,0.7,1.0,0.30742004785608906,0.30000000000000004,0.30000000000000004,0.007420047856089018,136827.1336900001,6100.0,0.2814026904618677,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_full_liquidity_detail_vol_position,2023-12-29,2023-12-28,316871.5797353601,659093.19,975964.76973536,0.9759647697353601,5,0.6753247765067564,3.0,256436.46,5.0,4.0,963455.9109863027,5.0,0.7,2.0,0.32936931399525865,0.30000000000000004,0.30000000000000004,0.029369313995258606,-388.74751999997534,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
