strategy,trade_date,symbol,name,industry,shares,entry_date,holding_trade_days,close,market_value,weight
adaptive_market_style,2023-11-30,000625,长安汽车,汽车整车,3200,2023-11-30,1,21.4327,68584.64,0.0683087906810788
adaptive_market_style,2023-11-30,000977,浪潮信息,IT设备,1900,2023-11-30,1,35.4786,67409.34,0.067138217770184
adaptive_market_style,2023-11-30,002456,欧菲光,元器件,7000,2023-11-30,1,10.14,70980.0,0.0706945164769105
adaptive_market_style,2023-11-30,300364,中文在线,出版业,2400,2023-11-30,1,29.49,70776.0,0.0704913369705525
adaptive_market_style,2023-11-30,601127,赛力斯,汽车整车,900,2023-11-30,1,77.351,69615.9,0.0693359029248373
adaptive_market_style,2023-12-01,000625,长安汽车,汽车整车,3200,2023-11-30,2,20.1707,64546.24,0.0641889348814821
adaptive_market_style,2023-12-01,000977,浪潮信息,IT设备,1900,2023-11-30,2,36.7777,69877.63,0.069490812195138
adaptive_market_style,2023-12-01,002456,欧菲光,元器件,7000,2023-11-30,2,10.22,71540.0,0.0711439799037284
adaptive_market_style,2023-12-01,300364,中文在线,出版业,2400,2023-11-30,2,29.9,71760.0,0.0713627620616655
adaptive_market_style,2023-12-01,601127,赛力斯,汽车整车,900,2023-11-30,2,79.078,71170.2,0.0707762269855232
adaptive_market_style,2023-12-04,000625,长安汽车,汽车整车,3200,2023-11-30,3,20.2549,64815.68,0.0646748137485122
adaptive_market_style,2023-12-04,000977,浪潮信息,IT设备,1900,2023-11-30,3,36.5259,69399.21,0.069248382197701
adaptive_market_style,2023-12-04,002456,欧菲光,元器件,7000,2023-11-30,3,10.03,70210.0,0.0700574100785959
adaptive_market_style,2023-12-04,300364,中文在线,出版业,2400,2023-11-30,3,29.39,70536.0,0.0703827015710559
adaptive_market_style,2023-12-04,601127,赛力斯,汽车整车,900,2023-11-30,3,78.3831,70544.79,0.0703914724674324
adaptive_market_style,2023-12-05,000625,长安汽车,汽车整车,3200,2023-11-30,4,20.013,64041.600000000006,0.064253021374143
adaptive_market_style,2023-12-05,000977,浪潮信息,IT设备,1900,2023-11-30,4,34.4917,65534.23,0.0657505790131415
adaptive_market_style,2023-12-05,002456,欧菲光,元器件,7000,2023-11-30,4,9.71,67970.0,0.0681943902525936
adaptive_market_style,2023-12-05,300364,中文在线,出版业,2400,2023-11-30,4,30.84,74016.0,0.0742603499917017
adaptive_market_style,2023-12-05,601127,赛力斯,汽车整车,900,2023-11-30,4,76.0837,68475.32999999999,0.0687013885051512
adaptive_market_style,2023-12-06,000625,长安汽车,汽车整车,3200,2023-11-30,5,20.3075,64984.0,0.0652173398361148
adaptive_market_style,2023-12-06,000977,浪潮信息,IT设备,1900,2023-11-30,5,33.9781,64558.38999999999,0.0647902015865819
adaptive_market_style,2023-12-06,002456,欧菲光,元器件,7000,2023-11-30,5,9.67,67690.0,0.0679330563447404
adaptive_market_style,2023-12-06,300364,中文在线,出版业,2400,2023-11-30,5,30.87,74088.0,0.0743540298193106
adaptive_market_style,2023-12-06,601127,赛力斯,汽车整车,900,2023-11-30,5,76.0326,68429.34,0.0686750511132132
adaptive_market_style,2023-12-07,000625,长安汽车,汽车整车,3200,2023-11-30,6,19.9078,63704.96000000001,0.063689423621789
adaptive_market_style,2023-12-07,000977,浪潮信息,IT设备,1900,2023-11-30,6,34.4111,65381.09,0.065365144846874
adaptive_market_style,2023-12-07,002456,欧菲光,元器件,7000,2023-11-30,6,9.65,67550.0,0.0675335258926753
adaptive_market_style,2023-12-07,300364,中文在线,出版业,2400,2023-11-30,6,30.4,72960.0,0.0729422065008082
adaptive_market_style,2023-12-07,601127,赛力斯,汽车整车,900,2023-11-30,6,82.195,73975.5,0.0739574588404679
adaptive_market_style,2023-12-08,000625,长安汽车,汽车整车,3200,2023-11-30,7,19.2874,61719.68000000001,0.0618148210647503
adaptive_market_style,2023-12-08,000977,浪潮信息,IT设备,1900,2023-11-30,7,36.3346,69035.74,0.0691421587923434
adaptive_market_style,2023-12-08,002456,欧菲光,元器件,7000,2023-11-30,7,9.49,66430.0,0.0665324020366172
adaptive_market_style,2023-12-08,300364,中文在线,出版业,2400,2023-11-30,7,29.98,71952.0,0.0720629142155454
adaptive_market_style,2023-12-08,601127,赛力斯,汽车整车,900,2023-11-30,7,80.7234,72651.06,0.0727630518185518
adaptive_market_style,2023-12-11,000625,长安汽车,汽车整车,3200,2023-11-30,8,19.9709,63906.880000000005,0.0632814084767189
adaptive_market_style,2023-12-11,000977,浪潮信息,IT设备,1900,2023-11-30,8,36.5561,69456.59,0.0687768021720039
adaptive_market_style,2023-12-11,002456,欧菲光,元器件,7000,2023-11-30,8,9.49,66430.0,0.0657798341134544
adaptive_market_style,2023-12-11,300364,中文在线,出版业,2400,2023-11-30,8,33.4,80160.0,0.0793754554047043
adaptive_market_style,2023-12-11,601127,赛力斯,汽车整车,900,2023-11-30,8,81.3979,73258.11,0.0725411158101038
adaptive_market_style,2023-12-12,000625,长安汽车,汽车整车,3200,2023-11-30,9,19.9183,63738.56,0.0630397324352769
adaptive_market_style,2023-12-12,000977,浪潮信息,IT设备,1900,2023-11-30,9,36.7374,69801.06,0.069035763376184
adaptive_market_style,2023-12-12,002456,欧菲光,元器件,7000,2023-11-30,9,9.57,66990.0,0.0662555237495042
adaptive_market_style,2023-12-12,300364,中文在线,出版业,2400,2023-11-30,9,32.77,78648.00000000001,0.0777857058046127
adaptive_market_style,2023-12-12,601127,赛力斯,汽车整车,900,2023-11-30,9,83.595,75235.5,0.0744106203471536
adaptive_market_style,2023-12-13,000625,长安汽车,汽车整车,3200,2023-11-30,10,19.8658,63570.56,0.0632373246138616
adaptive_market_style,2023-12-13,000977,浪潮信息,IT设备,1900,2023-11-30,10,35.9015,68212.84999999999,0.0678552798384449
adaptive_market_style,2023-12-13,002456,欧菲光,元器件,7000,2023-11-30,10,9.32,65240.0,0.0648980134484946
adaptive_market_style,2023-12-13,300364,中文在线,出版业,2400,2023-11-30,10,32.21,77304.0,0.0768987742431396
adaptive_market_style,2023-12-13,601127,赛力斯,汽车整车,900,2023-11-30,10,82.522,74269.8,0.073880479448452
adaptive_market_style,2023-12-14,000625,长安汽车,汽车整车,3500,2023-11-30,11,19.1822,67137.70000000001,0.0673260240495243
adaptive_market_style,2023-12-14,300364,中文在线,出版业,2100,2023-11-30,11,29.88,62748.0,0.0629240107578834
adaptive_market_style,2023-12-14,601127,赛力斯,汽车整车,800,2023-11-30,11,84.2593,67407.44,0.067596520681478
adaptive_market_style,2023-12-14,300750,宁德时代,电气设备,400,2023-12-14,1,167.5907,67036.28,0.067224319562193
adaptive_market_style,2023-12-15,000625,长安汽车,汽车整车,3100,2023-11-30,12,19.1191,59269.21,0.0592498903892508
adaptive_market_style,2023-12-15,300364,中文在线,出版业,2100,2023-11-30,12,30.61,64281.0,0.0642600467276589
adaptive_market_style,2023-12-15,601127,赛力斯,汽车整车,700,2023-11-30,12,87.877,61513.899999999994,0.0614938487018021
adaptive_market_style,2023-12-15,300750,宁德时代,电气设备,400,2023-12-14,2,165.8466,66338.64,0.0663170160117196
adaptive_market_style,2023-12-18,000625,长安汽车,汽车整车,3200,2023-11-30,13,18.9719,60710.08,0.061181583732729
adaptive_market_style,2023-12-18,300364,中文在线,出版业,2000,2023-11-30,13,27.14,54280.0,0.0547015646332953
adaptive_market_style,2023-12-18,601127,赛力斯,汽车整车,700,2023-11-30,13,91.8626,64303.82,0.0648032344491118
adaptive_market_style,2023-12-18,300750,宁德时代,电气设备,400,2023-12-14,3,157.2547,62901.880000000005,0.0633904063075863
adaptive_market_style,2023-12-19,000625,长安汽车,汽车整车,3200,2023-11-30,14,18.446,59027.2,0.0595744015417254
adaptive_market_style,2023-12-19,300364,中文在线,出版业,2200,2023-11-30,14,26.87,59114.0,0.0596620062062499
adaptive_market_style,2023-12-19,601127,赛力斯,汽车整车,600,2023-11-30,14,91.9034,55142.04,0.0556532248317705
adaptive_market_style,2023-12-19,300750,宁德时代,电气设备,400,2023-12-14,4,159.4267,63770.68000000001,0.0643618551601444
adaptive_market_style,2023-12-20,000625,长安汽车,汽车整车,3300,2023-11-30,15,17.8676,58963.08,0.0597866221550303
adaptive_market_style,2023-12-20,300364,中文在线,出版业,2200,2023-11-30,15,27.75,61050.0,0.06190269033715
adaptive_market_style,2023-12-20,601127,赛力斯,汽车整车,600,2023-11-30,15,84.617,50770.2,0.0514793115307972
adaptive_market_style,2023-12-20,300750,宁德时代,电气设备,400,2023-12-14,5,158.8382,63535.28,0.0644226824459315
adaptive_market_style,2023-12-21,000625,长安汽车,汽车整车,3400,2023-11-30,16,17.9518,61036.119999999995,0.0617939584513597
adaptive_market_style,2023-12-21,300364,中文在线,出版业,2200,2023-11-30,16,27.02,59444.0,0.0601820703246312
adaptive_market_style,2023-12-21,601127,赛力斯,汽车整车,700,2023-11-30,16,84.8214,59374.98,0.0601121933564963
adaptive_market_style,2023-12-21,300750,宁德时代,电气设备,400,2023-12-14,6,165.1939,66077.56000000001,0.0668979941255642
adaptive_market_style,2023-12-22,000625,长安汽车,汽车整车,3400,2023-11-30,17,17.5626,59712.84,0.0610433686580679
adaptive_market_style,2023-12-22,300364,中文在线,出版业,2300,2023-11-30,17,22.75,52325.0,0.0534909119216805
adaptive_market_style,2023-12-22,601127,赛力斯,汽车整车,700,2023-11-30,17,85.9046,60133.22,0.0614731156156147
adaptive_market_style,2023-12-22,300750,宁德时代,电气设备,400,2023-12-14,7,167.2269,66890.76,0.0683812279318542
adaptive_market_style,2023-12-25,000625,长安汽车,汽车整车,3400,2023-11-30,18,18.2252,61965.68,0.0629426231166971
adaptive_market_style,2023-12-25,300364,中文在线,出版业,2600,2023-11-30,18,23.98,62348.0,0.063330970725728
adaptive_market_style,2023-12-25,601127,赛力斯,汽车整车,600,2023-11-30,18,86.5076,51904.56,0.0527228807642874
adaptive_market_style,2023-12-25,300750,宁德时代,电气设备,400,2023-12-14,8,168.5643,67425.72,0.0684887454205609
adaptive_market_style,2023-12-26,000625,长安汽车,汽车整车,3300,2023-11-30,19,18.0464,59553.119999999995,0.0607268178666514
adaptive_market_style,2023-12-26,300364,中文在线,出版业,2500,2023-11-30,19,23.4,58500.0,0.0596529425359932
adaptive_market_style,2023-12-26,601127,赛力斯,汽车整车,700,2023-11-30,19,84.7805,59346.350000000006,0.0605159727567682
adaptive_market_style,2023-12-26,300750,宁德时代,电气设备,400,2023-12-14,9,167.0557,66822.28,0.068139241520753
adaptive_market_style,2023-12-27,000625,长安汽车,汽车整车,3300,2023-11-30,20,17.9307,59171.310000000005,0.0606843212173099
adaptive_market_style,2023-12-27,300364,中文在线,出版业,2500,2023-11-30,20,22.66,56650.0,0.0580985412856434
adaptive_market_style,2023-12-27,601127,赛力斯,汽车整车,600,2023-11-30,20,80.1204,48072.240000000005,0.0493014478434838
adaptive_market_style,2023-12-27,300750,宁德时代,电气设备,400,2023-12-14,10,165.1297,66051.88,0.0677408274876322
adaptive_market_style,2023-12-28,000625,长安汽车,汽车整车,3400,2023-11-30,21,17.7625,60392.5,0.0620109243720425
adaptive_market_style,2023-12-28,601127,赛力斯,汽车整车,700,2023-11-30,21,73.5595,51491.65,0.0528715455386295
adaptive_market_style,2023-12-28,300750,宁德时代,电气设备,300,2023-12-14,11,174.3957,52318.71,0.0537207694507236
adaptive_market_style,2023-12-28,300418,昆仑万维,互联网,1700,2023-12-28,1,36.6762,62349.54,0.0640204099775906
adaptive_market_style,2023-12-29,300418,昆仑万维,互联网,1700,2023-12-28,2,37.4574,63677.58,0.0651584328122758
adaptive_market_style,2023-12-29,002855,捷荣技术,元器件,1800,2023-12-29,1,37.61,67698.0,0.0692723496170151
adaptive_market_style,2023-12-29,600030,中信证券,证券,3200,2023-12-29,1,21.8063,69780.16,0.071402931251311
adaptive_market_style,2023-12-29,600941,中国移动,电信运营,600,2023-12-29,1,110.9516,66570.96,0.0681190997586388
adaptive_market_style,2023-12-29,605117,德业股份,电气设备,200,2023-12-29,1,252.1565,50431.3,0.0516041041868382
adaptive_market_style,2024-01-02,300418,昆仑万维,互联网,1700,2023-12-28,3,36.6261,62264.37,0.0642246836840752
adaptive_market_style,2024-01-02,002855,捷荣技术,元器件,1800,2023-12-29,2,36.5,65700.0,0.0677684800800802
adaptive_market_style,2024-01-02,600030,中信证券,证券,3200,2023-12-29,2,21.4852,68752.64,0.0709172285280506
adaptive_market_style,2024-01-02,600941,中国移动,电信运营,600,2023-12-29,2,110.1151,66069.06,0.0681491594599638
