strategy,signal_date,execution_date,rank,symbol,name,industry,rank_score,planned_shares,planned_price,filled_shares,filled_price,exit_date,exit_price,gross_return,net_return,net_pnl,entry_cost,round_trip_cost,plan_reject_reason,trade_reject_reason,execution_tradable,locked,skipped_by_position_cap,risk_decision,risk_governor_reasons,large_slippage_proxy,limit_up_buy_ratio,unfilled_ratio_proxy,limit_down_sell_ratio,open_gap_proxy,estimated_turnover_impact,execution_mode,causality_pass,exit_reason
adaptive_market_style,2023-11-29,2023-11-30,1,601127,赛力斯,汽车整车,30.0,900,75.8078,900.0,75.8836078,2023-12-29,74.5272981,-0.01787355318654205,-0.019360148021652143,-587.6471517699988,51.221435265,45.12327177,,,,0,0,,,0.0109334105717467,0.0,0.0,0.0,-0.0109334105717467,1.7883218144855554e-05,,,rebalance_unlocked
adaptive_market_style,2023-11-29,2023-11-30,2,000625,长安汽车,汽车整车,29.99,3200,21.6641,3200.0,21.6857641,2023-12-29,17.6921901,-0.18415648079469787,-0.18551836343410186,-10862.390157254997,52.04583384000001,79.74035725500002,,,,0,0,,,0.0048324934655684,0.0,0.0,0.0,-0.0048324934655684,6.995571598907201e-06,,,rebalance_unlocked
adaptive_market_style,2023-11-29,2023-11-30,3,300364,中文在线,出版业,29.99,2400,28.61,2400.0,28.638609999999996,2023-12-28,22.63734,-0.20955172056185686,-0.21089455677143548,-11475.481228749997,51.54949799999999,73.06822874999999,,,,0,0,,,0.0225160829163688,0.0,0.0,0.0,0.0225160829163688,1.9518238414695577e-05,,,rebalance_unlocked
adaptive_market_style,2023-11-29,2023-11-30,4,000977,浪潮信息,IT设备,29.98,1900,35.3376,1900.0,35.3729376,2023-12-14,36.2680956,0.025306295171820904,0.023787315450442038,1598.711727690004,50.40643608,102.08847231000001,,,,0,0,,,0.0137701989897016,0.0,0.0,0.0,-0.0137701989897016,3.487290849226906e-05,,,rebalance_unlocked
adaptive_market_style,2023-11-29,2023-11-30,5,002456,欧菲光,元器件,29.98,7000,9.91,7000.0,9.91991,2023-12-14,9.18081,-0.07450672435536215,-0.07595084431209562,-5273.978780000003,52.0795275,100.27878,,,,0,0,,,0.0188118811881187,0.0,0.0,0.0,-0.0188118811881187,3.392081072955096e-05,,,rebalance_unlocked
adaptive_market_style,2023-12-01,2023-12-04,1,000625,长安汽车,汽车整车,30.0,0,,,,,,,,,,,,,,1,0,,,0.0005255147317644,0.0,0.0,0.0,0.0005255147317644,0.0,,,
adaptive_market_style,2023-12-01,2023-12-04,2,300364,中文在线,出版业,29.99,0,,,,,,,,,,,,,,1,0,,,0.0234113712374584,0.0,0.0,0.0,0.0234113712374584,0.0,,,
adaptive_market_style,2023-12-01,2023-12-04,3,601127,赛力斯,汽车整车,29.99,0,,,,,,,,,,,,,,1,0,,,0.0077543691039225,0.0,0.0,0.0,0.0077543691039225,0.0,,,
adaptive_market_style,2023-12-01,2023-12-04,4,000977,浪潮信息,IT设备,29.98,0,,,,,,,,,,,,,,1,0,,,0.0063000133232911,0.0,0.0,0.0,-0.0063000133232911,0.0,,,
adaptive_market_style,2023-12-01,2023-12-04,5,002456,欧菲光,元器件,29.98,0,,,,,,,,,,,,,,1,0,,,0.0009784735812132,0.0,0.0,0.0,-0.0009784735812132,0.0,,,
adaptive_market_style,2023-12-05,2023-12-06,1,000625,长安汽车,汽车整车,30.0,0,,,,,,,,,,,,,,1,0,,,0.0089341927746964,0.0,0.0,0.0,0.0089341927746964,0.0,,,
adaptive_market_style,2023-12-05,2023-12-06,2,300364,中文在线,出版业,29.99,0,,,,,,,,,,,,,,1,0,,,0.0217250324254214,0.0,0.0,0.0,-0.0217250324254214,0.0,,,
adaptive_market_style,2023-12-05,2023-12-06,3,601127,赛力斯,汽车整车,29.99,0,,,,,,,,,,,,,,1,0,,,0.0087298593522658,0.0,0.0,0.0,-0.0087298593522658,0.0,,,
adaptive_market_style,2023-12-05,2023-12-06,4,000977,浪潮信息,IT设备,29.98,0,,,,,,,,,,,,,,1,0,,,0.0113882470275458,0.0,0.0,0.0,-0.0113882470275458,0.0,,,
adaptive_market_style,2023-12-05,2023-12-06,5,301236,软通动力,软件服务,29.98,0,,,,,,,,,,,,,,0,1,,,0.0073603287596725,0.0,0.0,0.0,-0.0073603287596725,0.0,,,
adaptive_market_style,2023-12-06,2023-12-07,1,000625,长安汽车,汽车整车,30.0,0,,,,,,,,,,,,,,1,0,,,0.00673642742829,0.0,0.0,0.0,-0.00673642742829,0.0,,,
adaptive_market_style,2023-12-06,2023-12-07,2,300364,中文在线,出版业,29.99,0,,,,,,,,,,,,,,1,0,,,0.0119857466796242,0.0,0.0,0.0,-0.0119857466796242,0.0,,,
adaptive_market_style,2023-12-06,2023-12-07,3,601127,赛力斯,汽车整车,29.99,0,,,,,,,,,,,,,,1,0,,,0.0043007867677811,0.0,0.0,0.0,-0.0043007867677811,0.0,,,
adaptive_market_style,2023-12-06,2023-12-07,4,000977,浪潮信息,IT设备,29.98,0,,,,,,,,,,,,,,1,0,,,0.0029636736603873,0.0,0.0,0.0,0.0029636736603873,0.0,,,
adaptive_market_style,2023-12-06,2023-12-07,5,301236,软通动力,软件服务,29.98,0,,,,,,,,,,,,,,0,1,,,0.0012824525378056,0.0,0.0,0.0,-0.0012824525378056,0.0,,,
adaptive_market_style,2023-12-07,2023-12-08,1,000625,长安汽车,汽车整车,30.0,0,,,,,,,,,,,,,,1,0,,,0.0110911301098062,0.0,0.0,0.0,-0.0110911301098062,0.0,,,
adaptive_market_style,2023-12-07,2023-12-08,2,300364,中文在线,出版业,29.99,0,,,,,,,,,,,,,,1,0,,,0.0437499999999999,0.0,0.0,0.0,-0.0437499999999999,0.0,,,
adaptive_market_style,2023-12-07,2023-12-08,3,601127,赛力斯,汽车整车,29.99,0,,,,,,,,,,,,,,1,0,,,0.0049735385364073,0.0,0.0,0.0,-0.0049735385364073,0.0,,,
adaptive_market_style,2023-12-07,2023-12-08,4,000977,浪潮信息,IT设备,29.98,0,,,,,,,,,,,,,,1,0,,,0.0011711337330106,0.0,0.0,0.0,0.0011711337330106,0.0,,,
adaptive_market_style,2023-12-07,2023-12-08,5,301236,软通动力,软件服务,29.98,0,,,,,,,,,,,,,,0,1,,,0.0041138619038023,0.0,0.0,0.0,0.0041138619038023,0.0,,,
adaptive_market_style,2023-12-08,2023-12-11,1,000625,长安汽车,汽车整车,30.0,0,,,,,,,,,,,,,,1,0,,,0.0005495815921274,0.0,0.0,0.0,-0.0005495815921274,0.0,,,
adaptive_market_style,2023-12-08,2023-12-11,2,300364,中文在线,出版业,29.99,0,,,,,,,,,,,,,,1,0,,,0.0010006671114075,0.0,0.0,0.0,0.0010006671114075,0.0,,,
adaptive_market_style,2023-12-08,2023-12-11,3,601127,赛力斯,汽车整车,29.99,0,,,,,,,,,,,,,,1,0,,,0.003924512594861,0.0,0.0,0.0,0.003924512594861,0.0,,,
adaptive_market_style,2023-12-08,2023-12-11,4,000977,浪潮信息,IT设备,29.98,0,,,,,,,,,,,,,,1,0,,,0.0049897343028407,0.0,0.0,0.0,-0.0049897343028407,0.0,,,
adaptive_market_style,2023-12-08,2023-12-11,5,300750,宁德时代,电气设备,29.98,0,,,,,,,,,,,,,,0,1,,,0.0096584907137147,0.0,0.0,0.0,-0.0096584907137147,0.0,,,
adaptive_market_style,2023-12-11,2023-12-12,1,000625,长安汽车,汽车整车,30.0,0,,,,,,,,,,,,,,1,0,,,0.0042111271900615,0.0,0.0,0.0,-0.0042111271900615,0.0,,,
adaptive_market_style,2023-12-11,2023-12-12,2,300364,中文在线,出版业,29.99,0,,,,,,,,,,,,,,1,0,,,0.0080838323353292,0.0,0.0,0.0,-0.0080838323353292,0.0,,,
adaptive_market_style,2023-12-11,2023-12-12,3,601127,赛力斯,汽车整车,29.99,0,,,,,,,,,,,,,,1,0,,,0.0081611442064231,0.0,0.0,0.0,-0.0081611442064231,0.0,,,
adaptive_market_style,2023-12-11,2023-12-12,4,300750,宁德时代,电气设备,29.98,0,,,,,,,,,,,,,,0,1,,,0.0081646656782775,0.0,0.0,0.0,-0.0081646656782775,0.0,,,
adaptive_market_style,2023-12-11,2023-12-12,5,600519,贵州茅台,白酒,29.98,0,,,,,,,,,,,,,,0,1,,,0.0061248206403887,0.0,0.0,0.0,-0.0061248206403887,0.0,,,
adaptive_market_style,2023-12-12,2023-12-13,1,000625,长安汽车,汽车整车,30.0,0,,,,,,,,,,,,,,1,0,,,0.0005271534217275,0.0,0.0,0.0,-0.0005271534217275,0.0,,,
adaptive_market_style,2023-12-12,2023-12-13,2,300364,中文在线,出版业,29.99,0,,,,,,,,,,,,,,1,0,,,0.0143423863289595,0.0,0.0,0.0,-0.0143423863289595,0.0,,,
adaptive_market_style,2023-12-12,2023-12-13,3,601127,赛力斯,汽车整车,29.99,0,,,,,,,,,,,,,,1,0,,,0.0099013098869549,0.0,0.0,0.0,-0.0099013098869549,0.0,,,
adaptive_market_style,2023-12-12,2023-12-13,4,000977,浪潮信息,IT设备,29.98,0,,,,,,,,,,,,,,1,0,,,0.0005471263616914,0.0,0.0,0.0,0.0005471263616914,0.0,,,
adaptive_market_style,2023-12-12,2023-12-13,5,600519,贵州茅台,白酒,29.98,0,,,,,,,,,,,,,,0,1,,,0.0027895024438937,0.0,0.0,0.0,-0.0027895024438937,0.0,,,
adaptive_market_style,2023-12-13,2023-12-14,1,000625,长安汽车,汽车整车,30.0,3500,19.8237,300.0,19.843523699999995,2023-12-29,17.6921901,-0.10841489810602511,-0.10983358693244559,-653.8456156049982,4.464792832499999,8.445535605,,,,0,0,,,0.0021192199659717,0.0,0.0,0.0,-0.0021192199659717,1.2812155097900925e-05,,,rebalance_unlocked
adaptive_market_style,2023-12-13,2023-12-14,2,300364,中文在线,出版业,29.99,2100,32.55,,,,,,,,,,,,,0,0,,,0.0105557280347716,0.0,0.0,0.0,0.0105557280347716,1.840251587826114e-05,,,
adaptive_market_style,2023-12-13,2023-12-14,3,601127,赛力斯,汽车整车,29.99,800,83.2578,,,,,,,,,,,,,0,0,,,0.0089164101694092,0.0,0.0,0.0,0.0089164101694092,1.729998566602854e-05,,,
adaptive_market_style,2023-12-13,2023-12-14,4,300750,宁德时代,电气设备,29.98,400,172.1381,400.0,172.3102381,2023-12-29,175.279545,0.017232330085208216,0.01571940583764431,812.5843688025062,51.69307143,78.2077011975,,,,0,0,,,0.0096017032158168,0.0,0.0,0.0,0.0096017032158168,1.9590557987139065e-05,,,rebalance_unlocked
