strategy,symbol,name,industry,entry_date,exit_date,shares,entry_price,exit_price,gross_pnl,cost,net_pnl,gross_return,net_return,exit_reason
adaptive_market_style,300136,信维通信,元器件,2025-12-26,2026-01-13,5300,50.073023,77.9777442,147895.02236000003,509.00179962000004,147386.02056038004,0.5572805380653771,0.5553625776618282,rebalance_unlocked
adaptive_market_style,300468,四方精创,软件服务,2025-06-04,2025-06-18,3900,26.118792699999997,38.679481800000005,48986.68749000003,189.53495291250005,48797.15253708753,0.48090619058361034,0.4790455109406726,rebalance_unlocked
adaptive_market_style,600410,华胜天成,软件服务,2026-01-13,2026-01-27,22200,22.132109999999997,19.97001,-47998.61999999997,701.000298,-48699.62029799997,-0.09769064043148164,-0.09911737245115802,rebalance_unlocked
adaptive_market_style,300975,商络电子,元器件,2024-03-29,2024-04-16,7500,14.8876728,9.2134773,-42556.46625000001,135.56896931249997,-42692.035219312515,-0.38113381293549126,-0.3823479625757897,rebalance_unlocked
adaptive_market_style,300720,海川智能,电器仪表,2026-06-05,2026-06-22,1100,76.17609999999999,81.77814,6162.244000000002,130.312248,6031.931752000002,0.07354065120162365,0.07198549571322242,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,600118,中国卫星,航空,2025-12-16,2025-12-30,3700,53.55349999999999,85.3146,117516.07000000002,385.35897750000004,117130.71102250002,0.5930723482125353,0.5911275439513759,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,600362,江西铜业,铜,2025-12-30,2026-01-15,6600,46.89684999999999,59.030910000000006,80084.79600000007,524.342412,79560.45358800008,0.258739339635818,0.25704528513109115,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,600547,山东黄金,黄金,2026-01-29,2026-02-12,4100,64.064,46.953,-70155.09999999996,341.377275,-70496.47727499997,-0.26709228271728264,-0.2683919635052447,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,600489,中金黄金,黄金,2026-01-29,2026-02-12,6900,40.02999,30.41955,-66312.03599999998,364.5763695,-66676.61236949998,-0.24008099927079665,-0.2414009385213436,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,688630,芯碁微装,专用机械,2026-06-05,2026-06-22,700,395.395,509.49,79866.50000000001,475.0646250000001,79391.43537500002,0.28855954172409876,0.28684312206780566,rebalance_unlocked
dual_system_adaptive_route,600410,华胜天成,软件服务,2026-02-26,2026-03-12,7900,24.384359999999997,32.417550000000006,63462.20100000007,336.55131675000007,63125.64968325006,0.3294402641693286,0.32769318397120156,rebalance_unlocked
dual_system_adaptive_route,300750,宁德时代,电气设备,2024-09-18,2024-10-09,500,192.00761579999997,292.13257500000003,50062.479600000035,181.55257154999998,49880.92702845004,0.521463478325218,0.5195723807164742,rebalance_unlocked
dual_system_adaptive_route,300476,胜宏科技,元器件,2025-10-29,2025-11-12,700,345.6228776,284.6853297,-42656.28352999998,330.9118088325,-42987.19533883248,-0.1763122520220576,-0.17768001783304108,rebalance_unlocked
dual_system_adaptive_route,688165,埃夫特-U,专用机械,2024-12-12,2024-12-26,4300,36.85682,27.981990000000003,-38161.76899999998,209.10516224999998,-38370.87416224998,-0.24079207050418336,-0.24211147645130524,rebalance_unlocked
dual_system_adaptive_route,601138,工业富联,通信设备,2026-06-10,2026-06-25,900,72.9729,77.51241,4085.5590000000066,101.57758425000002,3983.9814157500064,0.062208162208162304,0.06066150608650618,rebalance_unlocked
tiered_liquidity_then_bs_v2,600611,大众交通,公共交通,2024-07-16,2024-07-30,24000,4.4945901,9.70029,124936.79760000002,255.50784180000002,124681.28975820002,1.1582146055988511,1.1558459446446518,rebalance_unlocked
tiered_liquidity_then_bs_v2,300394,天孚通信,通信设备,2025-08-14,2025-08-28,1200,160.29453439999995,217.7712108,68972.01168000007,340.25917067999995,68631.75250932007,0.35856915904925624,0.3568002321799693,rebalance_unlocked
tiered_liquidity_then_bs_v2,002173,创新医疗,医疗保健,2026-01-13,2026-01-27,7100,37.02699,27.93204,-64574.14499999998,345.90683475,-64920.05183474998,-0.24563028212663246,-0.2469460594150375,rebalance_unlocked
tiered_liquidity_then_bs_v2,002251,步步高,超市连锁,2025-09-11,2025-09-25,36600,7.007,5.47452,-56088.76799999999,342.617724,-56431.38572399999,-0.2187070072784358,-0.220042977022977,rebalance_unlocked
tiered_liquidity_then_bs_v2,603186,华正新材,元器件,2026-06-11,2026-06-26,100,166.17600999999996,260.85888,9468.287000000004,32.02761675,9436.259383250004,0.5697746022425263,0.5678472712908443,rebalance_unlocked
