feature,spearman_max_ret20,spearman_hit20
s_liquidity,0.20977035568261979,0.20136189135091498
rs_liquidity_combo,0.20658935383736737,0.19896498790998124
opt_score,0.14610357042886937,0.15311881083257903
s_rs,0.13604577490267294,0.13294348723634175
bs_score_v2,0.10565750032960484,0.1277275111204412
score_dispersion,0.12774019359431257,0.12158967655920547
bs_score,0.09487340692403601,0.11280222942729921
s_breakout,0.07339122822009637,0.08642831210395316
claude_score,0.06048655499653183,0.0796722511292247
market_hs300_ret_5,0.09673079270888646,0.06698106626449409
price_change_ratio,0.06015381738541924,0.05497083351904257
score,0.010533678313756824,0.03959500712048053
market_hs300_pct_chg,0.06795453914041687,0.03626532911492787
breakout_volume_combo,0.008499514270030567,0.036071982416863525
s_volume,-0.01322284185751463,0.015812770282546428
market_avg_research_score,-0.01610139295509305,0.006872892583033576
market_limit_up_rate,-0.04138817336660444,-0.020385918158571284
market_bs_ratio,-0.09189086656261766,-0.08487390080414796
market_hs300_ret_20,-0.13483865122461278,-0.11045286999316033
market_avg_price_change,-0.16873973295510578,-0.12565057544908803
