event_date,event_date_key,symbol,buy_signal_description,sell_signal_description,total_b_points,total_s_points,buy_points_count,sell_points_count,process_time,name,score,base_score,penalty,s_trend,s_breakout,s_volume,s_rs,s_contraction,s_liquidity,opt_score,opt_momentum,opt_value,opt_quality,opt_technical,opt_capital,opt_chip,opt_size,claude_score,industry,fund_pe_ttm,fund_pb,fund_roe,fund_netprofit_yoy,score_momentum,score_value,score_quality,score_technical,score_capital,score_chip,bs_score,bs_entry_score,bs_score_label,bs_score_v2,bs_score_v2_label,bs_research_score,bs_research_label,bs_research_reason,bs_gate_score,bs_gate_pass,bs_gate_label,bs_gate_reason,bs_model_prob,bs_model_expected_mdd,bs_model_risk_score,bs_model_rank_score,bs_model_version,bs_consensus_score,bs_consensus_label,bs_consensus_reason,dynamic_trade_threshold,dynamic_watch_threshold,bs_threshold_version,bs_threshold_reason,close_price,buy_point_close,price_change_ratio,is_limit_up,pool_type,pool_type_shadow,pool_type_shadow_reason,is_self_selected,event_seq_for_symbol,event_uid,ts_code,score_opt_gap,score_claude_gap,opt_claude_gap,score_dispersion,rs_liquidity_combo,breakout_volume_combo,overextended_flag,pullback_flag,ret_1,max_ret_1,mdd_1,hit_1_5pct,hit_1_10pct,days_to_10pct_within_1,ret_3,max_ret_3,mdd_3,hit_3_5pct,hit_3_10pct,days_to_10pct_within_3,ret_5,max_ret_5,mdd_5,hit_5_5pct,hit_5_10pct,days_to_10pct_within_5,ret_10,max_ret_10,mdd_10,hit_10_5pct,hit_10_10pct,days_to_10pct_within_10,ret_20,max_ret_20,mdd_20,hit_20_5pct,hit_20_10pct,days_to_10pct_within_20,ret_60,max_ret_60,mdd_60,hit_60_5pct,hit_60_10pct,days_to_10pct_within_60,market_hs300_pct_chg,market_hs300_ret_5,market_hs300_ret_20,market_scored_count,market_bs_count,market_limit_up_rate,market_avg_score,market_avg_v2,market_avg_research_score,market_avg_price_change,market_bs_ratio,market_regime,sample_split,split_hit_1_10pct,split_hit_3_10pct,split_hit_5_10pct,split_hit_10_10pct,split_hit_20_10pct,split_hit_60_10pct
2026-01-22,20260122,000011,当天出现买点,当天无卖点,2,1,1,0,2026-01-23 00:41:39,深物业A,34.53,34.53,0.0,0.0,44.35,77.11,16.02,30.22,3.27,5.95,8.0,8.0,8.0,8.0,8.0,8.0,8.0,38.1009,房产服务,,,,,9.0,10.72,5.88,8.0,0.5,4.0,40.77,81.0,等待,32.99,剔除,17.11,回避,流动性偏弱,66.54,0,过滤,流动性低于门槛,,,,,,6.67,回避,交易门禁过滤,72.0,58.0,dynamic_v1,neutral_no_adjustment,9.05,9.05,0.0,0,,,,1,3,20260122_000011_03,000011.SZ,-24.97,-3.5709000000000017,21.399099999999997,13.504158048665357,7.237775901476917,55.816,0,0,0.003317,0.003317,0.0,0,0,,-0.022096,0.003317,-0.022096,0.0,0.0,,0.006634,0.006634,-0.022096,0.0,0.0,,0.008838,0.011053,-0.034251,0.0,0.0,,-0.017676,0.025413,-0.034251,0.0,0.0,,-0.064083,0.025413,-0.102764,0.0,0.0,,0.0135,-0.005834076074750727,0.022285419972553733,5176.0,294.0,0.0158,47.77342,46.302324,35.509699,0.863887,0.05680061823802164,neutral,train,train,train,train,train,train,train
2026-01-22,20260122,000012,当天出现买点,当天无卖点,3,1,1,0,2026-01-23 00:37:55,南玻Ａ,58.49,58.49,0.0,100.0,89.68,95.9,24.63,15.05,6.29,6.225,6.0,6.0,6.0,6.0,6.0,6.0,6.0,46.3931,玻璃,,,,,10.86,12.03,5.52,8.0,4.8,5.18,52.09,81.0,等待,43.99,剔除,29.52,回避,流动性偏弱,72.58,0,过滤,流动性低于门槛,,,,,,18.58,回避,交易门禁过滤,72.0,58.0,dynamic_v1,neutral_no_adjustment,4.59,4.59,0.0,0,,,,1,2,20260122_000012_02,000012.SZ,-3.759999999999998,12.096900000000005,15.856900000000003,8.2856690256933,12.446794768132074,91.857,0,0,0.026144,0.026144,0.0,0,0,,0.010893,0.026144,0.0,0.0,0.0,,0.026144,0.026144,0.0,0.0,0.0,,0.021786,0.039216,-0.028322,0.0,0.0,,0.095861,0.12854,-0.028322,1.0,1.0,18.0,-0.03268,0.12854,-0.052288,1.0,1.0,18.0,0.0135,-0.005834076074750727,0.022285419972553733,5176.0,294.0,0.0158,47.77342,46.302324,35.509699,0.863887,0.05680061823802164,neutral,train,train,train,train,train,train,train
2026-01-22,20260122,000078,当天出现买点,当天无卖点,3,3,1,0,2026-01-23 00:39:48,海王生物,28.98,28.98,0.0,0.0,44.35,33.32,9.27,43.93,25.74,6.175,6.0,6.0,6.0,6.0,6.0,6.0,6.0,34.2957,医药商业,,,,,9.5,7.73,3.6,5.0,4.85,3.62,40.22,81.0,等待,37.47,剔除,30.45,回避,优势未形成共振,100.0,1,可买,满足流动性、涨幅、风险门禁,,,,,,28.91,回避,共振不足,72.0,58.0,dynamic_v1,neutral_no_adjustment,3.63,3.63,0.0,0,,,,1,2,20260122_000078_02,000078.SZ,-32.769999999999996,-5.315699999999996,27.454300000000003,17.587249903362757,15.446999708681293,40.4895,0,0,0.052342,0.052342,0.0,1,0,,0.143251,0.157025,0.0,1.0,1.0,2.0,0.046832,0.157025,0.0,1.0,1.0,2.0,0.016529,0.157025,-0.008264,1.0,1.0,2.0,-0.030303,0.157025,-0.049587,1.0,1.0,2.0,-0.121212,0.157025,-0.203857,1.0,1.0,2.0,0.0135,-0.005834076074750727,0.022285419972553733,5176.0,294.0,0.0158,47.77342,46.302324,35.509699,0.863887,0.05680061823802164,neutral,train,train,train,train,train,train,train
2026-01-22,20260122,002023,当天出现买点,当天无卖点,4,3,1,0,2026-01-23 00:42:01,海特高新,51.38,51.38,0.0,100.0,44.35,33.32,68.35,74.07,25.07,7.6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,55.3714,航空,,,,,17.18,8.61,11.17,10.0,7.41,1.0,59.4,81.0,观察,56.52,剔除,53.01,回避,V2评分较好,100.0,1,可买,满足流动性、涨幅、风险门禁,,,,,,54.24,谨慎观察,共振不足,72.0,58.0,dynamic_v1,neutral_no_adjustment,14.42,14.42,0.0,0,,,,1,5,20260122_002023_05,002023.SZ,-24.619999999999997,-3.9913999999999987,20.6286,13.213722740141526,41.39486079213216,40.4895,0,0,0.020804,0.020804,0.0,0,0,,-0.009015,0.020804,-0.013176,0.0,0.0,,-0.057559,0.020804,-0.057559,0.0,0.0,,-0.171983,0.020804,-0.183079,0.0,0.0,,-0.135922,0.020804,-0.183079,0.0,0.0,,-0.115811,0.020804,-0.31484,0.0,0.0,,0.0135,-0.005834076074750727,0.022285419972553733,5176.0,294.0,0.0158,47.77342,46.302324,35.509699,0.863887,0.05680061823802164,neutral,train,train,train,train,train,train,train
2026-01-22,20260122,002669,当天出现买点,当天无卖点,3,1,1,0,2026-01-23 00:40:21,康达新材,44.36,44.36,0.0,0.0,44.35,79.87,53.09,80.54,18.37,7.5,8.0,8.0,8.0,8.0,8.0,8.0,8.0,48.3863,化工原料,,,,,16.89,11.17,6.06,10.0,3.26,1.0,53.83,81.0,等待,53.18,剔除,36.61,回避,流动性偏弱,96.74,0,观察,流动性低于门槛,,,,,,34.41,回避,交易门禁观察,72.0,58.0,dynamic_v1,neutral_no_adjustment,15.5,15.5,0.0,0,,,,1,3,20260122_002669_03,002669.SZ,-30.64,-4.026299999999999,26.6137,16.649873469889595,31.22920588167429,56.782,0,0,0.016775,0.016775,0.0,0,0,,-0.012259,0.016775,-0.012259,0.0,0.0,,-0.052904,0.016775,-0.052904,0.0,0.0,,-0.087743,0.016775,-0.087743,0.0,0.0,,-0.016127,0.016775,-0.087743,0.0,0.0,,-0.074188,0.016775,-0.243221,0.0,0.0,,0.0135,-0.005834076074750727,0.022285419972553733,5176.0,294.0,0.0158,47.77342,46.302324,35.509699,0.863887,0.05680061823802164,neutral,train,train,train,train,train,train,train
2026-01-22,20260122,002673,当天出现买点,当天无卖点,2,3,1,0,2026-01-23 00:38:16,西部证券,48.55,48.55,0.0,100.0,44.35,33.32,20.13,84.76,19.38,6.175,4.0,4.0,4.0,4.0,4.0,4.0,4.0,45.7276,证券,,,,,5.58,14.9,4.99,8.0,5.89,6.37,47.96,81.0,等待,44.22,剔除,27.67,回避,流动性偏弱,98.76,0,观察,流动性低于门槛,,,,,,25.46,回避,交易门禁观察,72.0,58.0,dynamic_v1,neutral_no_adjustment,8.08,8.08,0.0,0,,,,1,2,20260122_002673_02,002673.SZ,-13.200000000000003,2.8223999999999947,16.022399999999998,8.553003795158752,19.75144045379982,40.4895,0,0,0.00371,0.00371,0.0,0,0,,0.001233,0.009897,0.0,0.0,0.0,,0.011129,0.011129,0.0,0.0,0.0,,-0.014851,0.011129,-0.03218,0.0,0.0,,-0.009909,0.011129,-0.034657,0.0,0.0,,-0.127474,0.011129,-0.127474,0.0,0.0,,0.0135,-0.005834076074750727,0.022285419972553733,5176.0,294.0,0.0158,47.77342,46.302324,35.509699,0.863887,0.05680061823802164,neutral,train,train,train,train,train,train,train
2026-01-22,20260122,300008,当天出现买点,当天无卖点,2,2,1,0,2026-01-23 00:41:35,天海防务,54.24,54.24,0.0,100.0,44.35,98.07,75.93,39.12,27.99,6.925,6.0,6.0,6.0,6.0,6.0,6.0,6.0,55.3955,船舶,,,,,20.3,8.09,10.99,9.0,6.02,1.0,59.55,81.0,观察,59.58,观察,64.34,普通观察,V2与强势流动性共振；相对强弱靠前,100.0,1,可买,满足流动性、涨幅、风险门禁,,,,,,62.67,谨慎观察,研究建议通过；V2观察以上,72.0,58.0,dynamic_v1,neutral_no_adjustment,8.99,8.99,0.0,0,WATCH,,,1,1,20260122_300008_01,300008.SZ,-15.009999999999998,-1.1554999999999964,13.854500000000002,8.352469200781288,46.1007668049025,63.151999999999994,0,0,0.003337,0.003337,0.0,0,0,,-0.034483,0.003337,-0.034483,0.0,0.0,,-0.066741,0.003337,-0.066741,0.0,0.0,,-0.011123,0.003337,-0.113459,0.0,0.0,,0.084538,0.091212,-0.113459,1.0,0.0,,-0.141268,0.107898,-0.197998,1.0,1.0,21.0,0.0135,-0.005834076074750727,0.022285419972553733,5176.0,294.0,0.0158,47.77342,46.302324,35.509699,0.863887,0.05680061823802164,neutral,train,train,train,train,train,train,train
2026-01-22,20260122,300084,当天出现买点,当天无卖点,3,3,1,0,2026-01-23 00:37:54,海默科技,50.97,50.97,0.0,100.0,44.35,89.53,65.77,27.16,16.8,5.55,8.0,8.0,8.0,8.0,8.0,8.0,8.0,43.8709,专用机械,,,,,17.08,3.74,8.93,9.0,4.11,1.0,51.01,81.0,等待,50.77,剔除,35.99,回避,流动性偏弱,93.6,0,观察,流动性低于门槛,,,,,,33.16,回避,交易门禁观察,72.0,58.0,dynamic_v1,neutral_no_adjustment,10.78,10.78,0.0,0,,,,1,4,20260122_300084_04,300084.SZ,-4.530000000000001,7.0991,11.629100000000001,5.861656302047514,33.24057761230993,60.163,0,0,0.025046,0.025046,0.0,0,0,,0.056586,0.056586,0.0,1.0,0.0,,0.032468,0.056586,0.0,1.0,0.0,,-0.002783,0.056586,-0.002783,1.0,0.0,,0.039889,0.056586,-0.005566,1.0,0.0,,0.050093,0.315399,-0.065863,1.0,1.0,21.0,0.0135,-0.005834076074750727,0.022285419972553733,5176.0,294.0,0.0158,47.77342,46.302324,35.509699,0.863887,0.05680061823802164,neutral,train,train,train,train,train,train,train
2026-01-22,20260122,300145,当天出现买点,当天无卖点,3,2,1,0,2026-01-23 00:40:12,南方泵业,42.62,42.62,0.0,0.0,44.35,75.43,25.89,87.15,18.59,7.1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,58.0983,机械基件,,,,,12.46,12.8,12.61,13.0,6.22,1.0,52.29,81.0,等待,48.87,剔除,30.99,回避,流动性偏弱,97.18,0,观察,流动性低于门槛,,,,,,29.25,回避,交易门禁观察,72.0,58.0,dynamic_v1,neutral_no_adjustment,4.76,4.76,0.0,0,,,,1,2,20260122_300145_02,300145.SZ,-28.380000000000003,-15.478300000000004,12.901699999999998,14.209480601462298,21.9384388687983,55.228,0,0,0.002099,0.002099,0.0,0,0,,-0.010518,0.002099,-0.012617,0.0,0.0,,-0.03783,0.002099,-0.03783,0.0,0.0,,-0.065142,0.002099,-0.065142,0.0,0.0,,0.039909,0.058824,-0.065142,1.0,0.0,,0.054604,0.144939,-0.126065,1.0,1.0,27.0,0.0135,-0.005834076074750727,0.022285419972553733,5176.0,294.0,0.0158,47.77342,46.302324,35.509699,0.863887,0.05680061823802164,neutral,train,train,train,train,train,train,train
2026-01-22,20260122,600336,当天出现买点,当天无卖点,2,2,1,0,2026-01-23 00:37:08,澳柯玛,32.31,32.31,0.0,0.0,44.35,99.82,15.36,37.11,15.9,5.675,8.0,8.0,8.0,8.0,8.0,8.0,8.0,46.2201,家用电器,,,,,17.35,9.49,4.04,8.0,4.84,2.5,42.65,81.0,等待,40.38,剔除,24.11,回避,流动性偏弱,91.8,0,观察,流动性低于门槛,,,,,,21.8,回避,交易门禁观察,72.0,58.0,dynamic_v1,neutral_no_adjustment,8.64,8.64,0.0,0,,,,1,2,20260122_600336_02,600336.SH,-24.439999999999998,-13.9101,10.529899999999998,12.258896606274698,15.627667772255718,63.7645,0,0,0.021991,0.021991,0.0,0,0,,-0.094907,0.021991,-0.094907,0.0,0.0,,-0.121528,0.021991,-0.121528,0.0,0.0,,-0.086806,0.021991,-0.121528,0.0,0.0,,-0.100694,0.021991,-0.121528,0.0,0.0,,-0.159722,0.021991,-0.239583,0.0,0.0,,0.0135,-0.005834076074750727,0.022285419972553733,5176.0,294.0,0.0158,47.77342,46.302324,35.509699,0.863887,0.05680061823802164,neutral,train,train,train,train,train,train,train
