score_col,top_n,days,avg_hit,avg_max_ret,avg_mdd
opt_score,3,84,0.376984126984127,0.11689985912698411,-0.12805692063492063
rs_liquidity_combo,3,84,0.36507936507936506,0.11967091865079366,-0.13321287698412698
bs_score,3,84,0.34523809523809523,0.10924409325396825,-0.1255518492063492
score,3,84,0.32936507936507936,0.10377602976190477,-0.12696617857142858
bs_score_v2,3,84,0.32142857142857145,0.10400842261904761,-0.12883226984126983
breakout_volume_combo,3,84,0.28968253968253965,0.09540572023809524,-0.1281017777777778
claude_score,3,84,0.28968253968253965,0.09115265277777777,-0.1194141349206349
bs_score_v2,5,84,0.3621031746031746,0.12127054761904763,-0.12209159107142857
rs_liquidity_combo,5,84,0.3621031746031746,0.12328046904761905,-0.12671259583333333
opt_score,5,84,0.3525793650793651,0.1113777976190476,-0.12441486011904762
bs_score,5,84,0.34781746031746036,0.11404532142857142,-0.12280439821428571
score,5,84,0.31686507936507935,0.10293662857142857,-0.12117634107142856
breakout_volume_combo,5,84,0.3049603174603175,0.09888155476190477,-0.12354007202380951
claude_score,5,84,0.2906746031746032,0.09060139285714286,-0.12062831249999999
bs_score_v2,10,84,0.3489465230536659,0.11314045038265305,-0.11643942960600906
rs_liquidity_combo,10,84,0.34180366591080874,0.10959121347789115,-0.12185506532029479
bs_score,10,84,0.33108938019652306,0.10795054800170067,-0.11733096651077098
opt_score,10,84,0.3227560468631897,0.09930507300170067,-0.12065278674886622
score,10,84,0.30608938019652304,0.0971909194302721,-0.11696972008219955
breakout_volume_combo,10,84,0.3001369992441421,0.09631597538265306,-0.11919291651077096
claude_score,10,84,0.292994142101285,0.09388715514455782,-0.11978150579648525
