strategy,trade_date,last_signal_date,cash,market_value,total_equity,nav,position_count,gross_exposure,locked_count,locked_value,candidate_count,executed,equity_before,max_total_positions,position_ratio,position_cap_skipped,cash_residual_ratio,intentional_cash_ratio,planned_cash_buffer_ratio,unexpected_cash_residual_ratio,planned_vs_filled_notional_gap,planned_vs_filled_share_gap,buy_order_shortfall_ratio,t1_not_tradable_reject_count,limit_block_reject_count,adaptive_role,adaptive_underlying_strategy,market_style_state,selected_strategy,target_position_ratio,adaptive_target_position_ratio,risk_decision,fallback_strategy,allow_new_buys,risk_governor_reasons,risk_governor_version,recovery_status,governed_nav_ret_10d,recovery_streak,champion_score_floor,recovery_position,nav_ret_10d_kill,nav_dd_20d_kill,max_recovery_streak,champion_score_pctile_252,champion_score_z_252,champion_score_rank_252,champion_score_sample_count_252,champion_score_percentile_floor,champion_score_z_floor,governed_nav_drawdown_20d,pattern_top5_high_risk_count,pattern_top5_bullish_count,pattern_top5_bearish_count,top_industry_weight,fp_classified_label,fp_classified_gate_reason,route_reason,execution_safe_uplift_preflight_status,execution_safe_uplift_fallback_applied,execution_safe_uplift_hard_block_reasons,execution_safe_uplift_incremental_symbols,execution_safe_uplift_planned_strategy,execution_safe_uplift_planned_position_ratio,decision_timestamp,proxy_asof_timestamp,order_submit_timestamp,fill_timestamp,execution_mode,causality_pass,daily_proxy_approximation,execution_mode_status,execution_promotion_eligible,execution_safe_uplift_final_strategy,execution_safe_uplift_final_position_ratio,adaptive_reason,adaptive_market_amount_ratio_20,adaptive_index_bucket,style_reason,switch_reason,recent_champion_strategy,champion_score,weekly_switch_allowed,market_state,industry_state,adaptive_position_scale,adaptive_position_reason,strategy_source,risk_veto_reason,adaptive_version,ashare_release_tier,ashare_weight_profile,ashare_supplement_limit,ashare_weight_cache_key,dual_intersection_count,dual_union_count,ashare_weighted_hit_count,ashare_supplement_count,ashare_weekly_penalty_count,ashare_risk_veto_filtered_count,ashare_industry_concentration_triggered,ashare_available,ashare_candidate_count,ashare_risk_veto_ratio,ashare_market_regime,ashare_governance_hint,ashare_route_cache_hit,ashare_weekly_unconfirmed_count
production_governed_vol_position_v1_2b_dynamic_score,2025-09-02,2025-09-01,203606.8016975,289223.2,492830.0016975,0.985660003395,4,0.5868619990743295,0,0.0,5,4,500000.0,5,0.7,0,0.40739459113295207,0.30000000000000004,0.30000000000000004,0.10739459113295202,0.0,0,0.0,0,0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,0.7,normal,,True,normal_production_risk_budget,v1.2b_dynamic_score,not_applicable,,0.0,,,,,,,,,,,,,,,,0.08247057380984857,,,production_risk_governor_backtest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position_v1_2b_dynamic_score,2025-09-03,2025-09-02,153804.86823999998,338516.22,492321.08823999995,0.9846421764799999,5,0.6875923621516246,4,292160.19,5,1,495766.9916975,5,0.7,2,0.3102595589770869,0.30000000000000004,0.30000000000000004,0.010259558977086858,0.0,0,0.0,0,0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,0.7,normal,,True,normal_production_risk_budget,v1.2b_dynamic_score,not_applicable,,0.0,,,,,,,,,,,,,,,,0.0736393265359149,,,production_risk_governor_backtest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position_v1_2b_dynamic_score,2025-09-04,2025-09-03,153804.86823999998,311850.75,465655.61824,0.9313112364799999,5,0.6697025393544622,5,342268.59,5,0,496073.45824,5,0.7,3,0.31004454216453825,0.30000000000000004,0.30000000000000004,0.010044542164538206,0.0,0,0.0,0,0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,0.7,normal,,True,normal_production_risk_budget,v1.2b_dynamic_score,not_applicable,,0.0,,,,,,,,,,,,-0.001032634895901663,,,,0.14008133467088124,,,production_risk_governor_backtest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position_v1_2b_dynamic_score,2025-09-05,2025-09-04,153804.86823999998,329503.19,483308.05824,0.96661611648,5,0.6817663897430324,5,313803.03,5,0,467607.89824,5,0.7,3,0.32891845672174586,0.30000000000000004,0.30000000000000004,0.02891845672174581,0.0,0,0.0,0,0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,0.7,normal,,True,normal_production_risk_budget,v1.2b_dynamic_score,not_applicable,,0.0,,,,,,,,,,,,-0.0551394666799927,,,,0.09528922285881611,,,production_risk_governor_backtest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position_v1_2b_dynamic_score,2025-09-08,2025-09-05,153804.86823999998,318687.26,472492.12824,0.94498425648,5,0.6744816282698458,5,325694.55,5,0,479499.41823999997,5,0.7,3,0.3207613239751988,0.30000000000000004,0.30000000000000004,0.020761323975198753,0.0,0,0.0,0,0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,0.7,normal,,True,normal_production_risk_budget,v1.2b_dynamic_score,not_applicable,,0.0,,,,,,,,,,,,-0.0551394666799927,,,,0.11506464046210203,,,production_risk_governor_backtest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position_v1_2b_dynamic_score,2025-09-09,2025-09-08,153804.86823999998,314300.05,468104.91823999997,0.9362098364799999,5,0.6714307791973607,5,315446.51999999996,5,0,469251.38824,5,0.7,3,0.32776646397758985,0.30000000000000004,0.30000000000000004,0.027766463977589806,0.0,0,0.0,0,0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion,baseline_full_liquidity_detail_vol_position,0.7,0.7,normal,,True,normal_production_risk_budget,v1.2b_dynamic_score,not_applicable,,0.0,,,,,,,,,,,,-0.0551394666799927,,,,0.10846222154595533,,,production_risk_governor_backtest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position_v1_2b_dynamic_score,2025-09-10,2025-09-09,153804.86823999998,321721.32,475526.18824,0.95105237648,5,0.676558574388391,5,320878.26999999996,5,0,474683.13824,5,0.7,5,0.3240158662687449,0.30000000000000004,0.30000000000000004,0.024015866268744857,0.0,0,0.0,0,0,defensive,baseline_full_liquidity_detail_vol_position,defensive,baseline_full_liquidity_detail_vol_position,0.7,0.7,normal,,True,normal_production_risk_budget,v1.2b_dynamic_score,not_applicable,,0.0,,,,,,,,,,,,-0.0551394666799927,,,,0.10532160305738075,,,production_risk_governor_backtest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position_v1_2b_dynamic_score,2025-09-11,2025-09-10,153804.86823999998,347100.3,500905.16823999997,1.00181033648,5,0.6929461343343396,5,327646.61,5,0,481451.47823999997,5,0.5,3,0.31946078720591115,0.5,0.5,0.0,0.0,0,0.0,0,0,defensive,baseline_full_liquidity_detail_vol_position,defensive,baseline_full_liquidity_detail_vol_position,0.5,0.5,reduce_position,,True,low_liquidity,v1.2b_dynamic_score,blocked_non_whitelisted_reason,,0.0,,,,,,,,,,,,-0.0551394666799927,,,,0.06983728870725836,,,production_risk_governor_backtest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position_v1_2b_dynamic_score,2025-09-12,2025-09-11,153804.86823999998,350444.58999999997,504249.45823999995,1.00849891648,5,0.6949825810882759,5,341387.02,5,0,495191.88824,5,0.7,3,0.31059650186647814,0.30000000000000004,0.30000000000000004,0.010596501866478092,0.0,0,0.0,0,0,defensive,baseline_full_liquidity_detail_vol_position,defensive,baseline_full_liquidity_detail_vol_position,0.7,0.7,normal,,True,normal_production_risk_budget,v1.2b_dynamic_score,not_applicable,,0.0,,,,,,,,,,,,-0.0551394666799927,,,,0.05324241604045975,,,production_risk_governor_backtest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position_v1_2b_dynamic_score,2025-09-15,2025-09-12,153804.86823999998,353825.22,507630.08823999995,1.01526017648,5,0.697013885104298,5,348051.22000000003,5,0,501856.08823999995,5,0.7,5,0.30647205811409167,0.30000000000000004,0.30000000000000004,0.006472058114091628,0.0,0,0.0,0,0,defensive,baseline_full_liquidity_detail_vol_position,defensive,baseline_full_liquidity_detail_vol_position,0.7,0.7,normal,,True,normal_production_risk_budget,v1.2b_dynamic_score,not_applicable,,0.0,,,,,,,,,,,,-0.0551394666799927,,,,0.07010227947843638,,,production_risk_governor_backtest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
