strategy,window,requested_window,requested_window_days,actual_start,actual_end,actual_trading_days,coverage_ratio,coverage_status,window_start,window_end,trading_days,initial_cash,window_start_equity,window_end_equity,total_return,max_drawdown,annualized_volatility,daily_win_rate,avg_gross_exposure,avg_position_count
production_governed_vol_position_v1_2b_dynamic_score,3m,3m,63,2026-04-16,2026-07-16,62,0.9841269841269841,PASS,2026-04-16,2026-07-16,62,500000.0,553595.5034725,673650.4632150002,0.21686404421538796,-0.1460500838158102,0.4230183987988185,0.5483870967741935,0.6510882101249291,4.82258064516129
production_governed_vol_position_v1_2b_dynamic_score,6m,6m,126,2026-01-16,2026-07-16,119,0.9444444444444444,PASS,2026-01-16,2026-07-16,119,500000.0,542689.9107824999,673650.4632150002,0.24131746293877,-0.14605008381581008,0.37017139184622655,0.4957983193277311,0.6563853957030212,4.882352941176471
production_governed_vol_position_v1_2b_dynamic_score,1y,1y,252,2025-09-02,2026-07-16,209,0.8293650793650794,INSUFFICIENT_COVERAGE,2025-09-02,2026-07-16,209,500000.0,492830.0016975,673650.4632150002,0.36690230078258956,-0.14605008381581008,0.3367857201347891,0.5119617224880383,0.611589245369606,4.889952153110048
production_governed_vol_position_v1_2b_dynamic_score,3y,3y,756,2025-09-02,2026-07-16,209,0.27645502645502645,INSUFFICIENT_COVERAGE,2025-09-02,2026-07-16,209,500000.0,492830.0016975,673650.4632150002,0.36690230078258956,-0.14605008381581008,0.3367857201347891,0.5119617224880383,0.611589245369606,4.889952153110048
production_governed_vol_position_v1_2b_execution_safe_uplift,3m,3m,63,2026-04-16,2026-07-16,62,0.9841269841269841,PASS,2026-04-16,2026-07-16,62,500000.0,553595.5034725,673650.4632150002,0.21686404421538796,-0.1460500838158102,0.4230183987988185,0.5483870967741935,0.6510882101249291,4.82258064516129
production_governed_vol_position_v1_2b_execution_safe_uplift,6m,6m,126,2026-01-16,2026-07-16,119,0.9444444444444444,PASS,2026-01-16,2026-07-16,119,500000.0,542689.9107824999,673650.4632150002,0.24131746293877,-0.14605008381581008,0.37017139184622655,0.4957983193277311,0.6563853957030212,4.882352941176471
production_governed_vol_position_v1_2b_execution_safe_uplift,1y,1y,252,2025-09-02,2026-07-16,209,0.8293650793650794,INSUFFICIENT_COVERAGE,2025-09-02,2026-07-16,209,500000.0,492830.0016975,673650.4632150002,0.36690230078258956,-0.14605008381581008,0.3367857201347891,0.5119617224880383,0.611589245369606,4.889952153110048
production_governed_vol_position_v1_2b_execution_safe_uplift,3y,3y,756,2025-09-02,2026-07-16,209,0.27645502645502645,INSUFFICIENT_COVERAGE,2025-09-02,2026-07-16,209,500000.0,492830.0016975,673650.4632150002,0.36690230078258956,-0.14605008381581008,0.3367857201347891,0.5119617224880383,0.611589245369606,4.889952153110048
adaptive_market_style,3m,3m,63,2026-04-16,2026-07-16,62,0.9841269841269841,PASS,2026-04-16,2026-07-16,62,500000.0,594673.3041275002,580100.655545,-0.02450530145098917,-0.1454275603697749,0.3147331522465729,0.532258064516129,0.4304631115622928,4.451612903225806
adaptive_market_style,6m,6m,126,2026-01-16,2026-07-16,119,0.9444444444444444,PASS,2026-01-16,2026-07-16,119,500000.0,563645.2170400003,580100.655545,0.029194674251679098,-0.1454275603697751,0.2591907167990729,0.5294117647058824,0.4093027506542874,4.571428571428571
adaptive_market_style,1y,1y,252,2025-09-02,2026-07-16,209,0.8293650793650794,INSUFFICIENT_COVERAGE,2025-09-02,2026-07-16,209,500000.0,494109.972835,580100.655545,0.17403146553918103,-0.145427560369775,0.2880541617018069,0.5358851674641149,0.3880170304755712,4.55023923444976
adaptive_market_style,3y,3y,756,2025-09-02,2026-07-16,209,0.27645502645502645,INSUFFICIENT_COVERAGE,2025-09-02,2026-07-16,209,500000.0,494109.972835,580100.655545,0.17403146553918103,-0.145427560369775,0.2880541617018069,0.5358851674641149,0.3880170304755712,4.55023923444976
