trade_date,signal_date,nav,position_ratio,position_count,equity,cash,actual_exposure
2025-09-03,2025-09-02,0.95518,0.7,5,477590.11,222607.11,0.5338950590915712
2025-09-04,2025-09-03,0.896234,0.7,5,448117.11,222607.11,0.5032389858981283
2025-09-05,2025-09-04,0.941256,0.7,5,470628.11,222607.11,0.5269999703162652
2025-09-08,2025-09-05,0.913094,0.7,5,456547.11,222607.11,0.5124115230956122
2025-09-09,2025-09-08,0.898766,0.7,5,449383.11,222607.11,0.5046384587084282
2025-09-10,2025-09-09,0.924414,0.7,5,462207.11,222607.11,0.5183823329762279
2025-09-11,2025-09-10,0.986464,0.7,5,493232.11,222607.11,0.5486767680230713
2025-09-12,2025-09-11,0.990042,0.7,5,495021.11,222607.11,0.5503078444472802
2025-09-15,2025-09-12,0.99244,0.7,5,496220.11,222607.11,0.5513944205123005
2025-09-16,2025-09-15,0.998856,0.7,5,499428.11,222607.11,0.5542759697687021
2025-09-17,2025-09-16,1.03757,0.7,5,518785.06,167389.06,0.6773441008497816
2025-09-18,2025-09-17,1.031064,0.7,5,515532.06,167389.06,0.6753081466941163
2025-09-19,2025-09-18,1.013908,0.7,5,506954.06,167389.06,0.6698141445005885
2025-09-22,2025-09-19,1.025534,0.7,5,512767.06,167389.06,0.67355730689877
2025-09-23,2025-09-22,1.036566,0.7,5,518283.06,167389.06,0.6770315819313099
2025-09-24,2025-09-23,1.042592,0.7,5,521296.06,167389.06,0.6788982828682802
2025-09-25,2025-09-24,1.055584,0.7,5,527792.06,167389.06,0.6828503634556382
2025-09-26,2025-09-25,1.040174,0.7,5,520087.06,167389.06,0.6781518463466482
2025-09-29,2025-09-26,1.051252,0.7,5,525626.06,167389.06,0.6815434531537496
2025-09-30,2025-09-29,1.042676,0.7,5,521338.06,167389.06,0.6789241514421563
2025-10-09,2025-09-30,1.041097,0.7,5,520548.39,176142.39,0.6616214872934292
2025-10-10,2025-10-09,0.992917,0.7,5,496458.39,176142.39,0.6452021084788193
2025-10-13,2025-10-10,1.022153,0.7,5,511076.39,176142.39,0.655350171820694
2025-10-14,2025-10-13,0.979587,0.7,5,489793.39,176142.39,0.6403740973311216
2025-10-15,2025-10-14,0.987925,0.7,5,493962.39,176142.39,0.6434093089556879
