order_id,fill_id,execution_date,execution_sequence,signal_date,symbol,side,order_reason,shares_requested,shares_filled,shares_unfilled,execution_price_exact,notional_exact,commission_exact,stamp_tax_exact,slippage_exact,cash_before,cash_delta,cash_after,shares_before,shares_after,market_value_before,market_value_after,equity_before,equity_after,tradable,limit_blocked,suspended,risk_state,target_exposure,strategy_label,strategy_sha,data_snapshot_id
1,1,2023-11-30,1,2023-11-29,002142,BUY,TARGET_REBALANCE,4000,4000,0,24.7909,99163.6,74.37270000000001,0.0,0.0,500000.0,-99237.97270000001,400762.02729999996,0,4000,0.0,92320.0,500000.0,493082.02729999996,True,False,False,False,0.6,B2,frozen,r151
2,2,2023-11-30,2,2023-11-29,002594,BUY,TARGET_REBALANCE,100,100,0,619.5316,61953.16,46.464870000000005,0.0,0.0,400762.02729999996,-61999.62487000001,338762.40242999996,0,100,92320.0,112480.0,493082.02729999996,451242.40242999996,True,False,False,False,0.6,B2,frozen,r151
3,3,2023-11-30,3,2023-11-29,300351,BUY,TARGET_REBALANCE,800,800,0,23.2694,18615.52,13.961640000000001,0.0,0.0,338762.40242999996,-18629.48164,320132.92078999995,0,800,112480.0,130880.0,451242.40242999996,451012.92078999995,True,False,False,False,0.6,B2,frozen,r151
4,4,2023-11-30,4,2023-11-29,688041,BUY,TARGET_REBALANCE,400,400,0,72.0413,28816.520000000004,21.612390000000005,0.0,0.0,320132.92078999995,-28838.132390000002,291294.78839999996,0,400,130880.0,159596.0,451012.92078999995,450890.78839999996,True,False,False,False,0.6,B2,frozen,r151
5,5,2023-11-30,5,2023-11-29,688271,BUY,TARGET_REBALANCE,500,500,0,138.8526,69426.3,52.069725000000005,0.0,0.0,291294.78839999996,-69478.369725,221816.41867499996,0,500,159596.0,228691.0,450890.78839999996,450507.41867499996,True,False,False,False,0.6,B2,frozen,r151
6,6,2023-12-14,1,2023-12-13,002142,SELL,HOLD_EXPIRY,4000,4000,0,22.1056,88422.4,66.3168,0.0,0.0,221816.41867499996,88356.0832,310172.50187499996,4000,0,219731.0,137411.0,441547.41867499996,447583.50187499996,True,False,False,True,0.4,B2,frozen,r151
7,7,2023-12-14,2,2023-12-13,002594,SELL,HOLD_EXPIRY,100,100,0,593.1031,59310.310000000005,44.482732500000004,0.0,0.0,310172.50187499996,59265.827267500004,369438.32914249995,100,0,137411.0,118111.0,447583.50187499996,487549.32914249995,True,False,False,True,0.4,B2,frozen,r151
8,8,2023-12-14,3,2023-12-13,300351,SELL,HOLD_EXPIRY,800,800,0,20.7199,16575.92,12.431939999999999,0.0,0.0,369438.32914249995,16563.48806,386001.81720249995,800,0,118111.0,101727.0,487549.32914249995,487728.81720249995,True,False,False,True,0.4,B2,frozen,r151
9,9,2023-12-14,4,2023-12-13,688041,SELL,HOLD_EXPIRY,400,400,0,78.4035,31361.399999999998,23.52105,0.0,0.0,386001.81720249995,31337.87895,417339.69615249994,400,0,101727.0,70475.0,487728.81720249995,487814.69615249994,True,False,False,True,0.4,B2,frozen,r151
10,10,2023-12-14,5,2023-12-13,688271,SELL,HOLD_EXPIRY,500,500,0,141.6259,70812.95,53.1097125,0.0,0.0,417339.69615249994,70759.8402875,488099.53643999994,500,0,70475.0,0.0,487814.69615249994,488099.53643999994,True,False,False,True,0.4,B2,frozen,r151
11,11,2023-12-14,6,2023-12-13,000568,BUY,TARGET_REBALANCE,100,100,0,195.3347,19533.47,14.650102500000001,0.0,0.0,488099.53643999994,-19548.1201025,468551.4163374999,0,100,0.0,17600.0,488099.53643999994,486151.4163374999,True,False,False,True,0.4,B2,frozen,r151
12,12,2023-12-14,7,2023-12-13,002558,BUY,TARGET_REBALANCE,1200,1200,0,15.0621,18074.52,13.55589,0.0,0.0,468551.4163374999,-18088.07589,450463.34044749994,0,1200,17600.0,34940.0,486151.4163374999,485403.34044749994,True,False,False,True,0.4,B2,frozen,r151
13,13,2023-12-14,8,2023-12-13,600938,BUY,TARGET_REBALANCE,1700,1700,0,21.2841,36182.97,27.1372275,0.0,0.0,450463.34044749994,-36210.107227500004,414253.23321999994,0,1700,34940.0,68005.0,485403.34044749994,482258.23321999994,True,False,False,True,0.4,B2,frozen,r151
14,14,2023-12-14,9,2023-12-13,601398,BUY,TARGET_REBALANCE,11800,11800,0,5.4725,64575.5,48.431625000000004,0.0,0.0,414253.23321999994,-64623.931625,349629.30159499997,0,11800,68005.0,124527.0,482258.23321999994,474156.30159499997,True,False,False,True,0.4,B2,frozen,r151
15,15,2023-12-19,1,2023-12-18,300750,BUY,TARGET_REBALANCE,300,300,0,156.5485,46964.549999999996,35.223412499999995,0.0,0.0,349629.30159499997,-46999.7734125,302629.5281825,0,300,123308.0,167201.0,472937.30159499997,469830.5281825,True,False,False,True,0.4,B2,frozen,r151
16,16,2023-12-28,1,2023-12-27,000568,SELL,HOLD_EXPIRY,100,100,0,189.7854,18978.54,14.233905000000002,0.0,0.0,302629.52818250004,18964.306095,321593.83427750005,100,0,168279.0,151179.0,470908.52818250004,472772.83427750005,True,False,False,True,0.4,B2,frozen,r151
17,17,2023-12-28,2,2023-12-27,002558,SELL,HOLD_EXPIRY,1200,1200,0,11.2783,13533.96,10.15047,0.0,0.0,321593.83427750005,13523.809529999999,335117.6438075,1200,0,151179.0,138195.0,472772.83427750005,473312.6438075,True,False,False,True,0.4,B2,frozen,r151
18,18,2023-12-28,3,2023-12-27,601398,SELL,HOLD_EXPIRY,11800,11800,0,5.5182,65114.76,48.83607,0.0,0.0,335117.6438075,65065.923930000004,400183.5677375,11800,0,138195.0,81201.0,473312.6438075,481384.5677375,True,False,False,True,0.4,B2,frozen,r151
19,19,2023-12-28,4,2023-12-27,002786,BUY,TARGET_REBALANCE,700,700,0,17.71,12397.0,9.29775,0.0,0.0,400183.5677375,-12406.29775,387777.2699875,0,700,81201.0,93598.0,481384.5677375,481375.2699875,True,False,False,True,0.4,B2,frozen,r151
20,20,2023-12-28,5,2023-12-27,002855,BUY,TARGET_REBALANCE,400,400,0,38.6,15440.0,11.58,0.0,0.0,387777.2699875,-15451.58,372325.68998749997,0,400,93598.0,109038.0,481375.2699875,481363.68998749997,True,False,False,True,0.4,B2,frozen,r151
21,21,2023-12-28,6,2023-12-27,300735,BUY,TARGET_REBALANCE,2100,2100,0,23.1901,48699.21,36.5244075,0.0,0.0,372325.68998749997,-48735.7344075,323589.95557999995,0,2100,109038.0,156183.0,481363.68998749997,479772.95557999995,True,False,False,True,0.4,B2,frozen,r151
22,22,2023-12-28,7,2023-12-27,600938,BUY,TARGET_REBALANCE,1200,1200,0,22.4879,26985.48,20.23911,0.0,0.0,323589.95557999995,-27005.71911,296584.23646999995,1700,2900,156183.0,180843.0,479772.95557999995,477427.23646999995,True,False,False,True,0.4,B2,frozen,r151
23,23,2023-12-29,1,2023-12-28,600938,SELL,HOLD_EXPIRY,2900,2900,0,22.4331,65055.99,48.7919925,0.0,0.0,296584.23646999995,65007.198007499996,361591.4344774999,2900,0,182875.0,123425.0,479459.23646999995,485016.4344774999,True,False,False,True,0.4,B2,frozen,r151
24,24,2023-12-29,2,2023-12-28,600941,BUY,TARGET_REBALANCE,600,600,0,108.4756,65085.36,48.81402,0.0,0.0,361591.4344774999,-65134.17402,296457.26045749994,0,600,123425.0,181781.0,485016.4344774999,478238.26045749994,True,False,False,True,0.4,B2,frozen,r151
25,25,2024-01-03,1,2024-01-02,300750,SELL,HOLD_EXPIRY,300,300,0,167.0236,50107.079999999994,37.58031,0.0,0.0,296457.2604575,50069.49969,346526.76014749997,300,0,177502.0,130672.0,473959.2604575,477198.76014749997,True,False,False,True,0.4,B2,frozen,r151
26,26,2024-01-03,2,2024-01-02,002241,BUY,TARGET_REBALANCE,2500,2500,0,21.4145,53536.25,40.152187500000004,0.0,0.0,346526.76014749997,-53576.4021875,292950.35795999994,0,2500,130672.0,182547.0,477198.76014749997,475497.35795999994,True,False,False,True,0.4,B2,frozen,r151
27,27,2024-01-12,1,2024-01-11,002786,SELL,HOLD_EXPIRY,700,700,0,16.3,11410.0,8.557500000000001,0.0,0.0,292950.35795999994,11401.4425,304351.80045999994,700,0,171827.0,160417.0,464777.35795999994,464768.80045999994,True,False,False,True,0.4,B2,frozen,r151
28,28,2024-01-12,2,2024-01-11,002855,SELL,HOLD_EXPIRY,400,400,0,33.85,13540.0,10.155,0.0,0.0,304351.80045999994,13529.845,317881.6454599999,400,0,160417.0,146877.0,464768.80045999994,464758.6454599999,True,False,False,True,0.4,B2,frozen,r151
29,29,2024-01-12,3,2024-01-11,300735,SELL,HOLD_EXPIRY,2100,2100,0,20.8349,43753.29,32.8149675,0.0,0.0,317881.6454599999,43720.4750325,361602.1204924999,2100,0,146877.0,104520.0,464758.6454599999,466122.1204924999,True,False,False,True,0.4,B2,frozen,r151
30,30,2024-01-12,4,2024-01-11,002415,BUY,TARGET_REBALANCE,500,500,0,33.4914,16745.7,12.559275000000001,0.0,0.0,361602.1204924999,-16758.259275,344843.8612174999,0,500,104520.0,119885.0,466122.1204924999,464728.8612174999,True,False,False,True,0.4,B2,frozen,r151
31,31,2024-01-12,5,2024-01-11,601398,BUY,TARGET_REBALANCE,6300,6300,0,5.4497,34333.11,25.7498325,0.0,0.0,344843.8612174999,-34358.8598325,310485.0013849999,0,6300,119885.0,149936.0,464728.8612174999,460421.0013849999,True,False,False,True,0.4,B2,frozen,r151
32,32,2024-01-12,6,2024-01-11,601857,BUY,TARGET_REBALANCE,3100,3100,0,8.0641,24998.71,18.7490325,0.0,0.0,310485.0013849999,-25017.4590325,285467.5423524999,0,3100,149936.0,172442.0,460421.0013849999,457909.5423524999,True,False,False,True,0.4,B2,frozen,r151
33,33,2024-01-15,1,2024-01-12,600941,SELL,HOLD_EXPIRY,600,600,0,106.1669,63700.14,47.775105,0.0,0.0,285467.5423524999,63652.364895,349119.9072474999,600,0,170430.0,113316.0,455897.5423524999,462435.9072474999,True,False,False,True,0.4,B2,frozen,r151
34,34,2024-01-15,2,2024-01-12,000158,BUY,TARGET_REBALANCE,7100,7100,0,9.25,65675.0,49.25625,0.0,0.0,349119.9072474999,-65724.25625,283395.65099749994,0,7100,113316.0,178849.0,462435.9072474999,462244.65099749994,True,False,False,True,0.4,B2,frozen,r151
35,35,2024-01-17,1,2024-01-16,002241,SELL,HOLD_EXPIRY,2500,2500,0,19.4949,48737.25,36.5529375,0.0,0.0,283395.65099749994,48700.6970625,332096.34805999993,2500,0,180979.0,133754.0,464374.65099749994,465850.34805999993,True,False,False,True,0.4,B2,frozen,r151
36,36,2024-01-17,2,2024-01-16,000338,BUY,TARGET_REBALANCE,2900,2900,0,16.3714,47477.060000000005,35.607795,0.0,0.0,332096.34805999993,-47512.66779500001,284583.6802649999,0,2900,133754.0,177022.0,465850.34805999993,461605.6802649999,True,False,False,True,0.4,B2,frozen,r151
37,37,2024-01-26,1,2024-01-25,002415,SELL,HOLD_EXPIRY,500,500,0,34.9627,17481.35,13.1110125,0.0,0.0,284583.6802649999,17468.238987499997,302051.91925249994,500,0,181910.0,165870.0,466493.6802649999,467921.91925249994,True,False,False,True,0.4,B2,frozen,r151
38,38,2024-01-26,2,2024-01-25,601398,SELL,HOLD_EXPIRY,6300,6300,0,5.7239,36060.57,27.0454275,0.0,0.0,302051.91925249994,36033.5245725,338085.44382499997,6300,0,165870.0,134307.0,467921.91925249994,472392.44382499997,True,False,False,True,0.4,B2,frozen,r151
39,39,2024-01-26,3,2024-01-25,601857,SELL,HOLD_EXPIRY,3100,3100,0,8.9416,27718.96,20.78922,0.0,0.0,338085.44382499997,27698.17078,365783.61460499995,3100,0,134307.0,109352.0,472392.44382499997,475135.61460499995,True,False,False,True,0.4,B2,frozen,r151
40,40,2024-01-26,4,2024-01-25,300059,BUY,TARGET_REBALANCE,1800,1800,0,13.3985,24117.3,18.087975,0.0,0.0,365783.61460499995,-24135.387974999998,341648.22662999993,0,1800,109352.0,133202.0,475135.61460499995,474850.22662999993,True,False,False,True,0.4,B2,frozen,r151
41,41,2024-01-26,5,2024-01-25,600030,BUY,TARGET_REBALANCE,1500,1500,0,21.8385,32757.75,24.5683125,0.0,0.0,341648.22662999993,-32782.3183125,308865.9083174999,0,1500,133202.0,163802.0,474850.22662999993,472667.9083174999,True,False,False,True,0.4,B2,frozen,r151
42,42,2024-01-26,6,2024-01-25,601099,BUY,TARGET_REBALANCE,5800,5800,0,3.45,20010.0,15.0075,0.0,0.0,308865.9083174999,-20025.0075,288840.9008174999,0,5800,163802.0,183812.0,472667.9083174999,472652.9008174999,True,False,False,True,0.4,B2,frozen,r151
43,43,2024-01-29,1,2024-01-26,000158,SELL,HOLD_EXPIRY,7100,7100,0,9.1097,64678.87,48.509152500000006,0.0,0.0,288840.9008174999,64630.3608475,353471.2616649999,7100,0,183035.0,118496.0,471875.9008174999,471967.2616649999,True,False,False,True,0.4,B2,frozen,r151
44,44,2024-01-29,2,2024-01-26,000002,BUY,TARGET_REBALANCE,6300,6300,0,10.41,65583.0,49.18725,0.0,0.0,353471.2616649999,-65632.18725,287839.07441499986,0,6300,118496.0,184079.0,471967.2616649999,471918.07441499986,True,False,False,True,0.4,B2,frozen,r151
