order_id,fill_id,execution_date,execution_sequence,signal_date,symbol,side,order_reason,shares_requested,shares_filled,shares_unfilled,execution_price,notional,commission,stamp_tax,slippage,total_cost,cash_before,cash_delta,cash_after,shares_before,shares_after,market_value_before,market_value_after,equity_before,equity_after,tradable,limit_blocked,suspended,risk_state,target_exposure,strategy_label,cost_scenario
1,1,2023-11-30,1,2023-11-29,002142,BUY,TARGET_REBALANCE,4000,4000,0,24.7909,99163.6,74.3727,0.0,0.0,74.3727,500000.0,-99237.97,400762.03,0,4000,0.0,92320.0,500000.0,493082.03,True,False,False,False,0.6,B2_base,c0.00075_s0.0
2,2,2023-11-30,2,2023-11-29,002594,BUY,TARGET_REBALANCE,100,100,0,619.5316,61953.16,46.46487,0.0,0.0,46.46487,400762.03,-61999.62,338762.4,0,100,92320.0,112480.0,493082.03,451242.4,True,False,False,False,0.6,B2_base,c0.00075_s0.0
3,3,2023-11-30,3,2023-11-29,300351,BUY,TARGET_REBALANCE,800,800,0,23.2694,18615.52,13.96164,0.0,0.0,13.96164,338762.4,-18629.48,320132.92,0,800,112480.0,130880.0,451242.4,451012.92,True,False,False,False,0.6,B2_base,c0.00075_s0.0
4,4,2023-11-30,4,2023-11-29,688041,BUY,TARGET_REBALANCE,400,400,0,72.0413,28816.52,21.61239,0.0,0.0,21.61239,320132.92,-28838.13,291294.79,0,400,130880.0,159596.0,451012.92,450890.79,True,False,False,False,0.6,B2_base,c0.00075_s0.0
5,5,2023-11-30,5,2023-11-29,688271,BUY,TARGET_REBALANCE,500,500,0,138.8526,69426.3,52.069725,0.0,0.0,52.069725,291294.79,-69478.37,221816.42,0,500,159596.0,228691.0,450890.79,450507.42,True,False,False,False,0.6,B2_base,c0.00075_s0.0
6,6,2023-12-14,1,2023-12-13,002142,SELL,HOLD_EXPIRY,4000,4000,0,22.1056,88422.4,66.3168,0.0,0.0,66.3168,221816.42,88356.08,310172.5,4000,0,219731.0,137411.0,441547.42,447583.5,True,False,False,True,0.4,B2_base,c0.00075_s0.0
7,7,2023-12-14,2,2023-12-13,002594,SELL,HOLD_EXPIRY,100,100,0,593.1031,59310.31,44.482733,0.0,0.0,44.482733,310172.5,59265.83,369438.33,100,0,137411.0,118111.0,447583.5,487549.33,True,False,False,True,0.4,B2_base,c0.00075_s0.0
8,8,2023-12-14,3,2023-12-13,300351,SELL,HOLD_EXPIRY,800,800,0,20.7199,16575.92,12.43194,0.0,0.0,12.43194,369438.33,16563.49,386001.82,800,0,118111.0,101727.0,487549.33,487728.82,True,False,False,True,0.4,B2_base,c0.00075_s0.0
9,9,2023-12-14,4,2023-12-13,688041,SELL,HOLD_EXPIRY,400,400,0,78.4035,31361.4,23.52105,0.0,0.0,23.52105,386001.82,31337.88,417339.7,400,0,101727.0,70475.0,487728.82,487814.7,True,False,False,True,0.4,B2_base,c0.00075_s0.0
10,10,2023-12-14,5,2023-12-13,688271,SELL,HOLD_EXPIRY,500,500,0,141.6259,70812.95,53.109713,0.0,0.0,53.109713,417339.7,70759.84,488099.54,500,0,70475.0,0.0,487814.7,488099.54,True,False,False,True,0.4,B2_base,c0.00075_s0.0
11,11,2023-12-14,6,2023-12-13,000568,BUY,TARGET_REBALANCE,100,100,0,195.3347,19533.47,14.650103,0.0,0.0,14.650103,488099.54,-19548.12,468551.42,0,100,0.0,17600.0,488099.54,486151.42,True,False,False,True,0.4,B2_base,c0.00075_s0.0
12,12,2023-12-14,7,2023-12-13,002558,BUY,TARGET_REBALANCE,1200,1200,0,15.0621,18074.52,13.55589,0.0,0.0,13.55589,468551.42,-18088.08,450463.34,0,1200,17600.0,34940.0,486151.42,485403.34,True,False,False,True,0.4,B2_base,c0.00075_s0.0
13,13,2023-12-14,8,2023-12-13,600938,BUY,TARGET_REBALANCE,1700,1700,0,21.2841,36182.97,27.137228,0.0,0.0,27.137228,450463.34,-36210.11,414253.23,0,1700,34940.0,68005.0,485403.34,482258.23,True,False,False,True,0.4,B2_base,c0.00075_s0.0
