order_id,execution_date,execution_sequence,signal_date,symbol,side,order_reason,reference_open_price,fill_price,shares_filled,gross_notional,price_impact_cost,commission,stamp_tax,transfer_fee,total_fee,cash_delta,cash_before,cash_after,shares_before,shares_after,market_value_before,market_value_after,equity_before,equity_after,risk_state,target_exposure,scenario
1,2023-11-30,1,2023-11-29,002142,BUY,TARGET_REBALANCE,23.08,24.8157,4000,99262.7636,6942.7636,74.447073,0.0,0.0,74.447073,-99337.21,500000.0,400662.79,0,4000,0.0,92320.0,500000.0,492982.79,False,0.6,c0.00075_s0.001
2,2023-11-30,2,2023-11-29,002594,BUY,TARGET_REBALANCE,201.6,620.1511,100,62015.1132,41855.1132,46.511335,0.0,0.0,46.511335,-62061.62,400662.79,338601.16,0,100,92320.0,112480.0,492982.79,451081.16,False,0.6,c0.00075_s0.001
3,2023-11-30,3,2023-11-29,300351,BUY,TARGET_REBALANCE,23.0,23.2927,800,18634.1355,234.1355,13.975602,0.0,0.0,13.975602,-18648.11,338601.16,319953.05,0,800,112480.0,130880.0,451081.16,450833.05,False,0.6,c0.00075_s0.001
4,2023-11-30,4,2023-11-29,688041,BUY,TARGET_REBALANCE,71.79,72.1133,400,28845.3365,129.3365,21.634002,0.0,0.0,21.634002,-28866.97,319953.05,291086.08,0,400,130880.0,159596.0,450833.05,450682.08,False,0.6,c0.00075_s0.001
5,2023-11-30,5,2023-11-29,688271,BUY,TARGET_REBALANCE,138.19,138.9915,500,69495.7263,400.7263,52.121795,0.0,0.0,52.121795,-69547.85,291086.08,221538.24,0,500,159596.0,228691.0,450682.08,450229.24,False,0.6,c0.00075_s0.001
6,2023-12-14,1,2023-12-13,002142,SELL,HOLD_EXPIRY,20.58,22.0835,4000,88333.9776,6013.9776,66.250483,0.0,0.0,66.250483,88267.73,221538.24,309805.96,4000,0,219731.0,137411.0,441269.24,447216.96,True,0.6,c0.00075_s0.001
7,2023-12-14,2,2023-12-13,002594,SELL,HOLD_EXPIRY,193.0,592.51,100,59250.9997,39950.9997,44.43825,0.0,0.0,44.43825,59206.56,309805.96,369012.52,100,0,137411.0,118111.0,447216.96,487123.52,True,0.6,c0.00075_s0.001
8,2023-12-14,3,2023-12-13,300351,SELL,HOLD_EXPIRY,20.48,20.6992,800,16559.3441,175.3441,12.419508,0.0,0.0,12.419508,16546.92,369012.52,385559.45,800,0,118111.0,101727.0,487123.52,487286.45,True,0.6,c0.00075_s0.001
9,2023-12-14,4,2023-12-13,688041,SELL,HOLD_EXPIRY,78.13,78.3251,400,31330.0386,78.0386,23.497529,0.0,0.0,23.497529,31306.54,385559.45,416865.99,400,0,101727.0,70475.0,487286.45,487340.99,True,0.6,c0.00075_s0.001
10,2023-12-14,5,2023-12-13,688271,SELL,HOLD_EXPIRY,140.95,141.4843,500,70742.137,267.1371,53.056603,0.0,0.0,53.056603,70689.08,416865.99,487555.07,500,0,70475.0,0.0,487340.99,487555.07,True,0.6,c0.00075_s0.001
11,2023-12-14,6,2023-12-13,000568,BUY,TARGET_REBALANCE,176.0,195.53,200,39106.0069,3906.0069,29.329505,0.0,0.0,29.329505,-39135.34,487555.07,448419.73,0,200,0.0,35200.0,487555.07,483619.73,True,0.6,c0.00075_s0.001
12,2023-12-14,7,2023-12-13,002558,BUY,TARGET_REBALANCE,14.45,15.0772,1800,27138.8918,1128.8918,20.354169,0.0,0.0,20.354169,-27159.25,448419.73,421260.49,0,1800,35200.0,61210.0,483619.73,482470.49,True,0.6,c0.00075_s0.001
13,2023-12-14,8,2023-12-13,600938,BUY,TARGET_REBALANCE,19.45,21.3054,2600,55393.9987,4823.9987,41.545499,0.0,0.0,41.545499,-55435.54,421260.49,365824.94,0,2600,61210.0,111780.0,482470.49,477604.94,True,0.6,c0.00075_s0.001
14,2023-12-14,9,2023-12-13,601398,BUY,TARGET_REBALANCE,4.79,5.478,17600,96412.316,12108.316,72.309237,0.0,0.0,72.309237,-96484.63,365824.94,269340.32,0,17600,111780.0,196084.0,477604.94,465424.32,True,0.6,c0.00075_s0.001
15,2023-12-19,1,2023-12-18,300750,BUY,TARGET_REBALANCE,146.31,156.705,400,62682.0194,4158.0194,47.011515,0.0,0.0,47.011515,-62729.03,269340.32,206611.29,0,400,194090.0,252614.0,463430.32,459225.29,True,0.6,c0.00075_s0.001
16,2023-12-28,1,2023-12-27,000568,SELL,HOLD_EXPIRY,171.0,189.5956,200,37919.1229,3719.1229,28.439342,0.0,0.0,28.439342,37890.68,206611.29,244501.97,200,0,253802.0,219602.0,460413.29,464103.97,True,0.6,c0.00075_s0.001
17,2023-12-28,2,2023-12-27,002558,SELL,HOLD_EXPIRY,10.82,11.267,1800,20280.6391,804.6391,15.210479,0.0,0.0,15.210479,20265.43,244501.97,264767.4,1800,0,219602.0,200126.0,464103.97,464893.4,True,0.6,c0.00075_s0.001
18,2023-12-28,3,2023-12-27,601398,SELL,HOLD_EXPIRY,4.83,5.5127,17600,97023.1997,12015.1997,72.7674,0.0,0.0,72.7674,96950.43,264767.4,361717.83,17600,0,200126.0,115118.0,464893.4,476835.83,True,0.6,c0.00075_s0.001
19,2023-12-28,4,2023-12-27,002786,BUY,TARGET_REBALANCE,17.71,17.7277,1100,19500.481,19.481,14.625361,0.0,0.0,14.625361,-19515.11,361717.83,342202.73,0,1100,115118.0,134599.0,476835.83,476801.73,True,0.6,c0.00075_s0.001
20,2023-12-28,5,2023-12-27,002855,BUY,TARGET_REBALANCE,38.6,38.6386,600,23183.16,23.16,17.38737,0.0,0.0,17.38737,-23200.55,342202.73,319002.18,0,600,134599.0,157759.0,476801.73,476761.18,True,0.6,c0.00075_s0.001
21,2023-12-28,6,2023-12-27,300735,BUY,TARGET_REBALANCE,22.45,23.2133,3200,74282.5283,2442.5283,55.711896,0.0,0.0,55.711896,-74338.24,319002.18,244663.94,0,3200,157759.0,229599.0,476761.18,474262.94,True,0.6,c0.00075_s0.001
22,2023-12-28,7,2023-12-27,600938,BUY,TARGET_REBALANCE,20.55,22.5104,2000,45020.7758,3920.7758,33.765582,0.0,0.0,33.765582,-45054.54,244663.94,199609.4,2600,4600,229599.0,270699.0,474262.94,470308.4,True,0.6,c0.00075_s0.001
23,2023-12-29,1,2023-12-28,600938,SELL,HOLD_EXPIRY,20.5,22.4107,4600,103089.0677,8789.0677,77.316801,0.0,0.0,77.316801,103011.75,199609.4,302621.15,4600,0,273172.0,178872.0,472781.4,481493.15,True,0.6,c0.00075_s0.001
24,2023-12-29,2,2023-12-28,600941,BUY,TARGET_REBALANCE,97.26,108.5841,900,97725.668,10191.668,73.294251,0.0,0.0,73.294251,-97798.96,302621.15,204822.18,0,900,178872.0,266406.0,481493.15,471228.18,True,0.6,c0.00075_s0.001
