order_id,execution_date,execution_sequence,signal_date,symbol,side,order_reason,reference_open_price,fill_price,shares_filled,gross_notional,price_impact_cost,commission,stamp_tax,transfer_fee,total_fee,cash_delta,cash_before,cash_after,shares_before,shares_after,market_value_before,market_value_after,equity_before,equity_after,risk_state,target_exposure,scenario
1,2023-11-30,1,2023-11-29,002142,BUY,TARGET_REBALANCE,23.08,24.8157,4000,99262.7636,6942.7636,74.447073,0.0,0.0,74.447073,-99337.21,500000.0,400662.79,0,4000,0.0,92320.0,500000.0,492982.79,False,0.6,c0.00075_s0.001
2,2023-11-30,2,2023-11-29,002594,BUY,TARGET_REBALANCE,201.6,620.1511,100,62015.1132,41855.1132,46.511335,0.0,0.0,46.511335,-62061.62,400662.79,338601.16,0,100,92320.0,112480.0,492982.79,451081.16,False,0.6,c0.00075_s0.001
3,2023-11-30,3,2023-11-29,300351,BUY,TARGET_REBALANCE,23.0,23.2927,800,18634.1355,234.1355,13.975602,0.0,0.0,13.975602,-18648.11,338601.16,319953.05,0,800,112480.0,130880.0,451081.16,450833.05,False,0.6,c0.00075_s0.001
4,2023-11-30,4,2023-11-29,688041,BUY,TARGET_REBALANCE,71.79,72.1133,400,28845.3365,129.3365,21.634002,0.0,0.0,21.634002,-28866.97,319953.05,291086.08,0,400,130880.0,159596.0,450833.05,450682.08,False,0.6,c0.00075_s0.001
5,2023-11-30,5,2023-11-29,688271,BUY,TARGET_REBALANCE,138.19,138.9915,500,69495.7263,400.7263,52.121795,0.0,0.0,52.121795,-69547.85,291086.08,221538.24,0,500,159596.0,228691.0,450682.08,450229.24,False,0.6,c0.00075_s0.001
6,2023-12-14,1,2023-12-13,002142,SELL,HOLD_EXPIRY,20.58,22.0835,4000,88333.9776,6013.9776,66.250483,0.0,0.0,66.250483,88267.73,221538.24,309805.96,4000,0,219731.0,137411.0,441269.24,447216.96,True,0.4,c0.00075_s0.001
7,2023-12-14,2,2023-12-13,002594,SELL,HOLD_EXPIRY,193.0,592.51,100,59250.9997,39950.9997,44.43825,0.0,0.0,44.43825,59206.56,309805.96,369012.52,100,0,137411.0,118111.0,447216.96,487123.52,True,0.4,c0.00075_s0.001
8,2023-12-14,3,2023-12-13,300351,SELL,HOLD_EXPIRY,20.48,20.6992,800,16559.3441,175.3441,12.419508,0.0,0.0,12.419508,16546.92,369012.52,385559.45,800,0,118111.0,101727.0,487123.52,487286.45,True,0.4,c0.00075_s0.001
9,2023-12-14,4,2023-12-13,688041,SELL,HOLD_EXPIRY,78.13,78.3251,400,31330.0386,78.0386,23.497529,0.0,0.0,23.497529,31306.54,385559.45,416865.99,400,0,101727.0,70475.0,487286.45,487340.99,True,0.4,c0.00075_s0.001
10,2023-12-14,5,2023-12-13,688271,SELL,HOLD_EXPIRY,140.95,141.4843,500,70742.137,267.1371,53.056603,0.0,0.0,53.056603,70689.08,416865.99,487555.07,500,0,70475.0,0.0,487340.99,487555.07,True,0.4,c0.00075_s0.001
11,2023-12-14,6,2023-12-13,000568,BUY,TARGET_REBALANCE,176.0,195.53,100,19553.0035,1953.0035,14.664753,0.0,0.0,14.664753,-19567.67,487555.07,467987.4,0,100,0.0,17600.0,487555.07,485587.4,True,0.4,c0.00075_s0.001
12,2023-12-14,7,2023-12-13,002558,BUY,TARGET_REBALANCE,14.45,15.0772,1200,18092.5945,752.5945,13.569446,0.0,0.0,13.569446,-18106.16,467987.4,449881.24,0,1200,17600.0,34940.0,485587.4,484821.24,True,0.4,c0.00075_s0.001
13,2023-12-14,8,2023-12-13,600938,BUY,TARGET_REBALANCE,19.45,21.3054,1700,36219.153,3154.153,27.164365,0.0,0.0,27.164365,-36246.32,449881.24,413634.92,0,1700,34940.0,68005.0,484821.24,481639.92,True,0.4,c0.00075_s0.001
14,2023-12-14,9,2023-12-13,601398,BUY,TARGET_REBALANCE,4.79,5.478,11700,64092.2782,8049.2782,48.069209,0.0,0.0,48.069209,-64140.35,413634.92,349494.57,0,11700,68005.0,124048.0,481639.92,473542.57,True,0.4,c0.00075_s0.001
15,2023-12-19,1,2023-12-18,300750,BUY,TARGET_REBALANCE,146.31,156.705,300,47011.5145,3118.5145,35.258636,0.0,0.0,35.258636,-47046.77,349494.57,302447.8,0,300,122831.0,166724.0,472325.57,469171.8,True,0.4,c0.00075_s0.001
16,2023-12-28,1,2023-12-27,000568,SELL,HOLD_EXPIRY,171.0,189.5956,100,18959.5615,1859.5615,14.219671,0.0,0.0,14.219671,18945.34,302447.8,321393.14,100,0,167796.0,150696.0,470243.8,472089.14,True,0.4,c0.00075_s0.001
17,2023-12-28,2,2023-12-27,002558,SELL,HOLD_EXPIRY,10.82,11.267,1200,13520.426,536.426,10.14032,0.0,0.0,10.14032,13510.29,321393.14,334903.43,1200,0,150696.0,137712.0,472089.14,472615.43,True,0.4,c0.00075_s0.001
18,2023-12-28,3,2023-12-27,601398,SELL,HOLD_EXPIRY,4.83,5.5127,11700,64498.3771,7987.3771,48.373783,0.0,0.0,48.373783,64450.0,334903.43,399353.43,11700,0,137712.0,81201.0,472615.43,480554.43,True,0.4,c0.00075_s0.001
19,2023-12-28,4,2023-12-27,002786,BUY,TARGET_REBALANCE,17.71,17.7277,700,12409.397,12.397,9.307048,0.0,0.0,9.307048,-12418.7,399353.43,386934.73,0,700,81201.0,93598.0,480554.43,480532.73,True,0.4,c0.00075_s0.001
20,2023-12-28,5,2023-12-27,002855,BUY,TARGET_REBALANCE,38.6,38.6386,400,15455.44,15.44,11.59158,0.0,0.0,11.59158,-15467.03,386934.73,371467.69,0,400,93598.0,109038.0,480532.73,480505.69,True,0.4,c0.00075_s0.001
21,2023-12-28,6,2023-12-27,300735,BUY,TARGET_REBALANCE,22.45,23.2133,2100,48747.9092,1602.9092,36.560932,0.0,0.0,36.560932,-48784.47,371467.69,322683.22,0,2100,109038.0,156183.0,480505.69,478866.22,True,0.4,c0.00075_s0.001
22,2023-12-28,7,2023-12-27,600938,BUY,TARGET_REBALANCE,20.55,22.5104,1200,27012.4655,2352.4655,20.259349,0.0,0.0,20.259349,-27032.72,322683.22,295650.5,1700,2900,156183.0,180843.0,478866.22,476493.5,True,0.4,c0.00075_s0.001
23,2023-12-29,1,2023-12-28,600938,SELL,HOLD_EXPIRY,20.5,22.4107,2900,64990.934,5540.934,48.743201,0.0,0.0,48.743201,64942.19,295650.5,360592.69,2900,0,182875.0,123425.0,478525.5,484017.69,True,0.4,c0.00075_s0.001
24,2023-12-29,2,2023-12-28,600941,BUY,TARGET_REBALANCE,97.26,108.5841,600,65150.4454,6794.4454,48.862834,0.0,0.0,48.862834,-65199.31,360592.69,295393.38,0,600,123425.0,181781.0,484017.69,477174.38,True,0.4,c0.00075_s0.001
