order_id,execution_date,execution_sequence,signal_date,symbol,side,order_reason,reference_open_price,fill_price,shares_filled,gross_notional,price_impact_cost,commission,stamp_tax,transfer_fee,total_fee,cash_delta,cash_before,cash_after,shares_before,shares_after,market_value_before,market_value_after,equity_before,equity_after,risk_state,target_exposure,scenario
1,2023-11-30,1,2023-11-29,002142,BUY,TARGET_REBALANCE,23.08,24.7909,4000,99163.6,6843.6,74.3727,0.0,0.0,74.3727,-99237.97,500000.0,400762.03,0,4000,0.0,92320.0,500000.0,493082.03,False,0.6,c0.00075_s0.0
2,2023-11-30,2,2023-11-29,002594,BUY,TARGET_REBALANCE,201.6,619.5316,100,61953.16,41793.16,46.46487,0.0,0.0,46.46487,-61999.62,400762.03,338762.4,0,100,92320.0,112480.0,493082.03,451242.4,False,0.6,c0.00075_s0.0
3,2023-11-30,3,2023-11-29,300351,BUY,TARGET_REBALANCE,23.0,23.2694,800,18615.52,215.52,13.96164,0.0,0.0,13.96164,-18629.48,338762.4,320132.92,0,800,112480.0,130880.0,451242.4,451012.92,False,0.6,c0.00075_s0.0
4,2023-11-30,4,2023-11-29,688041,BUY,TARGET_REBALANCE,71.79,72.0413,400,28816.52,100.52,21.61239,0.0,0.0,21.61239,-28838.13,320132.92,291294.79,0,400,130880.0,159596.0,451012.92,450890.79,False,0.6,c0.00075_s0.0
5,2023-11-30,5,2023-11-29,688271,BUY,TARGET_REBALANCE,138.19,138.8526,500,69426.3,331.3,52.069725,0.0,0.0,52.069725,-69478.37,291294.79,221816.42,0,500,159596.0,228691.0,450890.79,450507.42,False,0.6,c0.00075_s0.0
6,2023-12-14,1,2023-12-13,002142,SELL,HOLD_EXPIRY,20.58,22.1056,4000,88422.4,6102.4,66.3168,0.0,0.0,66.3168,88356.08,221816.42,310172.5,4000,0,219731.0,137411.0,441547.42,447583.5,True,0.6,c0.00075_s0.0
7,2023-12-14,2,2023-12-13,002594,SELL,HOLD_EXPIRY,193.0,593.1031,100,59310.31,40010.31,44.482733,0.0,0.0,44.482733,59265.83,310172.5,369438.33,100,0,137411.0,118111.0,447583.5,487549.33,True,0.6,c0.00075_s0.0
8,2023-12-14,3,2023-12-13,300351,SELL,HOLD_EXPIRY,20.48,20.7199,800,16575.92,191.92,12.43194,0.0,0.0,12.43194,16563.49,369438.33,386001.82,800,0,118111.0,101727.0,487549.33,487728.82,True,0.6,c0.00075_s0.0
9,2023-12-14,4,2023-12-13,688041,SELL,HOLD_EXPIRY,78.13,78.4035,400,31361.4,109.4,23.52105,0.0,0.0,23.52105,31337.88,386001.82,417339.7,400,0,101727.0,70475.0,487728.82,487814.7,True,0.6,c0.00075_s0.0
10,2023-12-14,5,2023-12-13,688271,SELL,HOLD_EXPIRY,140.95,141.6259,500,70812.95,337.95,53.109713,0.0,0.0,53.109713,70759.84,417339.7,488099.54,500,0,70475.0,0.0,487814.7,488099.54,True,0.6,c0.00075_s0.0
11,2023-12-14,6,2023-12-13,000568,BUY,TARGET_REBALANCE,176.0,195.3347,200,39066.94,3866.94,29.300205,0.0,0.0,29.300205,-39096.24,488099.54,449003.3,0,200,0.0,35200.0,488099.54,484203.3,True,0.6,c0.00075_s0.0
12,2023-12-14,7,2023-12-13,002558,BUY,TARGET_REBALANCE,14.45,15.0621,1800,27111.78,1101.78,20.333835,0.0,0.0,20.333835,-27132.11,449003.3,421871.18,0,1800,35200.0,61210.0,484203.3,483081.18,True,0.6,c0.00075_s0.0
13,2023-12-14,8,2023-12-13,600938,BUY,TARGET_REBALANCE,19.45,21.2841,2600,55338.66,4768.66,41.503995,0.0,0.0,41.503995,-55380.16,421871.18,366491.02,0,2600,61210.0,111780.0,483081.18,478271.02,True,0.6,c0.00075_s0.0
