order_id,execution_date,execution_sequence,signal_date,symbol,side,order_reason,reference_open_price,fill_price,shares_filled,gross_notional,price_impact_cost,commission,stamp_tax,transfer_fee,total_fee,cash_delta,cash_before,cash_after,shares_before,shares_after,market_value_before,market_value_after,equity_before,equity_after,risk_state,target_exposure,scenario
1,2023-11-30,1,2023-11-29,002142,BUY,TARGET_REBALANCE,23.08,24.8033,4000,99213.1818,6893.1818,74.409886,0.0,0.0,74.409886,-99287.59,500000.0,400712.41,0,4000,0.0,92320.0,500000.0,493032.41,False,0.6,c0.00075_s0.0005
2,2023-11-30,2,2023-11-29,002594,BUY,TARGET_REBALANCE,201.6,619.8414,100,61984.1366,41824.1366,46.488102,0.0,0.0,46.488102,-62030.62,400712.41,338681.78,0,100,92320.0,112480.0,493032.41,451161.78,False,0.6,c0.00075_s0.0005
3,2023-11-30,3,2023-11-29,300351,BUY,TARGET_REBALANCE,23.0,23.281,800,18624.8278,224.8278,13.968621,0.0,0.0,13.968621,-18638.8,338681.78,320042.99,0,800,112480.0,130880.0,451161.78,450922.99,False,0.6,c0.00075_s0.0005
4,2023-11-30,4,2023-11-29,688041,BUY,TARGET_REBALANCE,71.79,72.0773,400,28830.9283,114.9283,21.623196,0.0,0.0,21.623196,-28852.55,320042.99,291190.44,0,400,130880.0,159596.0,450922.99,450786.44,False,0.6,c0.00075_s0.0005
5,2023-11-30,5,2023-11-29,688271,BUY,TARGET_REBALANCE,138.19,138.922,500,69461.0131,366.0132,52.09576,0.0,0.0,52.09576,-69513.11,291190.44,221677.33,0,500,159596.0,228691.0,450786.44,450368.33,False,0.6,c0.00075_s0.0005
6,2023-12-14,1,2023-12-13,002142,SELL,HOLD_EXPIRY,20.58,22.0945,4000,88378.1888,6058.1888,66.283642,0.0,0.0,66.283642,88311.91,221677.33,309989.23,4000,0,219731.0,137411.0,441408.33,447400.23,True,0.6,c0.00075_s0.0005
7,2023-12-14,2,2023-12-13,002594,SELL,HOLD_EXPIRY,193.0,592.8065,100,59280.6548,39980.6548,44.460491,0.0,0.0,44.460491,59236.19,309989.23,369225.43,100,0,137411.0,118111.0,447400.23,487336.43,True,0.6,c0.00075_s0.0005
8,2023-12-14,3,2023-12-13,300351,SELL,HOLD_EXPIRY,20.48,20.7095,800,16567.632,183.632,12.425724,0.0,0.0,12.425724,16555.21,369225.43,385780.63,800,0,118111.0,101727.0,487336.43,487507.63,True,0.6,c0.00075_s0.0005
9,2023-12-14,4,2023-12-13,688041,SELL,HOLD_EXPIRY,78.13,78.3643,400,31345.7193,93.7193,23.509289,0.0,0.0,23.509289,31322.21,385780.63,417102.84,400,0,101727.0,70475.0,487507.63,487577.84,True,0.6,c0.00075_s0.0005
10,2023-12-14,5,2023-12-13,688271,SELL,HOLD_EXPIRY,140.95,141.5551,500,70777.5435,302.5435,53.083158,0.0,0.0,53.083158,70724.46,417102.84,487827.3,500,0,70475.0,0.0,487577.84,487827.3,True,0.6,c0.00075_s0.0005
11,2023-12-14,6,2023-12-13,000568,BUY,TARGET_REBALANCE,176.0,195.4324,200,39086.4735,3886.4735,29.314855,0.0,0.0,29.314855,-39115.79,487827.3,448711.51,0,200,0.0,35200.0,487827.3,483911.51,True,0.6,c0.00075_s0.0005
12,2023-12-14,7,2023-12-13,002558,BUY,TARGET_REBALANCE,14.45,15.0696,1800,27125.3359,1115.3359,20.344002,0.0,0.0,20.344002,-27145.68,448711.51,421565.83,0,1800,35200.0,61210.0,483911.51,482775.83,True,0.6,c0.00075_s0.0005
13,2023-12-14,8,2023-12-13,600938,BUY,TARGET_REBALANCE,19.45,21.2947,2600,55366.3293,4796.3293,41.524747,0.0,0.0,41.524747,-55407.85,421565.83,366157.98,0,2600,61210.0,111780.0,482775.83,477937.98,True,0.6,c0.00075_s0.0005
14,2023-12-14,9,2023-12-13,601398,BUY,TARGET_REBALANCE,4.79,5.4752,17700,96911.6816,12128.6816,72.683761,0.0,0.0,72.683761,-96984.37,366157.98,269173.62,0,17700,111780.0,196563.0,477937.98,465736.62,True,0.6,c0.00075_s0.0005
15,2023-12-19,1,2023-12-18,300750,BUY,TARGET_REBALANCE,146.31,156.6268,400,62650.7097,4126.7097,46.988032,0.0,0.0,46.988032,-62697.7,269173.62,206475.92,0,400,194567.0,253091.0,463740.62,459566.92,True,0.6,c0.00075_s0.0005
16,2023-12-28,1,2023-12-27,000568,SELL,HOLD_EXPIRY,171.0,189.6905,200,37938.1015,3738.1015,28.453576,0.0,0.0,28.453576,37909.65,206475.92,244385.57,200,0,254285.0,220085.0,460760.92,464470.57,True,0.6,c0.00075_s0.0005
17,2023-12-28,2,2023-12-27,002558,SELL,HOLD_EXPIRY,10.82,11.2727,1800,20290.7895,814.7895,15.218092,0.0,0.0,15.218092,20275.57,244385.57,264661.14,1800,0,220085.0,200609.0,464470.57,465270.14,True,0.6,c0.00075_s0.0005
18,2023-12-28,3,2023-12-27,601398,SELL,HOLD_EXPIRY,4.83,5.5154,17700,97623.3039,12132.3039,73.217478,0.0,0.0,73.217478,97550.09,264661.14,362211.22,17700,0,200609.0,115118.0,465270.14,477329.22,True,0.6,c0.00075_s0.0005
19,2023-12-28,4,2023-12-27,002786,BUY,TARGET_REBALANCE,17.71,17.7189,1100,19490.7405,9.7405,14.618055,0.0,0.0,14.618055,-19505.36,362211.22,342705.86,0,1100,115118.0,134599.0,477329.22,477304.86,True,0.6,c0.00075_s0.0005
20,2023-12-28,5,2023-12-27,002855,BUY,TARGET_REBALANCE,38.6,38.6193,600,23171.58,11.58,17.378685,0.0,0.0,17.378685,-23188.96,342705.86,319516.91,0,600,134599.0,157759.0,477304.86,477275.91,True,0.6,c0.00075_s0.0005
21,2023-12-28,6,2023-12-27,300735,BUY,TARGET_REBALANCE,22.45,23.2017,3200,74245.4242,2405.4242,55.684068,0.0,0.0,55.684068,-74301.11,319516.91,245215.8,0,3200,157759.0,229599.0,477275.91,474814.8,True,0.6,c0.00075_s0.0005
22,2023-12-28,7,2023-12-27,600938,BUY,TARGET_REBALANCE,20.55,22.4991,2000,44998.2879,3898.2879,33.748716,0.0,0.0,33.748716,-45032.04,245215.8,200183.76,2600,4600,229599.0,270699.0,474814.8,470882.76,True,0.6,c0.00075_s0.0005
23,2023-12-29,1,2023-12-28,600938,SELL,HOLD_EXPIRY,20.5,22.4219,4600,103140.6639,8840.6639,77.355498,0.0,0.0,77.355498,103063.31,200183.76,303247.07,4600,0,273172.0,178872.0,473355.76,482119.07,True,0.6,c0.00075_s0.0005
24,2023-12-29,2,2023-12-28,600941,BUY,TARGET_REBALANCE,97.26,108.5298,900,97676.854,10142.854,73.257641,0.0,0.0,73.257641,-97750.11,303247.07,205496.96,0,900,178872.0,266406.0,482119.07,471902.96,True,0.6,c0.00075_s0.0005
25,2024-01-03,1,2024-01-02,300750,SELL,HOLD_EXPIRY,156.1,166.9401,400,66776.0353,4336.0353,50.082026,0.0,0.0,50.082026,66725.95,205496.96,272222.91,400,0,260314.0,197874.0,465810.96,470096.91,True,0.6,c0.00075_s0.0005
26,2024-01-03,2,2024-01-02,002241,BUY,TARGET_REBALANCE,20.75,21.4252,3600,77130.7461,2430.7461,57.84806,0.0,0.0,57.84806,-77188.59,272222.91,195034.32,0,3600,197874.0,272574.0,470096.91,467608.32,True,0.6,c0.00075_s0.0005
27,2024-01-12,1,2024-01-11,002786,SELL,HOLD_EXPIRY,16.3,16.2919,1100,17921.035,8.965,13.440776,0.0,0.0,13.440776,17907.59,195034.32,212941.91,1100,0,256702.0,238772.0,451736.32,451713.91,True,0.6,c0.00075_s0.0005
28,2024-01-12,2,2024-01-11,002855,SELL,HOLD_EXPIRY,33.85,33.8331,600,20299.845,10.155,15.224884,0.0,0.0,15.224884,20284.62,212941.91,233226.53,600,0,238772.0,218462.0,451713.91,451688.53,True,0.6,c0.00075_s0.0005
29,2024-01-12,3,2024-01-11,300735,SELL,HOLD_EXPIRY,20.17,20.8245,3200,66638.3442,2094.3442,49.978758,0.0,0.0,49.978758,66588.37,233226.53,299814.9,3200,0,218462.0,153918.0,451688.53,453732.9,True,0.6,c0.00075_s0.0005
