order_id,execution_date,execution_sequence,signal_date,symbol,side,reference_open_price_exact,fill_price_exact,gross_notional_exact,price_impact_cost_exact,commission_exact,total_fee_exact,cash_delta_exact,cash_before_exact,cash_after_exact,reference_open_price,fill_price,shares_filled,gross_notional,price_impact_cost,commission,total_fee,cash_delta,cash_before,cash_after,shares_before,shares_after,risk_state,target_exposure,scenario
1,2023-11-30,1,2023-11-29,002142,BUY,23.08,24.7909,99163.6000,6843.6000,74.372700000,74.372700000,-99237.972700000,500000.0,400762.0273,23.08,24.7909,4000,99163.6,6843.6,74.3727,74.3727,-99237.97,500000.0,400762.03,0,4000,False,0.6,c0.00075_s0.0
2,2023-11-30,2,2023-11-29,002594,BUY,201.6,619.5316,61953.1600,41793.1600,46.464870000,46.464870000,-61999.624870000,400762.0273,338762.40243,201.6,619.5316,100,61953.16,41793.16,46.46487,46.46487,-61999.62,400762.03,338762.4,0,100,False,0.6,c0.00075_s0.0
3,2023-11-30,3,2023-11-29,300351,BUY,23.0,23.2694,18615.5200,215.5200,13.961640000,13.961640000,-18629.481640000,338762.40243,320132.92079,23.0,23.2694,800,18615.52,215.52,13.96164,13.96164,-18629.48,338762.4,320132.92,0,800,False,0.6,c0.00075_s0.0
4,2023-11-30,4,2023-11-29,688041,BUY,71.79,72.0413,28816.5200,100.5200,21.612390000,21.612390000,-28838.132390000,320132.92079,291294.7884,71.79,72.0413,400,28816.52,100.52,21.61239,21.61239,-28838.13,320132.92,291294.79,0,400,False,0.6,c0.00075_s0.0
5,2023-11-30,5,2023-11-29,688271,BUY,138.19,138.8526,69426.3000,331.3000,52.069725000,52.069725000,-69478.369725000,291294.7884,221816.41867500002,138.19,138.8526,500,69426.3,331.3,52.069725,52.069725,-69478.37,291294.79,221816.42,0,500,False,0.6,c0.00075_s0.0
6,2023-12-14,1,2023-12-13,002142,SELL,20.58,22.1056,88422.4000,6102.4000,66.316800000,66.316800000,88356.083200000,221816.41867499996,310172.50187499996,20.58,22.1056,4000,88422.4,6102.4,66.3168,66.3168,88356.08,221816.42,310172.5,4000,0,True,0.4,c0.00075_s0.0
7,2023-12-14,2,2023-12-13,002594,SELL,193.0,593.1031,59310.3100,40010.3100,44.482732500,44.482732500,59265.827267500,310172.50187499996,369438.32914249995,193.0,593.1031,100,59310.31,40010.31,44.482732,44.482732,59265.83,310172.5,369438.33,100,0,True,0.4,c0.00075_s0.0
8,2023-12-14,3,2023-12-13,300351,SELL,20.48,20.7199,16575.9200,191.9200,12.431940000,12.431940000,16563.488060000,369438.32914249995,386001.81720249995,20.48,20.7199,800,16575.92,191.92,12.43194,12.43194,16563.49,369438.33,386001.82,800,0,True,0.4,c0.00075_s0.0
9,2023-12-14,4,2023-12-13,688041,SELL,78.13,78.4035,31361.4000,109.4000,23.521050000,23.521050000,31337.878950000,386001.81720249995,417339.69615249994,78.13,78.4035,400,31361.4,109.4,23.52105,23.52105,31337.88,386001.82,417339.7,400,0,True,0.4,c0.00075_s0.0
10,2023-12-14,5,2023-12-13,688271,SELL,140.95,141.6259,70812.9500,337.9500,53.109712500,53.109712500,70759.840287500,417339.69615249994,488099.53643999994,140.95,141.6259,500,70812.95,337.95,53.109713,53.109713,70759.84,417339.7,488099.54,500,0,True,0.4,c0.00075_s0.0
