order_id,execution_date,execution_sequence,signal_date,symbol,side,reference_open_price_exact,fill_price_exact,gross_notional_exact,price_impact_cost_exact,commission_exact,total_fee_exact,cash_delta_exact,cash_before_exact,cash_after_exact,reference_open_price,fill_price,shares_filled,gross_notional,price_impact_cost,commission,total_fee,cash_delta,cash_before,cash_after,shares_before,shares_after,risk_state,target_exposure,scenario
1,2023-11-30,1,2023-11-29,002142,BUY,23.08,24.80329545,99213.18180000,6893.18180000,74.4098863500000,74.4098863500000,-99287.5916863500000,500000.0,400712.40831365,23.08,24.8033,4000,99213.1818,6893.1818,74.409886,74.409886,-99287.59,500000.0,400712.41,0,4000,False,0.6,c0.00075_s0.0005
2,2023-11-30,2,2023-11-29,002594,BUY,201.6,619.8413658,61984.1365800,41824.1365800,46.488102435000,46.488102435000,-62030.624682435000,400712.40831365,338681.783631215,201.6,619.8414,100,61984.1366,41824.1366,46.488102,46.488102,-62030.62,400712.41,338681.78,0,100,False,0.6,c0.00075_s0.0005
3,2023-11-30,3,2023-11-29,300351,BUY,23.0,23.2810347,18624.8277600,224.8277600,13.968620820000,13.968620820000,-18638.796380820000,338681.783631215,320042.987250395,23.0,23.281,800,18624.8278,224.8278,13.968621,13.968621,-18638.8,338681.78,320042.99,0,800,False,0.6,c0.00075_s0.0005
4,2023-11-30,4,2023-11-29,688041,BUY,71.79,72.07732065,28830.92826000,114.92826000,21.6231961950000,21.6231961950000,-28852.5514561950000,320042.987250395,291190.4357942,71.79,72.0773,400,28830.9283,114.9283,21.623196,21.623196,-28852.55,320042.99,291190.44,0,400,False,0.6,c0.00075_s0.0005
5,2023-11-30,5,2023-11-29,688271,BUY,138.19,138.9220263,69461.0131500,366.0131500,52.095759862500,52.095759862500,-69513.108909862500,291190.4357942,221677.3268843375,138.19,138.922,500,69461.0131,366.0131,52.09576,52.09576,-69513.11,291190.44,221677.33,0,500,False,0.6,c0.00075_s0.0005
6,2023-12-14,1,2023-12-13,002142,SELL,20.58,22.0945472,88378.1888000,6058.1888000,66.283641600000,66.283641600000,88311.905158400000,221677.3268843375,309989.2320427375,20.58,22.0945,4000,88378.1888,6058.1888,66.283642,66.283642,88311.91,221677.33,309989.23,4000,0,True,0.6,c0.00075_s0.0005
7,2023-12-14,2,2023-12-13,002594,SELL,193.0,592.80654845,59280.65484500,39980.65484500,44.4604911337500,44.4604911337500,59236.1943538662500,309989.2320427375,369225.42639660375,193.0,592.8065,100,59280.6548,39980.6548,44.460491,44.460491,59236.19,309989.23,369225.43,100,0,True,0.6,c0.00075_s0.0005
8,2023-12-14,3,2023-12-13,300351,SELL,20.48,20.70954005,16567.63204000,183.63204000,12.4257240300000,12.4257240300000,16555.2063159700000,369225.42639660375,385780.63271257374,20.48,20.7095,800,16567.632,183.632,12.425724,12.425724,16555.21,369225.43,385780.63,800,0,True,0.6,c0.00075_s0.0005
9,2023-12-14,4,2023-12-13,688041,SELL,78.13,78.36429825,31345.71930000,93.71930000,23.5092894750000,23.5092894750000,31322.2100105250000,385780.63271257374,417102.84272309876,78.13,78.3643,400,31345.7193,93.7193,23.509289,23.509289,31322.21,385780.63,417102.84,400,0,True,0.6,c0.00075_s0.0005
10,2023-12-14,5,2023-12-13,688271,SELL,140.95,141.55508705,70777.54352500,302.54352500,53.0831576437500,53.0831576437500,70724.4603673562500,417102.84272309876,487827.303090455,140.95,141.5551,500,70777.5435,302.5435,53.083158,53.083158,70724.46,417102.84,487827.3,500,0,True,0.6,c0.00075_s0.0005
11,2023-12-14,6,2023-12-13,000568,BUY,176.0,195.43236735,39086.47347000,3886.47347000,29.3148551025000,29.3148551025000,-39115.7883251025000,487827.303090455,448711.51476535253,176.0,195.4324,200,39086.4735,3886.4735,29.314855,29.314855,-39115.79,487827.3,448711.51,0,200,True,0.6,c0.00075_s0.0005
12,2023-12-14,7,2023-12-13,002558,BUY,14.45,15.069631049999998,27125.335889999996400,1115.335889999996400,20.34400191749999730000,20.34400191749999730000,-27145.67989191749639730000,448711.51476535253,421565.83487343503,14.45,15.0696,1800,27125.3359,1115.3359,20.344002,20.344002,-27145.68,448711.51,421565.83,0,1800,True,0.6,c0.00075_s0.0005
13,2023-12-14,8,2023-12-13,600938,BUY,19.45,21.294742049999996,55366.329329999989600,4796.329329999989600,41.52474699749999220000,41.52474699749999220000,-55407.85407699748959220000,421565.83487343503,366157.98079643754,19.45,21.2947,2600,55366.3293,4796.3293,41.524747,41.524747,-55407.85,421565.83,366157.98,0,2600,True,0.6,c0.00075_s0.0005
14,2023-12-14,9,2023-12-13,601398,BUY,4.79,5.47523625,96911.68162500,12128.68162500,72.6837612187500,72.6837612187500,-96984.3653862187500,366157.98079643754,269173.6154102188,4.79,5.4752,17700,96911.6816,12128.6816,72.683761,72.683761,-96984.37,366157.98,269173.62,0,17700,True,0.6,c0.00075_s0.0005
15,2023-12-19,1,2023-12-18,300750,BUY,146.31,156.62677424999998,62650.70969999999200,4126.70969999999200,46.9880322749999940000,46.9880322749999940000,-62697.6977322749919940000,269173.6154102188,206475.91767794377,146.31,156.6268,400,62650.7097,4126.7097,46.988032,46.988032,-62697.7,269173.62,206475.92,0,400,True,0.6,c0.00075_s0.0005
16,2023-12-28,1,2023-12-27,000568,SELL,171.0,189.6905073,37938.1014600,3738.1014600,28.453576095000,28.453576095000,37909.647883905000,206475.91767794377,244385.56556184878,171.0,189.6905,200,37938.1015,3738.1015,28.453576,28.453576,37909.65,206475.92,244385.57,200,0,True,0.6,c0.00075_s0.0005
17,2023-12-28,2,2023-12-27,002558,SELL,10.82,11.272660850000001,20290.789530000001800,814.789530000001800,15.21809214750000135000,15.21809214750000135000,20275.57143785250179865000,244385.56556184878,264661.13699970127,10.82,11.2727,1800,20290.7895,814.7895,15.218092,15.218092,20275.57,244385.57,264661.14,1800,0,True,0.6,c0.00075_s0.0005
18,2023-12-28,3,2023-12-27,601398,SELL,4.83,5.515440900000001,97623.303930000017700,12132.303930000017700,73.21747794750001327500,73.21747794750001327500,97550.08645205251768672500,264661.13699970127,362211.2234517538,4.83,5.5154,17700,97623.3039,12132.3039,73.217478,73.217478,97550.09,264661.14,362211.22,17700,0,True,0.6,c0.00075_s0.0005
19,2023-12-28,4,2023-12-27,002786,BUY,17.71,17.718855,19490.740500,9.740500,14.61805537500,14.61805537500,-19505.35855537500,362211.2234517538,342705.8648963788,17.71,17.7189,1100,19490.7405,9.7405,14.618055,14.618055,-19505.36,362211.22,342705.86,0,1100,True,0.6,c0.00075_s0.0005
20,2023-12-28,5,2023-12-27,002855,BUY,38.6,38.6193,23171.5800,11.5800,17.378685000,17.378685000,-23188.958685000,342705.8648963788,319516.90621137875,38.6,38.6193,600,23171.58,11.58,17.378685,17.378685,-23188.96,342705.86,319516.91,0,600,True,0.6,c0.00075_s0.0005
21,2023-12-28,6,2023-12-27,300735,BUY,22.45,23.20169505,74245.42416000,2405.42416000,55.6840681200000,55.6840681200000,-74301.1082281200000,319516.90621137875,245215.79798325873,22.45,23.2017,3200,74245.4242,2405.4242,55.684068,55.684068,-74301.11,319516.91,245215.8,0,3200,True,0.6,c0.00075_s0.0005
22,2023-12-28,7,2023-12-27,600938,BUY,20.55,22.499143949999997,44998.287899999994000,3898.287899999994000,33.74871592499999550000,33.74871592499999550000,-45032.03661592499399550000,245215.79798325873,200183.76136733373,20.55,22.4991,2000,44998.2879,3898.2879,33.748716,33.748716,-45032.04,245215.8,200183.76,2600,4600,True,0.6,c0.00075_s0.0005
23,2023-12-29,1,2023-12-28,600938,SELL,20.5,22.42188345,103140.66387000,8840.66387000,77.3554979025000,77.3554979025000,103063.3083720975000,200183.76136733373,303247.06973943126,20.5,22.4219,4600,103140.6639,8840.6639,77.355498,77.355498,103063.31,200183.76,303247.07,4600,0,True,0.6,c0.00075_s0.0005
24,2023-12-29,2,2023-12-28,600941,BUY,97.26,108.5298378,97676.8540200,10142.8540200,73.257640515000,73.257640515000,-97750.111660515000,303247.06973943126,205496.95807891624,97.26,108.5298,900,97676.854,10142.854,73.257641,73.257641,-97750.11,303247.07,205496.96,0,900,True,0.6,c0.00075_s0.0005
25,2024-01-03,1,2024-01-02,300750,SELL,156.1,166.9400882,66776.0352800,4336.0352800,50.082026460000,50.082026460000,66725.953253540000,205496.95807891618,272222.91133245616,156.1,166.9401,400,66776.0353,4336.0353,50.082026,50.082026,66725.95,205496.96,272222.91,400,0,True,0.6,c0.00075_s0.0005
26,2024-01-03,2,2024-01-02,002241,BUY,20.75,21.42520725,77130.74610000,2430.74610000,57.8480595750000,57.8480595750000,-77188.5941595750000,272222.91133245616,195034.31717288116,20.75,21.4252,3600,77130.7461,2430.7461,57.84806,57.84806,-77188.59,272222.91,195034.32,0,3600,True,0.6,c0.00075_s0.0005
27,2024-01-12,1,2024-01-11,002786,SELL,16.3,16.29185,17921.03500,8.96500,13.4407762500,13.4407762500,17907.5942237500,195034.31717288116,212941.91139663116,16.3,16.2919,1100,17921.035,8.965,13.440776,13.440776,17907.59,195034.32,212941.91,1100,0,True,0.6,c0.00075_s0.0005
28,2024-01-12,2,2024-01-11,002855,SELL,33.85,33.833075,20299.845000,10.155000,15.22488375000,15.22488375000,20284.62011625000,212941.91139663116,233226.53151288116,33.85,33.8331,600,20299.845,10.155,15.224884,15.224884,20284.62,212941.91,233226.53,600,0,True,0.6,c0.00075_s0.0005
29,2024-01-12,3,2024-01-11,300735,SELL,20.17,20.824482550000003,66638.344160000009600,2094.344160000009600,49.97875812000000720000,49.97875812000000720000,66588.36540188000959280000,233226.53151288116,299814.89691476116,20.17,20.8245,3200,66638.3442,2094.3442,49.978758,49.978758,66588.37,233226.53,299814.9,3200,0,True,0.6,c0.00075_s0.0005
30,2024-01-12,4,2024-01-11,002415,BUY,30.73,33.5081457,23455.7019900,1944.7019900,17.591776492500,17.591776492500,-23473.293766492500,299814.89691476116,276341.60314826865,30.73,33.5081,700,23455.702,1944.702,17.591776,17.591776,-23473.29,299814.9,276341.6,0,700,True,0.6,c0.00075_s0.0005
31,2024-01-12,5,2024-01-11,601398,BUY,4.77,5.45242485,50707.55110500,6346.55110500,38.0306633287500,38.0306633287500,-50745.5817683287500,276341.60314826865,225596.0213799399,4.77,5.4524,9300,50707.5511,6346.5511,38.030663,38.030663,-50745.58,276341.6,225596.02,0,9300,True,0.6,c0.00075_s0.0005
32,2024-01-12,6,2024-01-11,601857,BUY,7.26,8.068132049999999,37113.407429999995400,3717.407429999995400,27.83505557249999655000,27.83505557249999655000,-37141.24248557249539655000,225596.0213799399,188454.7788943674,7.26,8.0681,4600,37113.4074,3717.4074,27.835056,27.835056,-37141.24,225596.02,188454.78,0,4600,True,0.6,c0.00075_s0.0005
33,2024-01-15,1,2024-01-12,600941,SELL,95.19,106.11381655000001,95502.43489500000900,9831.43489500000900,71.6268261712500067500,71.6268261712500067500,95430.8080688287589932500,188454.77889436742,283885.58696319617,95.19,106.1138,900,95502.4349,9831.4349,71.626826,71.626826,95430.81,188454.78,283885.59,900,0,True,0.6,c0.00075_s0.0005
34,2024-01-15,2,2024-01-12,000158,BUY,9.23,9.254624999999999,98099.024999999989400,261.024999999989400,73.57426874999999205000,73.57426874999999205000,-98172.59926874998939205000,283885.58696319617,185712.98769444617,9.23,9.2546,10600,98099.025,261.025,73.574269,73.574269,-98172.6,283885.59,185712.99,0,10600,True,0.6,c0.00075_s0.0005
35,2024-01-17,1,2024-01-16,002241,SELL,18.89,19.485152550000002,70146.549180000007200,2142.549180000007200,52.60991188500000540000,52.60991188500000540000,70093.93926811500719460000,185712.98769444617,255806.92696256118,18.89,19.4852,3600,70146.5492,2142.5492,52.609912,52.609912,70093.94,185712.99,255806.93,3600,0,True,0.6,c0.00075_s0.0005
36,2024-01-17,2,2024-01-16,000338,BUY,14.92,16.3795857,68794.2599400,6130.2599400,51.595694955000,51.595694955000,-68845.855634955000,255806.92696256118,186961.07132760616,14.92,16.3796,4200,68794.2599,6130.2599,51.595695,51.595695,-68845.86,255806.93,186961.07,0,4200,True,0.6,c0.00075_s0.0005
37,2024-01-26,1,2024-01-25,002415,SELL,32.08,34.94521865,24461.65305500,2005.65305500,18.3462397912500,18.3462397912500,24443.3068152087500,186961.07132760616,211404.3781428149,32.08,34.9452,700,24461.6531,2005.6531,18.34624,18.34624,24443.31,186961.07,211404.38,700,0,True,0.6,c0.00075_s0.0005
38,2024-01-26,2,2024-01-25,601398,SELL,5.01,5.721038050000001,53205.653865000009300,6612.653865000009300,39.90424039875000697500,39.90424039875000697500,53165.74962460125929302500,211404.3781428149,264570.1277674162,5.01,5.721,9300,53205.6539,6612.6539,39.90424,39.90424,53165.75,211404.38,264570.13,9300,0,True,0.6,c0.00075_s0.0005
39,2024-01-26,3,2024-01-25,601857,SELL,8.05,8.9371292,41110.7943200,4080.7943200,30.833095740000,30.833095740000,41079.961224260000,264570.1277674162,305650.08899167617,8.05,8.9371,4600,41110.7943,4080.7943,30.833096,30.833096,41079.96,264570.13,305650.09,4600,0,True,0.6,c0.00075_s0.0005
40,2024-01-26,4,2024-01-25,300059,BUY,13.25,13.405199249999999,36194.037974999997300,419.037974999997300,27.14552848124999797500,27.14552848124999797500,-36221.18350348124729797500,305650.08899167617,269428.9054881949,13.25,13.4052,2700,36194.038,419.038,27.145528,27.145528,-36221.18,305650.09,269428.91,0,2700,True,0.6,c0.00075_s0.0005
41,2024-01-26,5,2024-01-25,600030,BUY,20.4,21.849419249999997,48068.722349999993400,3188.722349999993400,36.05154176249999505000,36.05154176249999505000,-48104.77389176249339505000,269428.9054881949,221324.13159643242,20.4,21.8494,2200,48068.7223,3188.7223,36.051542,36.051542,-48104.77,269428.91,221324.13,0,2200,True,0.6,c0.00075_s0.0005
42,2024-01-26,6,2024-01-25,601099,BUY,3.45,3.451725,29684.835000,14.835000,22.26362625000,22.26362625000,-29707.09862625000,221324.13159643242,191617.03297018242,3.45,3.4517,8600,29684.835,14.835,22.263626,22.263626,-29707.1,221324.13,191617.03,0,8600,True,0.6,c0.00075_s0.0005
43,2024-01-29,1,2024-01-26,000158,SELL,9.09,9.10514515,96514.53859000,160.53859000,72.3859039425000,72.3859039425000,96442.1526860575000,191617.03297018242,288059.1856562399,9.09,9.1051,10600,96514.5386,160.5386,72.385904,72.385904,96442.15,191617.03,288059.19,10600,0,True,0.6,c0.00075_s0.0005
44,2024-01-29,2,2024-01-26,000002,BUY,10.41,10.415205,98944.447500,49.447500,74.20833562500,74.20833562500,-99018.65583562500,288059.1856562399,189040.5298206149,10.41,10.4152,9500,98944.4475,49.4475,74.208336,74.208336,-99018.66,288059.19,189040.53,0,9500,True,0.6,c0.00075_s0.0005
45,2024-01-31,1,2024-01-30,000338,SELL,14.91,16.3522198,68679.3231600,6057.3231600,51.509492370000,51.509492370000,68627.813667630000,189040.5298206149,257668.34348824492,14.91,16.3522,4200,68679.3232,6057.3232,51.509492,51.509492,68627.81,189040.53,257668.34,4200,0,True,0.6,c0.00075_s0.0005
46,2024-01-31,2,2024-01-30,601857,BUY,8.34,9.26833185,73219.82161500,7333.82161500,54.9148662112500,54.9148662112500,-73274.7364812112500,257668.34348824492,184393.60700703366,8.34,9.2683,7900,73219.8216,7333.8216,54.914866,54.914866,-73274.74,257668.34,184393.61,0,7900,True,0.6,c0.00075_s0.0005
47,2024-02-19,1,2024-02-08,300059,SELL,13.35,13.4928502,36430.6955400,385.6955400,27.323021655000,27.323021655000,36403.372518345000,184393.60700703366,220796.97952537867,13.35,13.4929,2700,36430.6955,385.6955,27.323022,27.323022,36403.37,184393.61,220796.98,2700,0,True,0.6,c0.00075_s0.0005
48,2024-02-19,2,2024-02-08,600030,SELL,21.12,22.597895400000002,49715.369880000004400,3251.369880000004400,37.28652741000000330000,37.28652741000000330000,49678.08335259000439670000,220796.97952537867,270475.06287796865,21.12,22.5979,2200,49715.3699,3251.3699,37.286527,37.286527,49678.08,220796.98,270475.06,2200,0,True,0.6,c0.00075_s0.0005
49,2024-02-19,3,2024-02-08,601099,SELL,3.29,3.288355,28279.853000,14.147000,21.20988975000,21.20988975000,28258.64311025000,270475.06287796865,298733.70598821866,3.29,3.2884,8600,28279.853,14.147,21.20989,21.20989,28258.64,270475.06,298733.71,8600,0,True,0.6,c0.00075_s0.0005
50,2024-02-19,4,2024-02-08,000895,BUY,28.34,32.4958398,64991.6796000,8311.6796000,48.743759700000,48.743759700000,-65040.423359700000,298733.70598821866,233693.28262851865,28.34,32.4958,2000,64991.6796,8311.6796,48.74376,48.74376,-65040.42,298733.71,233693.28,0,2000,True,0.6,c0.00075_s0.0005
51,2024-02-19,5,2024-02-08,002340,BUY,5.18,5.307252299999999,20698.283969999996100,496.283969999996100,15.52371297749999707500,15.52371297749999707500,-20713.80768297749609707500,233693.28262851865,212979.47494554115,5.18,5.3073,3900,20698.284,496.284,15.523713,15.523713,-20713.81,233693.28,212979.47,0,3900,True,0.6,c0.00075_s0.0005
52,2024-02-19,6,2024-02-08,600111,BUY,18.34,18.4980444,24047.4577200,205.4577200,18.035593290000,18.035593290000,-24065.493313290000,212979.47494554115,188913.98163225115,18.34,18.498,1300,24047.4577,205.4577,18.035593,18.035593,-24065.49,212979.47,188913.98,0,1300,True,0.6,c0.00075_s0.0005
53,2024-02-20,1,2024-02-19,000002,SELL,9.9,9.895050000000001,94002.975000000009500,47.024999999990500,70.50223125000000712500,70.50223125000000712500,93932.47276875000949287500,188913.98163225115,282846.45440100116,9.9,9.8951,9500,94002.975,47.025,70.502231,70.502231,93932.47,188913.98,282846.45,9500,0,True,0.6,c0.00075_s0.0005
54,2024-02-20,2,2024-02-19,002463,BUY,26.39,27.378082199999998,93085.479479999993200,3359.479479999993200,69.81410960999999490000,69.81410960999999490000,-93155.29358960999319490000,282846.45440100116,189691.16081139116,26.39,27.3781,3400,93085.4795,3359.4795,69.81411,69.81411,-93155.29,282846.45,189691.16,0,3400,True,0.6,c0.00075_s0.0005
55,2024-02-22,1,2024-02-21,601857,SELL,8.63,9.5810071,75689.9560900,7512.9560900,56.767467067500,56.767467067500,75633.188622932500,189691.16081139116,265324.34943432367,8.63,9.581,7900,75689.9561,7512.9561,56.767467,56.767467,75633.19,189691.16,265324.35,7900,0,True,0.6,c0.00075_s0.0005
56,2024-02-22,2,2024-02-21,600839,BUY,4.75,4.8220098,78598.7597400,1173.7597400,58.949069805000,58.949069805000,-78657.708809805000,265324.34943432367,186666.64062451868,4.75,4.822,16300,78598.7597,1173.7597,58.94907,58.94907,-78657.71,265324.35,186666.64,0,16300,True,0.6,c0.00075_s0.0005
57,2024-03-04,1,2024-03-01,000895,SELL,29.01,33.23087625,66461.75250000,8441.75250000,49.8463143750000,49.8463143750000,66411.9061856250000,186666.64062451868,253078.54681014369,29.01,33.2309,2000,66461.7525,8441.7525,49.846314,49.846314,66411.91,186666.64,253078.55,2000,0,True,0.6,c0.00075_s0.0005
58,2024-03-04,2,2024-03-01,002340,SELL,5.42,5.5476248,21635.7367200,497.7367200,16.226802540000,16.226802540000,21619.509917460000,253078.54681014369,274698.05672760366,5.42,5.5476,3900,21635.7367,497.7367,16.226803,16.226803,21619.51,253078.55,274698.06,3900,0,True,0.6,c0.00075_s0.0005
59,2024-03-04,3,2024-03-01,600111,SELL,19.1,19.24527255,25018.85431500,188.85431500,18.7641407362500,18.7641407362500,25000.0901742637500,274698.05672760366,299698.1469018674,19.1,19.2453,1300,25018.8543,188.8543,18.764141,18.764141,25000.09,274698.06,299698.15,1300,0,True,0.6,c0.00075_s0.0005
60,2024-03-04,4,2024-03-01,002281,BUY,34.45,34.889135849999995,34889.135849999995000,439.135849999995000,26.16685188749999625000,26.16685188749999625000,-34915.30270188749499625000,299698.1469018674,264782.8441999799,34.45,34.8891,1000,34889.1358,439.1358,26.166852,26.166852,-34915.3,299698.15,264782.84,0,1000,True,0.6,c0.00075_s0.0005
