order_id,execution_date,execution_sequence,signal_date,symbol,side,reference_open_price,fill_price,shares_filled,gross_notional,price_impact_cost,commission,stamp_tax,transfer_fee,total_fee,cash_delta,cash_before,cash_after,shares_before,shares_after,market_value_before,market_value_after,equity_before,equity_after,risk_state,target_exposure,scenario
1,2023-11-30,1,2023-11-29,002142,BUY,23.08,24.7909,4000,99163.6000,6843.6000,148.745400,0,0,148.745400,-99312.345400,500000.0,400687.6546,0,4000,0,92320.00,500000.0,493007.6546,False,0.6000,c0.0015_s0.0
2,2023-11-30,2,2023-11-29,002594,BUY,201.6,619.5316,100,61953.1600,41793.1600,92.929740,0,0,92.929740,-62046.089740,400687.6546,338641.56486,0,100,92320.00,112480.00,493007.6546,451121.56486,False,0.6000,c0.0015_s0.0
3,2023-11-30,3,2023-11-29,300351,BUY,23.0,23.2694,800,18615.5200,215.5200,27.923280,0,0,27.923280,-18643.443280,338641.56486,319998.12158,0,800,112480.00,130880.00,451121.56486,450878.12158,False,0.6000,c0.0015_s0.0
4,2023-11-30,4,2023-11-29,688041,BUY,71.79,72.0413,400,28816.5200,100.5200,43.224780,0,0,43.224780,-28859.744780,319998.12158,291138.37679999997,0,400,130880.00,159596.00,450878.12158,450734.37679999997,False,0.6000,c0.0015_s0.0
5,2023-11-30,5,2023-11-29,688271,BUY,138.19,138.8526,500,69426.3000,331.3000,104.139450,0,0,104.139450,-69530.439450,291138.37679999997,221607.93734999996,0,500,159596.00,228691.00,450734.37679999997,450298.93734999996,False,0.6000,c0.0015_s0.0
6,2023-12-14,1,2023-12-13,002142,SELL,20.58,22.1056,4000,88422.4000,6102.4000,132.633600,0,0,132.633600,88289.766400,221607.93734999996,309897.70375,4000,0,219731.00,137411.00,441338.93734999996,447308.70375,True,0.4000,c0.0015_s0.0
7,2023-12-14,2,2023-12-13,002594,SELL,193.0,593.1031,100,59310.3100,40010.3100,88.965465,0,0,88.965465,59221.344535,309897.70375,369119.04828499997,100,0,137411.00,118111.00,447308.70375,487230.04828499997,True,0.4000,c0.0015_s0.0
8,2023-12-14,3,2023-12-13,300351,SELL,20.48,20.7199,800,16575.9200,191.9200,24.863880,0,0,24.863880,16551.056120,369119.04828499997,385670.104405,800,0,118111.00,101727.00,487230.04828499997,487397.104405,True,0.4000,c0.0015_s0.0
9,2023-12-14,4,2023-12-13,688041,SELL,78.13,78.4035,400,31361.4000,109.4000,47.042100,0,0,47.042100,31314.357900,385670.104405,416984.462305,400,0,101727.00,70475.00,487397.104405,487459.462305,True,0.4000,c0.0015_s0.0
10,2023-12-14,5,2023-12-13,688271,SELL,140.95,141.6259,500,70812.9500,337.9500,106.219425,0,0,106.219425,70706.730575,416984.462305,487691.19288,500,0,70475.00,0,487459.462305,487691.19288,True,0.4000,c0.0015_s0.0
