order_id,execution_date,signal_date,symbol,side,order_reason,shares_requested,shares_filled,execution_price,notional,commission,stamp_tax,slippage,total_cost,cash_before,cash_delta,cash_after,shares_before,shares_after,market_value_before,market_value_after,equity_before,equity_after,nav_before,nav_after,tradable,limit_blocked,suspended,risk_state,target_exposure,actual_exposure,strategy_label
1,2023-11-30,2023-11-29,002142,BUY,TARGET_REBALANCE,4000,4000,24.79,99163.6,74.3727,0.0,0.0,74.3727,500000.0,-99163.6,221816.42,0,4000,0.0,228691.0,500000.0,450507.42,1.0,0.908999,True,False,False,False,0.6,0.512,B2
2,2023-11-30,2023-11-29,002594,BUY,TARGET_REBALANCE,100,100,619.53,61953.16,46.4649,0.0,0.0,46.4649,500000.0,-61953.16,221816.42,0,100,0.0,228691.0,500000.0,450507.42,1.0,0.908999,True,False,False,False,0.6,0.512,B2
3,2023-11-30,2023-11-29,300351,BUY,TARGET_REBALANCE,800,800,23.27,18615.52,13.9616,0.0,0.0,13.9616,500000.0,-18615.52,221816.42,0,800,0.0,228691.0,500000.0,450507.42,1.0,0.908999,True,False,False,False,0.6,0.512,B2
4,2023-11-30,2023-11-29,688041,BUY,TARGET_REBALANCE,400,400,72.04,28816.52,21.6124,0.0,0.0,21.6124,500000.0,-28816.52,221816.42,0,400,0.0,228691.0,500000.0,450507.42,1.0,0.908999,True,False,False,False,0.6,0.512,B2
5,2023-11-30,2023-11-29,688271,BUY,TARGET_REBALANCE,500,500,138.85,69426.3,52.0697,0.0,0.0,52.0697,500000.0,-69426.3,221816.42,0,500,0.0,228691.0,500000.0,450507.42,1.0,0.908999,True,False,False,False,0.6,0.512,B2
6,2023-12-14,2023-12-13,002142,SELL,HOLD_EXPIRY,4000,4000,22.11,88422.4,66.3168,0.0,0.0,66.3168,221816.42,88356.08,349629.3,4000,0,219731.0,124527.0,441547.42,474156.3,0.883095,0.946223,True,False,False,True,0.4,0.261,B2
7,2023-12-14,2023-12-13,002594,SELL,HOLD_EXPIRY,100,100,593.1,59310.31,44.4827,0.0,0.0,44.4827,221816.42,59265.83,349629.3,100,0,219731.0,124527.0,441547.42,474156.3,0.883095,0.946223,True,False,False,True,0.4,0.261,B2
8,2023-12-14,2023-12-13,300351,SELL,HOLD_EXPIRY,800,800,20.72,16575.92,12.4319,0.0,0.0,12.4319,221816.42,16563.49,349629.3,800,0,219731.0,124527.0,441547.42,474156.3,0.883095,0.946223,True,False,False,True,0.4,0.261,B2
9,2023-12-14,2023-12-13,688041,SELL,HOLD_EXPIRY,400,400,78.4,31361.4,23.521,0.0,0.0,23.521,221816.42,31337.88,349629.3,400,0,219731.0,124527.0,441547.42,474156.3,0.883095,0.946223,True,False,False,True,0.4,0.261,B2
10,2023-12-14,2023-12-13,688271,SELL,HOLD_EXPIRY,500,500,141.63,70812.95,53.1097,0.0,0.0,53.1097,221816.42,70759.84,349629.3,500,0,219731.0,124527.0,441547.42,474156.3,0.883095,0.946223,True,False,False,True,0.4,0.261,B2
11,2023-12-14,2023-12-13,000568,BUY,TARGET_REBALANCE,100,100,195.33,19533.47,14.6501,0.0,0.0,14.6501,221816.42,-19533.47,349629.3,0,100,219731.0,124527.0,441547.42,474156.3,0.883095,0.946223,True,False,False,True,0.4,0.261,B2
12,2023-12-14,2023-12-13,002558,BUY,TARGET_REBALANCE,1200,1200,15.06,18074.52,13.5559,0.0,0.0,13.5559,221816.42,-18074.52,349629.3,0,1200,219731.0,124527.0,441547.42,474156.3,0.883095,0.946223,True,False,False,True,0.4,0.261,B2
13,2023-12-14,2023-12-13,600938,BUY,TARGET_REBALANCE,1700,1700,21.28,36182.97,27.1372,0.0,0.0,27.1372,221816.42,-36182.97,349629.3,0,1700,219731.0,124527.0,441547.42,474156.3,0.883095,0.946223,True,False,False,True,0.4,0.261,B2
14,2023-12-14,2023-12-13,601398,BUY,TARGET_REBALANCE,11800,11800,5.47,64575.5,48.4316,0.0,0.0,48.4316,221816.42,-64575.5,349629.3,0,11800,219731.0,124527.0,441547.42,474156.3,0.883095,0.946223,True,False,False,True,0.4,0.261,B2
15,2023-12-19,2023-12-18,300750,BUY,TARGET_REBALANCE,300,300,156.55,46964.55,35.2234,0.0,0.0,35.2234,349629.3,-46964.55,302629.53,0,300,123308.0,167201.0,472937.3,469830.53,0.945875,0.942561,True,False,False,True,0.4,0.3579,B2
16,2023-12-28,2023-12-27,000568,SELL,HOLD_EXPIRY,100,100,189.79,18978.54,14.2339,0.0,0.0,14.2339,302629.53,18964.31,296584.24,100,0,168279.0,180843.0,470908.53,477427.24,0.941817,0.96199,True,False,False,True,0.4,0.3834,B2
17,2023-12-28,2023-12-27,002558,SELL,HOLD_EXPIRY,1200,1200,11.28,13533.96,10.1505,0.0,0.0,10.1505,302629.53,13523.81,296584.24,1200,0,168279.0,180843.0,470908.53,477427.24,0.941817,0.96199,True,False,False,True,0.4,0.3834,B2
18,2023-12-28,2023-12-27,601398,SELL,HOLD_EXPIRY,11800,11800,5.52,65114.76,48.8361,0.0,0.0,48.8361,302629.53,65065.92,296584.24,11800,0,168279.0,180843.0,470908.53,477427.24,0.941817,0.96199,True,False,False,True,0.4,0.3834,B2
