signal_date,execution_date,symbol,side,requested_shares,filled_shares,target_relative_weight,actual_relative_weight,entry_reason,exit_reason,fill_price,position_ratio,in_risk
2023-11-29,2023-11-30,002142,BUY,4000,4000,0.142614,0.433614,NEW_ENTRY,,24.79,0.6,False
2023-11-29,2023-11-30,002594,BUY,100,100,0.091685,0.270903,NEW_ENTRY,,619.53,0.6,False
2023-11-29,2023-11-30,300351,BUY,800,800,0.027524,0.0814,NEW_ENTRY,,23.27,0.6,False
2023-11-29,2023-11-30,688041,BUY,400,400,0.050024,0.126006,NEW_ENTRY,,72.04,0.6,False
2023-11-29,2023-11-30,688271,BUY,500,500,0.109192,0.303581,NEW_ENTRY,,138.85,0.6,False
2023-12-13,2023-12-14,002142,SELL,4000,4000,0.0,0.0,,HOLD_EXPIRY,22.11,0.6,True
2023-12-13,2023-12-14,002594,SELL,100,100,0.0,0.0,,HOLD_EXPIRY,593.1,0.6,True
2023-12-13,2023-12-14,300351,SELL,800,800,0.0,0.0,,HOLD_EXPIRY,20.72,0.6,True
2023-12-13,2023-12-14,688041,SELL,400,400,0.0,0.0,,HOLD_EXPIRY,78.4,0.6,True
2023-12-13,2023-12-14,688271,SELL,500,500,0.0,0.0,,HOLD_EXPIRY,141.63,0.6,True
2023-12-13,2023-12-14,000568,BUY,200,200,0.083933,0.19875,NEW_ENTRY,,195.33,0.6,True
2023-12-13,2023-12-14,002558,BUY,1800,1800,0.058585,0.137929,NEW_ENTRY,,15.06,0.6,True
2023-12-13,2023-12-14,600938,BUY,2600,2600,0.115368,0.281531,NEW_ENTRY,,21.28,0.6,True
2023-12-13,2023-12-14,601398,BUY,17700,17700,0.2,0.492785,NEW_ENTRY,,5.47,0.6,True
2023-12-18,2023-12-19,300750,BUY,400,400,0.08993,0.247419,NEW_ENTRY,,156.55,0.6,True
2023-12-27,2023-12-28,000568,SELL,200,200,0.0,0.0,,HOLD_EXPIRY,189.79,0.6,True
2023-12-27,2023-12-28,002558,SELL,1800,1800,0.0,0.0,,HOLD_EXPIRY,11.28,0.6,True
2023-12-27,2023-12-28,601398,SELL,17700,17700,0.0,0.0,,HOLD_EXPIRY,5.52,0.6,True
2023-12-27,2023-12-28,002786,BUY,1100,1100,0.021372,0.071966,NEW_ENTRY,,17.71,0.6,True
2023-12-27,2023-12-28,002855,BUY,600,600,0.025125,0.085556,NEW_ENTRY,,38.6,0.6,True
2023-12-27,2023-12-28,300735,BUY,3200,3200,0.077851,0.274136,NEW_ENTRY,,23.19,0.6,True
2023-12-27,2023-12-28,600938,BUY,2000,2000,0.10692,0.382138,EXISTING_ADD,,22.49,0.6,True
2023-12-28,2023-12-29,600938,SELL,4600,4600,0.0,0.0,,HOLD_EXPIRY,22.43,0.6,True
2023-12-28,2023-12-29,600941,BUY,900,900,0.129602,0.366463,NEW_ENTRY,,108.48,0.6,True
2024-01-02,2024-01-03,300750,SELL,400,400,0.0,0.0,,HOLD_EXPIRY,167.02,0.6,True
2024-01-02,2024-01-03,002241,BUY,3700,3700,0.054671,0.288491,NEW_ENTRY,,21.41,0.6,True
2024-01-11,2024-01-12,002786,SELL,1100,1100,0.0,0.0,,HOLD_EXPIRY,16.3,0.6,True
2024-01-11,2024-01-12,002855,SELL,600,600,0.0,0.0,,HOLD_EXPIRY,33.85,0.6,True
2024-01-11,2024-01-12,300735,SELL,3200,3200,0.0,0.0,,HOLD_EXPIRY,20.83,0.6,True
2024-01-11,2024-01-12,002415,BUY,700,700,0.100096,0.092339,NEW_ENTRY,,33.49,0.6,True
2024-01-11,2024-01-12,601398,BUY,9200,9200,0.2,0.197475,NEW_ENTRY,,5.45,0.6,True
2024-01-11,2024-01-12,601857,BUY,4500,4500,0.146387,0.142929,NEW_ENTRY,,8.06,0.6,True
2024-01-12,2024-01-15,600941,SELL,900,900,0.0,0.0,,HOLD_EXPIRY,106.17,0.6,True
2024-01-12,2024-01-15,000158,BUY,10600,10600,0.043129,0.372678,NEW_ENTRY,,9.25,0.6,True
2024-01-16,2024-01-17,002241,SELL,3700,3700,0.0,0.0,,HOLD_EXPIRY,19.49,0.6,True
2024-01-16,2024-01-17,000338,BUY,4300,4300,0.142752,0.270266,NEW_ENTRY,,16.37,0.6,True
2024-01-25,2024-01-26,002415,SELL,700,700,0.0,0.0,,HOLD_EXPIRY,34.96,0.6,True
2024-01-25,2024-01-26,601398,SELL,9200,9200,0.0,0.0,,HOLD_EXPIRY,5.72,0.6,True
2024-01-25,2024-01-26,601857,SELL,4500,4500,0.0,0.0,,HOLD_EXPIRY,8.94,0.6,True
2024-01-25,2024-01-26,300059,BUY,2600,2600,0.072136,0.128326,NEW_ENTRY,,13.4,0.6,True
2024-01-25,2024-01-26,600030,BUY,2200,2200,0.099637,0.176982,NEW_ENTRY,,21.84,0.6,True
2024-01-25,2024-01-26,601099,BUY,8500,8500,0.059413,0.108025,NEW_ENTRY,,3.45,0.6,True
2024-01-26,2024-01-29,000158,SELL,10600,10600,0.0,0.0,,HOLD_EXPIRY,9.11,0.6,True
2024-01-26,2024-01-29,000002,BUY,9500,9500,0.07221,0.362453,NEW_ENTRY,,10.41,0.6,True
2024-01-30,2024-01-31,000338,SELL,4300,4300,0.0,0.0,,HOLD_EXPIRY,16.36,0.6,True
2024-01-30,2024-01-31,601857,BUY,8100,8100,0.053741,0.282546,NEW_ENTRY,,9.26,0.6,True
2024-02-08,2024-02-19,300059,SELL,2600,2600,0.0,0.0,,HOLD_EXPIRY,13.5,0.6,True
2024-02-08,2024-02-19,600030,SELL,2200,2200,0.0,0.0,,HOLD_EXPIRY,22.61,0.6,True
2024-02-08,2024-02-19,601099,SELL,8500,8500,0.0,0.0,,HOLD_EXPIRY,3.29,0.6,True
2024-02-08,2024-02-19,000895,BUY,2000,2000,0.119855,0.246387,NEW_ENTRY,,32.48,0.6,True
2024-02-08,2024-02-19,002340,BUY,3900,3900,0.038194,0.078468,NEW_ENTRY,,5.3,0.6,True
2024-02-08,2024-02-19,600111,BUY,1300,1300,0.044163,0.091165,NEW_ENTRY,,18.49,0.6,True
2024-02-19,2024-02-20,000002,SELL,9500,9500,0.0,0.0,,HOLD_EXPIRY,9.9,0.6,True
2024-02-19,2024-02-20,002463,BUY,3400,3400,0.034185,0.356242,NEW_ENTRY,,27.36,0.6,True
2024-02-21,2024-02-22,601857,SELL,8100,8100,0.0,0.0,,HOLD_EXPIRY,9.59,0.6,True
2024-02-21,2024-02-22,600839,BUY,16500,16500,0.040701,0.297844,NEW_ENTRY,,4.82,0.6,True
2024-03-01,2024-03-04,000895,SELL,2000,2000,0.0,0.0,,HOLD_EXPIRY,33.25,0.6,True
2024-03-01,2024-03-04,002340,SELL,3900,3900,0.0,0.0,,HOLD_EXPIRY,5.55,0.6,True
2024-03-01,2024-03-04,600111,SELL,1300,1300,0.0,0.0,,HOLD_EXPIRY,19.25,0.6,True
2024-03-01,2024-03-04,002281,BUY,1000,1000,0.02595,0.127146,NEW_ENTRY,,34.87,0.6,True
2024-03-01,2024-03-04,300045,BUY,1300,1300,0.022514,0.108876,NEW_ENTRY,,22.97,0.6,True
2024-03-01,2024-03-04,603220,BUY,800,800,0.0275,0.13347,NEW_ENTRY,,45.76,0.6,True
2024-03-04,2024-03-05,002463,SELL,3400,3400,0.0,0.0,,HOLD_EXPIRY,28.77,0.6,True
2024-03-04,2024-03-05,000938,BUY,3800,3800,0.032198,0.335515,NEW_ENTRY,,25.17,0.6,True
2024-03-06,2024-03-07,600839,SELL,16500,16500,0.0,0.0,,HOLD_EXPIRY,5.63,0.6,True
2024-03-06,2024-03-07,002456,BUY,10000,10000,0.03519,0.337524,NEW_ENTRY,,9.6,0.6,True
2024-03-15,2024-03-18,002281,SELL,1000,1000,0.0,0.0,,HOLD_EXPIRY,40.29,0.6,False
2024-03-15,2024-03-18,300045,SELL,1300,1300,0.0,0.0,,HOLD_EXPIRY,24.91,0.6,False
2024-03-15,2024-03-18,603220,SELL,800,800,0.0,0.0,,HOLD_EXPIRY,47.94,0.6,False
2024-03-15,2024-03-18,601138,BUY,700,700,0.028355,0.06058,NEW_ENTRY,,24.71,0.6,False
2024-03-15,2024-03-18,601225,BUY,1400,1400,0.063075,0.135315,NEW_ENTRY,,27.6,0.6,False
2024-03-15,2024-03-18,601899,BUY,3000,3000,0.076281,0.174697,NEW_ENTRY,,16.63,0.6,False
2024-03-18,2024-03-19,000938,SELL,3800,3800,0.0,0.0,,HOLD_EXPIRY,23.86,0.6,False
2024-03-18,2024-03-19,603993,BUY,11100,11100,0.050664,0.316653,NEW_ENTRY,,8.25,0.6,False
2024-03-20,2024-03-21,002456,SELL,10000,10000,0.0,0.0,,HOLD_EXPIRY,10.41,0.6,False
2024-03-20,2024-03-21,300496,BUY,1600,1600,0.050285,0.358968,NEW_ENTRY,,64.79,0.6,False
2024-03-29,2024-04-01,601138,SELL,700,700,0.0,0.0,,HOLD_EXPIRY,24.13,0.6,False
2024-03-29,2024-04-01,601225,SELL,1400,1400,0.0,0.0,,HOLD_EXPIRY,27.79,0.6,False
2024-03-29,2024-04-01,601899,SELL,3000,3000,0.0,0.0,,HOLD_EXPIRY,17.95,0.6,False
2024-03-29,2024-04-01,000977,BUY,500,500,0.046293,0.078082,NEW_ENTRY,,42.68,0.6,False
2024-03-29,2024-04-01,300975,BUY,700,700,0.021939,0.036269,NEW_ENTRY,,14.16,0.6,False
2024-03-29,2024-04-01,601166,BUY,4200,4200,0.156095,0.286066,NEW_ENTRY,,18.61,0.6,False
2024-04-01,2024-04-02,603993,SELL,11100,11100,0.0,0.0,,HOLD_EXPIRY,8.75,0.6,False
2024-04-01,2024-04-02,600309,BUY,1100,1100,0.124867,0.35725,NEW_ENTRY,,89.34,0.6,False
2024-04-03,2024-04-08,300496,SELL,1600,1600,0.0,0.0,,HOLD_EXPIRY,51.34,0.6,False
2024-04-03,2024-04-08,601857,BUY,7900,7900,0.074485,0.332784,NEW_ENTRY,,11.16,0.6,False
2024-04-16,2024-04-17,000977,SELL,500,500,0.0,0.0,,HOLD_EXPIRY,37.46,0.6,False
2024-04-16,2024-04-17,300975,SELL,700,700,0.0,0.0,,HOLD_EXPIRY,8.78,0.6,False
2024-04-16,2024-04-17,601166,SELL,4200,4200,0.0,0.0,,HOLD_EXPIRY,18.74,0.6,False
2024-04-16,2024-04-17,300760,BUY,100,100,0.131597,0.104431,NEW_ENTRY,,282.08,0.6,False
2024-04-16,2024-04-17,600019,BUY,4800,4800,0.15813,0.134214,NEW_ENTRY,,7.55,0.6,False
2024-04-16,2024-04-17,601658,BUY,6200,6200,0.144246,0.123484,NEW_ENTRY,,5.38,0.6,False
2024-04-17,2024-04-18,600309,SELL,1100,1100,0.0,0.0,,HOLD_EXPIRY,91.85,0.6,False
2024-04-17,2024-04-18,601668,BUY,17400,17400,0.115916,0.379509,NEW_ENTRY,,5.88,0.6,False
2024-04-19,2024-04-22,601857,SELL,100,100,0.0725,0.34565,,PARTIAL_SELL,12.0,0.6,False
2024-04-22,2024-04-23,601857,SELL,7800,7800,0.0,0.0,,HOLD_EXPIRY,11.71,0.6,False
2024-04-22,2024-04-23,002415,BUY,2500,2500,0.118961,0.333993,NEW_ENTRY,,35.86,0.6,False
2024-04-30,2024-05-06,300760,SELL,100,100,0.0,0.0,,HOLD_EXPIRY,324.79,0.6,False
2024-04-30,2024-05-06,600019,SELL,4800,4800,0.0,0.0,,HOLD_EXPIRY,7.6,0.6,False
2024-04-30,2024-05-06,601658,SELL,6200,6200,0.0,0.0,,HOLD_EXPIRY,5.48,0.6,False
2024-04-30,2024-05-06,600570,BUY,700,700,0.052042,0.05633,NEW_ENTRY,,21.45,0.6,False
2024-04-30,2024-05-06,600887,BUY,1400,1400,0.168156,0.173271,NEW_ENTRY,,32.99,0.6,False
2024-04-30,2024-05-06,601919,BUY,2800,2800,0.139277,0.147035,NEW_ENTRY,,14.0,0.6,False
