trade_date,signal_date,nav,cash,equity,position_ratio,position_count,in_risk
2025-07-01,2025-06-30,0.99081622,304879.11,495408.11,0.4,5,True
2025-07-02,2025-07-01,0.98370422,304879.11,491852.11,0.4,5,True
2025-07-03,2025-07-02,0.99157822,304879.11,495789.11,0.4,5,True
2025-07-04,2025-07-03,0.99559422,304879.11,497797.11,0.4,5,True
2025-07-07,2025-07-04,1.00618822,304879.11,503094.11,0.4,5,True
2025-07-08,2025-07-07,1.00834022,304879.11,504170.11,0.4,5,True
2025-07-09,2025-07-08,1.01045622,304879.11,505228.11,0.4,5,True
2025-07-10,2025-07-09,1.00536422,304879.11,502682.11,0.4,5,True
2025-07-11,2025-07-10,1.02256022,304879.11,511280.11,0.4,5,True
2025-07-14,2025-07-11,1.00941022,304879.11,504705.11,0.4,5,True
2025-07-15,2025-07-14,1.01309934,314719.67,506549.67,0.4,5,True
2025-07-16,2025-07-15,1.00932534,314719.67,504662.67,0.4,5,True
2025-07-17,2025-07-16,1.00707334,314719.67,503536.67,0.4,5,True
2025-07-18,2025-07-17,1.01208934,314719.67,506044.67,0.4,5,True
2025-07-21,2025-07-18,1.01044134,314719.67,505220.67,0.4,5,True
2025-07-22,2025-07-21,1.01178734,314719.67,505893.67,0.4,5,True
2025-07-23,2025-07-22,1.01407334,314719.67,507036.67,0.4,5,True
2025-07-24,2025-07-23,1.02650334,314719.67,513251.67,0.4,5,True
2025-07-25,2025-07-24,1.02245934,314719.67,511229.67,0.4,5,True
2025-07-28,2025-07-25,1.02590134,314719.67,512950.67,0.4,5,True
2025-07-29,2025-07-28,1.02622461,313415.3,513112.3,0.4,5,True
2025-07-30,2025-07-29,1.01808261,313415.3,509041.3,0.4,5,True
2025-07-31,2025-07-30,1.00844461,313415.3,504222.3,0.4,5,True
2025-08-01,2025-07-31,1.00384461,313415.3,501922.3,0.4,5,True
2025-08-04,2025-08-01,1.00663261,313415.3,503316.3,0.4,5,True
2025-08-05,2025-08-04,1.00882061,313415.3,504410.3,0.4,5,True
2025-08-06,2025-08-05,1.01332661,313415.3,506663.3,0.4,5,True
2025-08-07,2025-08-06,1.01129661,313415.3,505648.3,0.4,5,True
2025-08-08,2025-08-07,1.01227861,313415.3,506139.3,0.4,5,True
2025-08-11,2025-08-08,1.01479061,313415.3,507395.3,0.4,5,True
2025-08-12,2025-08-11,1.01347512,316619.56,506737.56,0.4,5,True
2025-08-13,2025-08-12,0.96054112,316619.56,480270.56,0.4,5,True
2025-08-14,2025-08-13,0.95968712,316619.56,479843.56,0.4,5,True
2025-08-15,2025-08-14,0.96422912,316619.56,482114.56,0.4,5,True
2025-08-18,2025-08-15,0.96855312,316619.56,484276.56,0.4,5,True
2025-08-19,2025-08-18,1.02422112,316619.56,512110.56,0.4,5,True
2025-08-20,2025-08-19,1.02272312,316619.56,511361.56,0.4,5,True
2025-08-21,2025-08-20,1.02061712,316619.56,510308.56,0.4,5,True
2025-08-22,2025-08-21,1.02378512,316619.56,511892.56,0.4,5,True
2025-08-25,2025-08-22,1.03806512,316619.56,519032.56,0.4,5,True
2025-08-26,2025-08-25,1.04520761,361666.81,522603.81,0.4,3,True
2025-08-27,2025-08-26,1.04269587,318577.93,521347.93,0.4,5,True
2025-08-28,2025-08-27,1.05235787,318577.93,526178.93,0.4,5,True
