trade_date,signal_date,nav,cash,equity,position_ratio,position_count,in_risk
2026-01-05,2025-12-31,1.01507427,259042.14,507537.14,0.5,5,True
2026-01-06,2026-01-05,1.04073827,259042.14,520369.14,0.5,5,True
2026-01-07,2026-01-06,1.03790627,259042.14,518953.14,0.5,5,True
2026-01-08,2026-01-07,1.05645027,259042.14,528225.14,0.5,5,True
2026-01-09,2026-01-08,1.06197627,259042.14,530988.14,0.5,5,True
2026-01-12,2026-01-09,1.09099427,259042.14,545497.14,0.5,5,True
2026-01-13,2026-01-12,1.09227827,259042.14,546139.14,0.5,5,True
2026-01-14,2026-01-13,1.11717627,259042.14,558588.14,0.5,5,True
2026-01-15,2026-01-14,1.09842827,259042.14,549214.14,0.5,5,True
2026-01-16,2026-01-15,1.08547627,259042.14,542738.14,0.5,5,True
2026-01-19,2026-01-16,1.06741646,278202.23,533708.23,0.5,5,True
2026-01-20,2026-01-19,1.06781246,278202.23,533906.23,0.5,5,True
2026-01-21,2026-01-20,1.06057046,278202.23,530285.23,0.5,5,True
2026-01-22,2026-01-21,1.05790046,278202.23,528950.23,0.5,5,True
2026-01-23,2026-01-22,1.05463046,278202.23,527315.23,0.5,5,True
2026-01-26,2026-01-23,1.05266446,278202.23,526332.23,0.5,5,True
2026-01-27,2026-01-26,1.04980446,278202.23,524902.23,0.5,5,True
2026-01-28,2026-01-27,1.04767046,278202.23,523835.23,0.5,5,True
2026-01-29,2026-01-28,1.04902646,278202.23,524513.23,0.5,5,True
2026-01-30,2026-01-29,1.04439046,278202.23,522195.23,0.5,5,True
2026-02-02,2026-01-30,1.02228701,282766.5,511143.5,0.5,5,True
2026-02-03,2026-02-02,1.04800501,282766.5,524002.5,0.5,5,True
2026-02-04,2026-02-03,1.04787301,282766.5,523936.5,0.5,5,True
2026-02-05,2026-02-04,1.01977101,282766.5,509885.5,0.5,5,True
2026-02-06,2026-02-05,1.01569701,282766.5,507848.5,0.5,5,True
2026-02-09,2026-02-06,1.03465101,282766.5,517325.5,0.5,5,True
2026-02-10,2026-02-09,1.03170101,282766.5,515850.5,0.5,5,True
2026-02-11,2026-02-10,1.03847301,282766.5,519236.5,0.5,5,True
2026-02-12,2026-02-11,1.04936501,282766.5,524682.5,0.5,5,True
2026-02-13,2026-02-12,1.02805501,282766.5,514027.5,0.5,5,True
2026-02-24,2026-02-13,1.04408515,296901.58,522042.58,0.5,5,True
2026-02-25,2026-02-24,1.02824715,296901.58,514123.58,0.5,5,True
2026-02-26,2026-02-25,1.03430115,296901.58,517150.58,0.5,5,True
2026-02-27,2026-02-26,1.04235115,296901.58,521175.58,0.5,5,True
2026-03-02,2026-02-27,1.03893115,296901.58,519465.58,0.5,5,True
2026-03-03,2026-03-02,1.01003915,296901.58,505019.58,0.5,5,True
2026-03-04,2026-03-03,1.01182715,296901.58,505913.58,0.5,5,True
2026-03-05,2026-03-04,1.00895115,296901.58,504475.58,0.5,5,True
2026-03-06,2026-03-05,1.01161715,296901.58,505808.58,0.5,5,True
2026-03-09,2026-03-06,1.00602315,296901.58,503011.58,0.5,5,True
2026-03-10,2026-03-09,1.02248914,271280.57,511244.57,0.5,5,True
2026-03-11,2026-03-10,1.04107114,271280.57,520535.57,0.5,5,True
2026-03-12,2026-03-11,1.06132914,271280.57,530664.57,0.5,5,True
2026-03-13,2026-03-12,1.05259114,271280.57,526295.57,0.5,5,True
2026-03-16,2026-03-13,1.04486914,271280.57,522434.57,0.5,5,True
2026-03-17,2026-03-16,1.02946914,271280.57,514734.57,0.5,5,True
2026-03-18,2026-03-17,1.04407514,271280.57,522037.57,0.5,5,True
2026-03-19,2026-03-18,1.03070714,271280.57,515353.57,0.5,5,True
