trade_date,nav,position_ratio,equity,cash
2023-01-04,1.0,0.6,500000.0,500000.0
2023-01-05,1.0,0.6,500000.0,500000.0
2023-01-06,1.0,0.6,500000.0,500000.0
2023-01-09,1.0,0.6,500000.0,500000.0
2023-01-10,1.0,0.6,500000.0,500000.0
2023-01-11,1.0,0.6,500000.0,500000.0
2023-01-12,1.0,0.6,500000.0,500000.0
2023-01-13,1.0,0.6,500000.0,500000.0
2023-01-16,1.0,0.6,500000.0,500000.0
2023-01-17,1.0,0.6,500000.0,500000.0
2023-01-18,1.0,0.6,500000.0,500000.0
2023-01-19,1.0,0.6,500000.0,500000.0
2023-01-20,1.0,0.6,500000.0,500000.0
2023-01-30,1.0,0.6,500000.0,500000.0
2023-01-31,1.0,0.6,500000.0,500000.0
2023-02-01,1.0,0.6,500000.0,500000.0
2023-02-02,1.0,0.6,500000.0,500000.0
2023-02-03,1.0,0.6,500000.0,500000.0
2023-02-06,1.0,0.6,500000.0,500000.0
2023-02-07,1.0,0.6,500000.0,500000.0
2023-02-08,1.0,0.6,500000.0,500000.0
2023-02-09,1.0,0.6,500000.0,500000.0
2023-02-10,1.0,0.6,500000.0,500000.0
2023-02-13,1.0,0.6,500000.0,500000.0
2023-02-14,1.0,0.6,500000.0,500000.0
2023-02-15,1.0,0.6,500000.0,500000.0
2023-02-16,1.0,0.6,500000.0,500000.0
2023-02-17,1.0,0.6,500000.0,500000.0
2023-02-20,1.0,0.6,500000.0,500000.0
2023-02-21,1.0,0.6,500000.0,500000.0
2023-02-22,1.0,0.6,500000.0,500000.0
2023-02-23,1.0,0.6,500000.0,500000.0
2023-02-24,1.0,0.6,500000.0,500000.0
2023-02-27,1.0,0.6,500000.0,500000.0
2023-02-28,1.0,0.6,500000.0,500000.0
2023-03-01,1.0,0.6,500000.0,500000.0
2023-03-02,1.0,0.6,500000.0,500000.0
2023-03-03,1.0,0.6,500000.0,500000.0
2023-03-06,1.0,0.6,500000.0,500000.0
2023-03-07,1.0,0.6,500000.0,500000.0
2023-03-08,1.0,0.6,500000.0,500000.0
2023-03-09,1.0,0.6,500000.0,500000.0
2023-03-10,1.0,0.6,500000.0,500000.0
2023-03-13,1.0,0.6,500000.0,500000.0
2023-03-14,1.0,0.6,500000.0,500000.0
2023-03-15,1.0,0.6,500000.0,500000.0
2023-03-16,1.0,0.6,500000.0,500000.0
2023-03-17,1.0,0.6,500000.0,500000.0
2023-03-20,1.0,0.6,500000.0,500000.0
2023-03-21,1.0,0.6,500000.0,500000.0
2023-03-22,1.0,0.6,500000.0,500000.0
2023-03-23,1.0,0.6,500000.0,500000.0
2023-03-24,1.0,0.6,500000.0,500000.0
2023-03-27,1.0,0.6,500000.0,500000.0
2023-03-28,1.0,0.6,500000.0,500000.0
2023-03-29,1.0,0.6,500000.0,500000.0
2023-03-30,1.0,0.6,500000.0,500000.0
2023-03-31,1.0,0.6,500000.0,500000.0
2023-04-03,1.0,0.6,500000.0,500000.0
2023-04-04,1.0,0.6,500000.0,500000.0
2023-04-06,1.0,0.6,500000.0,500000.0
2023-04-07,1.0,0.6,500000.0,500000.0
2023-04-10,1.0,0.6,500000.0,500000.0
2023-04-11,1.0,0.6,500000.0,500000.0
2023-04-12,1.0,0.6,500000.0,500000.0
2023-04-13,1.0,0.6,500000.0,500000.0
2023-04-14,1.0,0.6,500000.0,500000.0
2023-04-17,1.0,0.6,500000.0,500000.0
2023-04-18,1.0,0.6,500000.0,500000.0
2023-04-19,1.0,0.6,500000.0,500000.0
2023-04-20,1.0,0.6,500000.0,500000.0
2023-04-21,1.0,0.6,500000.0,500000.0
2023-04-24,1.0,0.6,500000.0,500000.0
2023-04-25,1.0,0.6,500000.0,500000.0
2023-04-26,1.0,0.6,500000.0,500000.0
2023-04-27,1.0,0.6,500000.0,500000.0
2023-04-28,1.0,0.6,500000.0,500000.0
2023-05-04,1.0,0.6,500000.0,500000.0
2023-05-05,1.0,0.6,500000.0,500000.0
2023-05-08,1.0,0.6,500000.0,500000.0
2023-05-09,1.0,0.6,500000.0,500000.0
2023-05-10,1.0,0.6,500000.0,500000.0
2023-05-11,1.0,0.6,500000.0,500000.0
2023-05-12,1.0,0.6,500000.0,500000.0
2023-05-15,1.0,0.6,500000.0,500000.0
2023-05-16,1.0,0.6,500000.0,500000.0
2023-05-17,1.0,0.6,500000.0,500000.0
2023-05-18,1.0,0.6,500000.0,500000.0
2023-05-19,1.0,0.6,500000.0,500000.0
2023-05-22,1.0,0.6,500000.0,500000.0
2023-05-23,1.0,0.6,500000.0,500000.0
2023-05-24,1.0,0.6,500000.0,500000.0
2023-05-25,1.0,0.6,500000.0,500000.0
2023-05-26,1.0,0.6,500000.0,500000.0
2023-05-29,1.0,0.6,500000.0,500000.0
2023-05-30,1.0,0.6,500000.0,500000.0
2023-05-31,1.0,0.6,500000.0,500000.0
2023-06-01,1.0,0.6,500000.0,500000.0
2023-06-02,1.0,0.6,500000.0,500000.0
2023-06-05,1.0,0.6,500000.0,500000.0
2023-06-06,1.0,0.6,500000.0,500000.0
2023-06-07,1.0,0.6,500000.0,500000.0
2023-06-08,1.0,0.6,500000.0,500000.0
2023-06-09,1.0,0.6,500000.0,500000.0
2023-06-12,1.0,0.6,500000.0,500000.0
2023-06-13,1.0,0.6,500000.0,500000.0
2023-06-14,1.0,0.6,500000.0,500000.0
2023-06-15,1.0,0.6,500000.0,500000.0
2023-06-16,1.0,0.6,500000.0,500000.0
2023-06-19,1.0,0.6,500000.0,500000.0
2023-06-20,1.0,0.6,500000.0,500000.0
2023-06-21,1.0,0.6,500000.0,500000.0
2023-06-26,1.0,0.6,500000.0,500000.0
2023-06-27,1.0,0.6,500000.0,500000.0
2023-06-28,1.0,0.6,500000.0,500000.0
2023-06-29,1.0,0.6,500000.0,500000.0
2023-06-30,1.0,0.6,500000.0,500000.0
2023-07-03,1.0,0.6,500000.0,500000.0
2023-07-04,1.0,0.6,500000.0,500000.0
2023-07-05,1.0,0.6,500000.0,500000.0
2023-07-06,1.0,0.6,500000.0,500000.0
2023-07-07,1.0,0.6,500000.0,500000.0
2023-07-10,1.0,0.6,500000.0,500000.0
2023-07-11,1.0,0.6,500000.0,500000.0
2023-07-12,1.0,0.6,500000.0,500000.0
2023-07-13,1.0,0.6,500000.0,500000.0
2023-07-14,1.0,0.6,500000.0,500000.0
2023-07-17,1.0,0.6,500000.0,500000.0
2023-07-18,1.0,0.6,500000.0,500000.0
2023-07-19,1.0,0.6,500000.0,500000.0
2023-07-20,1.0,0.6,500000.0,500000.0
2023-07-21,1.0,0.6,500000.0,500000.0
2023-07-24,1.0,0.6,500000.0,500000.0
2023-07-25,1.0,0.6,500000.0,500000.0
2023-07-26,1.0,0.6,500000.0,500000.0
2023-07-27,1.0,0.6,500000.0,500000.0
2023-07-28,1.0,0.6,500000.0,500000.0
2023-07-31,1.0,0.6,500000.0,500000.0
2023-08-01,1.0,0.6,500000.0,500000.0
2023-08-02,1.0,0.6,500000.0,500000.0
2023-08-03,1.0,0.6,500000.0,500000.0
2023-08-04,1.0,0.6,500000.0,500000.0
2023-08-07,1.0,0.6,500000.0,500000.0
2023-08-08,1.0,0.6,500000.0,500000.0
2023-08-09,1.0,0.6,500000.0,500000.0
2023-08-10,1.0,0.6,500000.0,500000.0
2023-08-11,1.0,0.6,500000.0,500000.0
2023-08-14,1.0,0.6,500000.0,500000.0
2023-08-15,1.0,0.6,500000.0,500000.0
2023-08-16,1.0,0.6,500000.0,500000.0
2023-08-17,1.0,0.6,500000.0,500000.0
2023-08-18,1.0,0.6,500000.0,500000.0
2023-08-21,1.0,0.6,500000.0,500000.0
2023-08-22,1.0,0.6,500000.0,500000.0
2023-08-23,1.0,0.6,500000.0,500000.0
2023-08-24,1.0,0.6,500000.0,500000.0
2023-08-25,1.0,0.6,500000.0,500000.0
2023-08-28,1.0,0.6,500000.0,500000.0
2023-08-29,1.0,0.6,500000.0,500000.0
2023-08-30,1.0,0.6,500000.0,500000.0
2023-08-31,1.0,0.6,500000.0,500000.0
2023-09-01,1.0,0.6,500000.0,500000.0
2023-09-04,1.0,0.6,500000.0,500000.0
2023-09-05,1.0,0.6,500000.0,500000.0
2023-09-06,1.0,0.6,500000.0,500000.0
2023-09-07,1.0,0.6,500000.0,500000.0
2023-09-08,1.0,0.6,500000.0,500000.0
2023-09-11,1.0,0.6,500000.0,500000.0
2023-09-12,1.0,0.6,500000.0,500000.0
2023-09-13,1.0,0.6,500000.0,500000.0
2023-09-14,1.0,0.6,500000.0,500000.0
2023-09-15,1.0,0.6,500000.0,500000.0
2023-09-18,1.0,0.6,500000.0,500000.0
2023-09-19,1.0,0.6,500000.0,500000.0
2023-09-20,1.0,0.6,500000.0,500000.0
2023-09-21,1.0,0.6,500000.0,500000.0
2023-09-22,1.0,0.6,500000.0,500000.0
2023-09-25,1.0,0.6,500000.0,500000.0
2023-09-26,1.0,0.6,500000.0,500000.0
2023-09-27,1.0,0.6,500000.0,500000.0
2023-09-28,1.0,0.6,500000.0,500000.0
2023-10-09,1.0,0.6,500000.0,500000.0
2023-10-10,1.0,0.6,500000.0,500000.0
2023-10-11,1.0,0.6,500000.0,500000.0
2023-10-12,1.0,0.6,500000.0,500000.0
2023-10-13,1.0,0.6,500000.0,500000.0
2023-10-16,1.0,0.6,500000.0,500000.0
2023-10-17,1.0,0.6,500000.0,500000.0
2023-10-18,1.0,0.6,500000.0,500000.0
2023-10-19,1.0,0.6,500000.0,500000.0
2023-10-20,1.0,0.6,500000.0,500000.0
2023-10-23,1.0,0.6,500000.0,500000.0
2023-10-24,1.0,0.6,500000.0,500000.0
2023-10-25,1.0,0.6,500000.0,500000.0
2023-10-26,1.0,0.6,500000.0,500000.0
2023-10-27,1.0,0.6,500000.0,500000.0
2023-10-30,1.0,0.6,500000.0,500000.0
2023-10-31,1.0,0.6,500000.0,500000.0
2023-11-01,1.0,0.6,500000.0,500000.0
2023-11-02,1.0,0.6,500000.0,500000.0
2023-11-03,1.0,0.6,500000.0,500000.0
2023-11-06,1.0,0.6,500000.0,500000.0
2023-11-07,1.0,0.6,500000.0,500000.0
2023-11-08,1.0,0.6,500000.0,500000.0
2023-11-09,1.0,0.6,500000.0,500000.0
2023-11-10,1.0,0.6,500000.0,500000.0
2023-11-13,1.0,0.6,500000.0,500000.0
2023-11-14,1.0,0.6,500000.0,500000.0
2023-11-15,1.0,0.6,500000.0,500000.0
2023-11-16,1.0,0.6,500000.0,500000.0
2023-11-17,1.0,0.6,500000.0,500000.0
2023-11-20,1.0,0.6,500000.0,500000.0
2023-11-21,1.0,0.6,500000.0,500000.0
2023-11-22,1.0,0.6,500000.0,500000.0
2023-11-23,1.0,0.6,500000.0,500000.0
2023-11-24,1.0,0.6,500000.0,500000.0
2023-11-27,1.0,0.6,500000.0,500000.0
2023-11-28,1.0,0.6,500000.0,500000.0
2023-11-29,1.0,0.6,500000.0,500000.0
2023-11-30,0.908999,0.6,454499.42,221816.42
2023-12-01,0.903001,0.6,451500.42,221816.42
2023-12-04,0.897699,0.6,448849.42,221816.42
2023-12-05,0.888313,0.6,444156.42,221816.42
2023-12-06,0.897031,0.4,448515.42,221816.42
2023-12-07,0.889689,0.4,444844.42,221816.42
2023-12-08,0.897311,0.4,448655.42,221816.42
2023-12-11,0.897469,0.4,448734.42,221816.42
2023-12-12,0.892371,0.4,446185.42,221816.42
2023-12-13,0.880443,0.4,440221.42,221816.42
2023-12-14,0.946223,0.4,473111.3,349629.3
2023-12-15,0.944735,0.4,472367.3,349629.3
2023-12-18,0.945949,0.4,472974.3,349629.3
2023-12-19,0.942561,0.4,471280.53,302629.53
2023-12-20,0.941357,0.4,470678.53,302629.53
2023-12-21,0.945353,0.4,472676.53,302629.53
2023-12-22,0.943603,0.4,471801.53,302629.53
2023-12-25,0.942585,0.4,471292.53,302629.53
2023-12-26,0.941563,0.4,470781.53,302629.53
2023-12-27,0.942503,0.4,471251.53,302629.53
2023-12-28,0.96199,0.4,480995.24,296584.24
2023-12-29,0.961687,0.4,480843.26,296457.26
2024-01-02,0.948649,0.4,474324.26,296457.26
2024-01-03,0.945117,0.4,472558.36,292950.36
2024-01-04,0.947237,0.4,473618.36,292950.36
2024-01-05,0.940591,0.4,470295.36,292950.36
2024-01-08,0.938761,0.4,469380.36,292950.36
2024-01-09,0.936227,0.4,468113.36,292950.36
2024-01-10,0.928043,0.4,464021.36,292950.36
2024-01-11,0.931073,0.4,465536.36,292950.36
2024-01-12,0.912657,0.4,456328.54,285467.54
2024-01-15,0.929567,0.4,464783.65,283395.65
2024-01-16,0.931109,0.4,465554.65,283395.65
2024-01-17,0.923349,0.4,461674.68,284583.68
2024-01-18,0.929189,0.4,464594.68,284583.68
2024-01-19,0.918179,0.4,459089.68,284583.68
2024-01-22,0.905893,0.4,452946.68,284583.68
2024-01-23,0.906127,0.4,453063.68,284583.68
2024-01-24,0.911443,0.4,455721.68,284583.68
2024-01-25,0.931201,0.4,465600.68,284583.68
2024-01-26,0.945024,0.4,472511.9,288840.9
2024-01-29,0.935954,0.4,467977.07,287839.07
2024-01-30,0.930442,0.4,465221.07,287839.07
2024-01-31,0.925038,0.4,462519.02,283333.02
2024-02-01,0.921246,0.4,460623.02,283333.02
2024-02-02,0.918512,0.4,459256.02,283333.02
2024-02-05,0.91467,0.4,457335.02,283333.02
2024-02-06,0.925032,0.4,462516.02,283333.02
2024-02-07,0.927734,0.4,463867.02,283333.02
2024-02-08,0.935844,0.4,467922.02,283333.02
2024-02-19,0.932659,0.4,466329.55,289710.55
2024-02-20,0.927304,0.4,463651.95,286309.95
2024-02-21,0.920962,0.4,460480.95,286309.95
2024-02-22,0.933188,0.4,466593.85,285447.85
2024-02-23,0.933598,0.4,466798.85,285447.85
2024-02-26,0.942356,0.4,471177.85,285447.85
2024-02-27,0.955228,0.4,477613.85,285447.85
2024-02-28,0.93731,0.4,468654.85,285447.85
2024-02-29,0.947784,0.4,473891.85,285447.85
2024-03-01,0.954598,0.4,477298.85,285447.85
2024-03-04,0.977855,0.4,488927.26,296225.26
2024-03-05,0.970252,0.4,485125.97,299748.97
2024-03-06,0.97029,0.4,485144.97,299748.97
2024-03-07,0.96076,0.4,480379.82,295123.82
2024-03-08,0.971434,0.6,485716.82,295123.82
2024-03-11,0.981664,0.6,490831.82,295123.82
2024-03-12,0.976448,0.6,488223.82,295123.82
2024-03-13,0.969962,0.6,484980.82,295123.82
2024-03-14,0.968562,0.6,484280.82,295123.82
2024-03-15,0.973036,0.6,486517.82,295123.82
2024-03-18,0.977956,0.6,488977.8,200296.8
2024-03-19,0.968723,0.6,484361.36,199571.36
2024-03-20,0.968607,0.6,484303.36,199571.36
2024-03-21,0.963832,0.6,481915.83,202101.83
2024-03-22,0.948328,0.6,474163.83,202101.83
2024-03-25,0.951916,0.6,475957.83,202101.83
2024-03-26,0.944996,0.6,472497.83,202101.83
2024-03-27,0.936674,0.6,468336.83,202101.83
2024-03-28,0.948574,0.6,474286.83,202101.83
2024-03-29,0.955332,0.6,477665.83,202101.83
2024-04-01,0.947417,0.6,473708.61,201454.61
2024-04-02,0.937276,0.6,468637.79,205292.79
2024-04-03,0.92612,0.6,463059.79,205292.79
2024-04-08,0.92089,0.6,460445.18,194693.18
2024-04-09,0.916852,0.6,458426.18,194693.18
2024-04-10,0.921836,0.4,460918.18,194693.18
2024-04-11,0.916912,0.4,458456.18,194693.18
2024-04-12,0.913814,0.4,456907.18,194693.18
2024-04-15,0.923628,0.4,461814.18,194693.18
2024-04-16,0.923174,0.4,461587.18,194693.18
2024-04-17,0.955505,0.4,477752.6,312325.6
2024-04-18,0.940514,0.4,470257.03,295543.03
2024-04-19,0.943304,0.4,471652.03,295543.03
2024-04-22,0.938081,0.4,469040.74,296741.74
2024-04-23,0.934569,0.4,467284.42,293996.42
2024-04-24,0.934749,0.4,467374.42,293996.42
2024-04-25,0.936519,0.4,468259.42,293996.42
2024-04-26,0.937321,0.4,468660.42,293996.42
2024-04-29,0.941259,0.4,470629.42,293996.42
2024-04-30,0.939301,0.4,469650.42,293996.42
2024-05-06,0.944291,0.4,472145.46,297970.46
2024-05-07,0.954187,0.4,477093.28,295638.28
2024-05-08,0.948061,0.4,474030.28,295638.28
2024-05-09,0.950355,0.4,475177.28,295638.28
2024-05-10,0.939485,0.4,469742.74,294195.74
2024-05-13,0.947213,0.4,473606.74,294195.74
