signal_date,execution_date,symbol,side,shares_delta,price,notional,trade_cost,risk_state_on_signal,risk_state_on_execution,allow_new_buys,position_count_before,position_count_after,blocked_reason
2023-11-29,2023-11-30,002142,BUY,4000,24.79,99163.6,74.3727,False,False,False,0,5,
2023-11-29,2023-11-30,002594,BUY,100,619.53,61953.16,46.4649,False,False,False,0,5,
2023-11-29,2023-11-30,300351,BUY,800,23.27,18615.52,13.9616,False,False,False,0,5,
2023-11-29,2023-11-30,688041,BUY,400,72.04,28816.52,21.6124,False,False,False,0,5,
2023-11-29,2023-11-30,688271,BUY,500,138.85,69426.3,52.0697,False,False,False,0,5,
2023-12-13,2023-12-14,002142,SELL,4000,22.11,88422.4,66.3168,True,True,False,5,4,
2023-12-13,2023-12-14,002594,SELL,100,593.1,59310.31,44.4827,True,True,False,5,4,
2023-12-13,2023-12-14,300351,SELL,800,20.72,16575.92,12.4319,True,True,False,5,4,
2023-12-13,2023-12-14,688041,SELL,400,78.4,31361.4,23.521,True,True,False,5,4,
2023-12-13,2023-12-14,688271,SELL,500,141.63,70812.95,53.1097,True,True,False,5,4,
2023-12-13,2023-12-14,000568,BUY,100,195.33,19533.47,14.6501,True,True,False,5,4,
2023-12-13,2023-12-14,002558,BUY,1200,15.06,18074.52,13.5559,True,True,False,5,4,
2023-12-13,2023-12-14,600938,BUY,1700,21.28,36182.97,27.1372,True,True,False,5,4,
2023-12-13,2023-12-14,601398,BUY,11800,5.47,64575.5,48.4316,True,True,False,5,4,
2023-12-19,2023-12-20,600795,BUY,12600,4.51,56856.24,42.6422,True,True,False,4,5,
2023-12-27,2023-12-28,000568,SELL,100,189.79,18978.54,14.2339,True,True,False,5,2,
2023-12-27,2023-12-28,002558,SELL,1200,11.28,13533.96,10.1505,True,True,False,5,2,
2023-12-27,2023-12-28,601398,SELL,11800,5.52,65114.76,48.8361,True,True,False,5,2,
2023-12-27,2023-12-28,600938,BUY,4300,22.49,96697.97,72.5235,True,True,False,5,2,
2023-12-28,2023-12-29,600938,SELL,6000,22.43,134598.6,100.949,True,True,False,2,4,
2023-12-28,2023-12-29,002855,BUY,200,38.0,7600.0,5.7,True,True,False,2,4,
2023-12-28,2023-12-29,600030,BUY,2600,21.76,56585.1,42.4388,True,True,False,2,4,
2023-12-28,2023-12-29,600941,BUY,400,108.48,43390.24,32.5427,True,True,False,2,4,
2024-01-02,2024-01-03,002241,BUY,1300,21.41,27838.85,20.8791,True,True,False,4,5,
2024-01-03,2024-01-04,600795,SELL,12600,4.71,59293.08,44.4698,True,True,False,5,4,
2024-01-04,2024-01-05,601857,BUY,7300,8.21,59922.05,44.9415,True,True,False,4,5,
2024-01-12,2024-01-15,002855,SELL,200,32.87,6574.0,4.9305,True,True,False,5,5,
2024-01-12,2024-01-15,600030,SELL,2600,20.73,53885.26,40.4139,True,True,False,5,5,
2024-01-12,2024-01-15,600941,SELL,400,106.17,42466.76,31.8501,True,True,False,5,5,
2024-01-12,2024-01-15,000158,BUY,1600,9.25,14800.0,11.1,True,True,False,5,5,
2024-01-12,2024-01-15,000338,BUY,3500,15.77,55187.65,41.3907,True,True,False,5,5,
2024-01-12,2024-01-15,002415,BUY,1000,33.24,33240.7,24.9305,True,True,False,5,5,
2024-01-16,2024-01-17,002241,SELL,1300,19.49,25343.37,19.0075,True,True,False,5,4,
2024-01-17,2024-01-18,600309,BUY,400,71.21,28484.68,21.3635,True,True,False,4,5,
2024-01-18,2024-01-19,601857,SELL,7300,7.94,57975.87,43.4819,True,True,False,5,4,
2024-01-23,2024-01-24,300502,BUY,500,107.44,53718.2,40.2887,True,True,False,4,5,
2024-01-26,2024-01-29,000158,SELL,1600,9.11,14575.52,10.9316,True,True,False,5,5,
2024-01-26,2024-01-29,000338,SELL,3500,16.63,58221.45,43.6661,True,True,False,5,5,
2024-01-26,2024-01-29,002415,SELL,1000,34.74,34744.7,26.0585,True,True,False,5,5,
2024-01-26,2024-01-29,000002,BUY,3200,10.41,33312.0,24.984,True,True,False,5,5,
2024-01-26,2024-01-29,600030,BUY,2100,22.18,46580.1,34.9351,True,True,False,5,5,
2024-01-26,2024-01-29,600048,BUY,2700,10.92,29491.02,22.1183,True,True,False,5,5,
2024-01-31,2024-02-01,600309,SELL,400,74.06,29622.36,22.2168,True,True,False,5,5,
2024-01-31,2024-02-01,601600,BUY,6800,5.96,40551.12,30.4133,True,True,False,5,5,
2024-02-06,2024-02-07,300502,SELL,500,101.2,50600.65,37.9505,True,True,False,5,5,
2024-02-06,2024-02-07,601006,BUY,5300,8.37,44377.43,33.2831,True,True,False,5,5,
2024-02-19,2024-02-20,000002,SELL,3200,9.9,31680.0,23.76,True,True,False,5,2,
2024-02-19,2024-02-20,600030,SELL,2100,22.19,46602.57,34.9519,True,True,False,5,2,
2024-02-19,2024-02-20,600048,SELL,2700,10.68,28824.93,21.6187,True,True,False,5,2,
2024-02-21,2024-02-22,002463,BUY,1200,26.13,31356.48,23.5174,True,True,False,2,5,
