curve,total_return,max_drawdown,calmar,sharpe,cvar95,ulcer,n_days,avg_actual_exposure
STATIC20,-0.068641,-0.166833,-0.1262,-0.2037,0.014408,0.078326,842,0.1352
STATIC25,0.224013,-0.136143,0.4581,0.5935,0.01514,0.043097,842,0.1711
STATIC30,0.243569,-0.180696,0.3731,0.4933,0.020004,0.062712,842,0.2073
STATIC35,0.059134,-0.204581,0.0848,0.1127,0.022479,0.094384,842,0.2435
STATIC40,0.257904,-0.244295,0.291,0.3431,0.028901,0.08782,842,0.2781
STATIC45,0.071865,-0.293045,0.0716,0.0909,0.030762,0.147652,842,0.315
STATIC50,0.039766,-0.329965,0.0356,0.0536,0.031028,0.167794,842,0.3519
STATIC55,0.026631,-0.321769,0.0245,0.0296,0.035928,0.170829,842,0.3883
STATIC60,0.133731,-0.351144,0.109,0.1489,0.038301,0.17093,842,0.4244
B2,0.41441,-0.199192,0.5489,0.5834,0.027385,0.084771,842,0.2991
FSC_R7,0.274251,-0.240854,0.3123,0.36,0.028499,0.112273,842,0.2968
