strategy,risk_decision,days,avg_target_position_ratio,avg_daily_return,total_return,max_drawdown
production_governed_vol_position,normal,247,0.7093117408906884,-0.0008621183731978617,-0.22766214998366996,-0.40645415306807664
production_governed_vol_position,reduce_position,366,0.45560109289617495,0.0013124291604082333,0.5713913199964669,-0.14357127508631662
production_governed_vol_position,,2,,-0.009743559656366807,-0.019395897265536255,-0.011670969208024018
production_governed_vol_position_v1_2b_dynamic_score,hard_reduce,31,0.44999999999999984,-0.0002931129036759051,-0.010323539718756103,-0.04527843150584865
production_governed_vol_position_v1_2b_dynamic_score,normal,247,0.7093117408906884,0.000148156812664483,-0.01982345372745542,-0.3393480654172494
production_governed_vol_position_v1_2b_dynamic_score,recovery_reduce,59,0.5550847457627117,0.004121909417236059,0.26532273718533594,-0.052184756351478456
production_governed_vol_position_v1_2b_dynamic_score,reduce_position,276,0.45742753623188415,0.0010150449595630658,0.2961293853171756,-0.149462165737691
production_governed_vol_position_v1_2b_dynamic_score,,2,,-0.009743559656366807,-0.019395897265536255,-0.011670969208024018
production_governed_vol_position_v1_2b_dynamic_score_pattern_veto,hard_reduce,31,0.44999999999999984,-0.0002931129036759051,-0.010323539718756103,-0.04527843150584865
production_governed_vol_position_v1_2b_dynamic_score_pattern_veto,normal,247,0.7093117408906884,0.000148156812664483,-0.01982345372745542,-0.3393480654172494
production_governed_vol_position_v1_2b_dynamic_score_pattern_veto,recovery_reduce,59,0.5550847457627117,0.004121909417236059,0.26532273718533594,-0.052184756351478456
production_governed_vol_position_v1_2b_dynamic_score_pattern_veto,reduce_position,276,0.45742753623188415,0.0010150449595630658,0.2961293853171756,-0.149462165737691
production_governed_vol_position_v1_2b_dynamic_score_pattern_veto,,2,,-0.009743559656366807,-0.019395897265536255,-0.011670969208024018
production_governed_vol_position_v1_2b_gate_tuned,hard_reduce,31,0.44999999999999984,-0.0002931129036759051,-0.010323539718756103,-0.04527843150584865
production_governed_vol_position_v1_2b_gate_tuned,normal,247,0.7093117408906884,0.000148156812664483,-0.01982345372745542,-0.3393480654172494
production_governed_vol_position_v1_2b_gate_tuned,recovery_reduce,59,0.5550847457627117,0.004121909417236059,0.26532273718533594,-0.052184756351478456
production_governed_vol_position_v1_2b_gate_tuned,reduce_position,276,0.45742753623188415,0.0010150449595630658,0.2961293853171756,-0.149462165737691
production_governed_vol_position_v1_2b_gate_tuned,,2,,-0.009743559656366807,-0.019395897265536255,-0.011670969208024018
production_governed_vol_position_v1_2b_gate_tuned_pattern_veto,hard_reduce,31,0.44999999999999984,-0.0002931129036759051,-0.010323539718756103,-0.04527843150584865
production_governed_vol_position_v1_2b_gate_tuned_pattern_veto,normal,247,0.7093117408906884,0.000148156812664483,-0.01982345372745542,-0.3393480654172494
production_governed_vol_position_v1_2b_gate_tuned_pattern_veto,recovery_reduce,59,0.5550847457627117,0.004121909417236059,0.26532273718533594,-0.052184756351478456
production_governed_vol_position_v1_2b_gate_tuned_pattern_veto,reduce_position,276,0.45742753623188415,0.0010150449595630658,0.2961293853171756,-0.149462165737691
production_governed_vol_position_v1_2b_gate_tuned_pattern_veto,,2,,-0.009743559656366807,-0.019395897265536255,-0.011670969208024018
