signal_date,execution_date,market_risk_regime,opportunity_structure,target_total_exposure,core_budget,attack_budget,balanced_budget,defensive_budget,health_scores
2025-09-02,2025-09-03,RISK_ON,NO_EDGE,0.7,0.15,0.0,0.1031,0.4469,"{""core"": 50.0, ""attack"": 50.0, ""balanced"": 50.0, ""defensive"": 50.0}"
2025-09-03,2025-09-04,NEUTRAL,NO_EDGE,0.55,0.1179,0.0,0.081,0.3511,"{""core"": 50.0, ""attack"": 50.0, ""balanced"": 50.0, ""defensive"": 50.0}"
2025-09-04,2025-09-05,NEUTRAL,NO_EDGE,0.55,0.1169,0.0,0.0814,0.3516,"{""core"": 50.4, ""attack"": 49.9, ""balanced"": 50.4, ""defensive"": 50.0}"
2025-09-05,2025-09-08,NEUTRAL,NARROW_MOMENTUM,0.55,0.3027,0.0826,0.055,0.1097,"{""core"": 50.3, ""attack"": 50.3, ""balanced"": 50.3, ""defensive"": 49.9}"
2025-09-08,2025-09-09,NEUTRAL,NARROW_MOMENTUM,0.55,0.3027,0.0826,0.055,0.1097,"{""core"": 50.3, ""attack"": 50.3, ""balanced"": 50.3, ""defensive"": 50.0}"
2025-09-09,2025-09-10,NEUTRAL,NO_EDGE,0.55,0.1169,0.0,0.0814,0.3516,"{""core"": 50.4, ""attack"": 50.4, ""balanced"": 50.4, ""defensive"": 50.0}"
2025-09-10,2025-09-11,NEUTRAL,NO_EDGE,0.55,0.1159,0.0,0.0812,0.3529,"{""core"": 49.7, ""attack"": 49.7, ""balanced"": 49.7, ""defensive"": 50.1}"
2025-09-11,2025-09-12,NEUTRAL,NO_EDGE,0.55,0.1176,0.0,0.0808,0.3516,"{""core"": 49.7, ""attack"": 49.7, ""balanced"": 49.7, ""defensive"": 50.1}"
2025-09-12,2025-09-15,NEUTRAL,NARROW_MOMENTUM,0.55,0.3023,0.0824,0.055,0.1103,"{""core"": 49.6, ""attack"": 49.6, ""balanced"": 49.6, ""defensive"": 49.9}"
2025-09-15,2025-09-16,NEUTRAL,NO_EDGE,0.55,0.1097,0.0,0.0823,0.3579,"{""core"": 49.6, ""attack"": 49.6, ""balanced"": 49.6, ""defensive"": 50.0}"
2025-09-16,2025-09-17,NEUTRAL,NARROW_MOMENTUM,0.55,0.3023,0.0824,0.055,0.1103,"{""core"": 49.6, ""attack"": 49.6, ""balanced"": 49.6, ""defensive"": 50.0}"
2025-09-17,2025-09-18,NEUTRAL,NARROW_MOMENTUM,0.55,0.3023,0.0824,0.055,0.1103,"{""core"": 49.6, ""attack"": 49.6, ""balanced"": 49.6, ""defensive"": 50.0}"
2025-09-18,2025-09-19,NEUTRAL,NARROW_MOMENTUM,0.55,0.3019,0.0823,0.0549,0.111,"{""core"": 49.2, ""attack"": 49.1, ""balanced"": 49.2, ""defensive"": 50.2}"
2025-09-19,2025-09-22,NEUTRAL,NO_EDGE,0.55,0.1153,0.0,0.0811,0.3536,"{""core"": 49.9, ""attack"": 49.9, ""balanced"": 49.9, ""defensive"": 50.5}"
2025-09-22,2025-09-23,NEUTRAL,NARROW_MOMENTUM,0.55,0.3021,0.0823,0.0549,0.1107,"{""core"": 49.7, ""attack"": 49.6, ""balanced"": 49.7, ""defensive"": 50.4}"
2025-09-23,2025-09-24,NEUTRAL,NO_EDGE,0.55,0.1174,0.0,0.0807,0.3519,"{""core"": 49.9, ""attack"": 49.9, ""balanced"": 49.9, ""defensive"": 50.5}"
2025-09-24,2025-09-25,NEUTRAL,NARROW_MOMENTUM,0.55,0.3021,0.0824,0.0549,0.1106,"{""core"": 49.7, ""attack"": 49.7, ""balanced"": 49.7, ""defensive"": 50.4}"
2025-09-25,2025-09-26,NEUTRAL,NO_EDGE,0.55,0.1149,0.0,0.0809,0.3542,"{""core"": 49.2, ""attack"": 49.1, ""balanced"": 49.2, ""defensive"": 50.3}"
2025-09-26,2025-09-29,NEUTRAL,NARROW_MOMENTUM,0.55,0.302,0.0823,0.0549,0.1107,"{""core"": 49.6, ""attack"": 49.6, ""balanced"": 49.6, ""defensive"": 50.5}"
2025-09-29,2025-09-30,NEUTRAL,NARROW_MOMENTUM,0.55,0.302,0.0823,0.0549,0.1107,"{""core"": 49.6, ""attack"": 49.5, ""balanced"": 49.6, ""defensive"": 50.4}"
2025-09-30,2025-10-09,NEUTRAL,NARROW_MOMENTUM,0.55,0.302,0.0823,0.0549,0.1107,"{""core"": 49.6, ""attack"": 49.5, ""balanced"": 49.6, ""defensive"": 50.4}"
2025-10-09,2025-10-10,NEUTRAL,NARROW_MOMENTUM,0.55,0.302,0.0823,0.0549,0.1107,"{""core"": 49.6, ""attack"": 49.5, ""balanced"": 49.6, ""defensive"": 50.4}"
2025-10-10,2025-10-13,NEUTRAL,NARROW_MOMENTUM,0.55,0.3011,0.082,0.0547,0.1122,"{""core"": 49.1, ""attack"": 48.9, ""balanced"": 49.1, ""defensive"": 51.5}"
2025-10-13,2025-10-14,NEUTRAL,NARROW_MOMENTUM,0.55,0.301,0.082,0.0547,0.1124,"{""core"": 48.7, ""attack"": 48.6, ""balanced"": 48.7, ""defensive"": 51.3}"
2025-10-14,2025-10-15,NEUTRAL,NO_EDGE,0.55,0.1133,0.0,0.0803,0.3564,"{""core"": 49.3, ""attack"": 49.2, ""balanced"": 49.3, ""defensive"": 51.7}"
2025-10-15,2025-10-16,NEUTRAL,NO_EDGE,0.55,0.1155,0.0,0.0804,0.3541,"{""core"": 50.4, ""attack"": 50.2, ""balanced"": 50.4, ""defensive"": 52.0}"
2025-10-16,2025-10-17,NEUTRAL,NARROW_MOMENTUM,0.55,0.3015,0.0822,0.0548,0.1115,"{""core"": 48.0, ""attack"": 48.0, ""balanced"": 48.0, ""defensive"": 49.7}"
2025-10-17,2025-10-20,NEUTRAL,NO_EDGE,0.55,0.1155,0.0,0.0805,0.354,"{""core"": 48.4, ""attack"": 48.3, ""balanced"": 48.4, ""defensive"": 49.9}"
2025-10-20,2025-10-21,NEUTRAL,NARROW_MOMENTUM,0.55,0.3014,0.0822,0.0548,0.1116,"{""core"": 48.1, ""attack"": 48.0, ""balanced"": 48.1, ""defensive"": 49.9}"
2025-10-21,2025-10-22,NEUTRAL,NO_EDGE,0.55,0.1145,0.0,0.0805,0.3551,"{""core"": 48.3, ""attack"": 48.3, ""balanced"": 48.3, ""defensive"": 50.1}"
2025-10-22,2025-10-23,RISK_OFF,NO_EDGE,0.35,0.0734,0.0,0.0511,0.2254,"{""core"": 48.4, ""attack"": 48.3, ""balanced"": 48.4, ""defensive"": 50.1}"
2025-10-23,2025-10-24,RISK_OFF,NO_EDGE,0.35,0.0729,0.0,0.0512,0.2259,"{""core"": 48.3, ""attack"": 48.1, ""balanced"": 48.3, ""defensive"": 49.9}"
2025-10-24,2025-10-27,NEUTRAL,NO_EDGE,0.55,0.1145,0.0,0.0797,0.3558,"{""core"": 47.2, ""attack"": 47.1, ""balanced"": 47.2, ""defensive"": 50.1}"
2025-10-27,2025-10-28,NEUTRAL,NO_EDGE,0.55,0.1123,0.0,0.0796,0.3581,"{""core"": 47.2, ""attack"": 47.0, ""balanced"": 47.2, ""defensive"": 50.9}"
2025-10-28,2025-10-29,NEUTRAL,NO_EDGE,0.55,0.113,0.0,0.0796,0.3574,"{""core"": 47.2, ""attack"": 47.2, ""balanced"": 47.2, ""defensive"": 50.8}"
2025-10-29,2025-10-30,NEUTRAL,NARROW_MOMENTUM,0.55,0.3004,0.0819,0.0546,0.1131,"{""core"": 46.9, ""attack"": 46.9, ""balanced"": 46.9, ""defensive"": 50.4}"
2025-10-30,2025-10-31,NEUTRAL,NARROW_MOMENTUM,0.55,0.3006,0.0819,0.0547,0.1128,"{""core"": 46.8, ""attack"": 46.8, ""balanced"": 46.8, ""defensive"": 50.0}"
2025-10-31,2025-11-03,NEUTRAL,NARROW_MOMENTUM,0.55,0.3077,0.0816,0.0524,0.1082,"{""core"": 47.1, ""attack"": 46.9, ""balanced"": 47.1, ""defensive"": 50.1}"
2025-11-03,2025-11-04,NEUTRAL,NO_EDGE,0.55,0.1138,0.0,0.0801,0.356,"{""core"": 47.2, ""attack"": 47.0, ""balanced"": 47.2, ""defensive"": 49.6}"
2025-11-04,2025-11-05,NEUTRAL,NO_EDGE,0.55,0.114,0.0,0.0802,0.3558,"{""core"": 47.2, ""attack"": 47.0, ""balanced"": 47.2, ""defensive"": 49.6}"
2025-11-05,2025-11-06,NEUTRAL,NO_EDGE,0.55,0.1133,0.0,0.0803,0.3564,"{""core"": 47.2, ""attack"": 47.0, ""balanced"": 47.2, ""defensive"": 49.6}"
2025-11-06,2025-11-07,NEUTRAL,NO_EDGE,0.55,0.114,0.0,0.0802,0.3558,"{""core"": 47.2, ""attack"": 47.0, ""balanced"": 47.2, ""defensive"": 49.6}"
2025-11-07,2025-11-10,NEUTRAL,NO_EDGE,0.55,0.1146,0.0,0.0798,0.3556,"{""core"": 46.3, ""attack"": 46.6, ""balanced"": 46.3, ""defensive"": 49.1}"
2025-11-10,2025-11-11,NEUTRAL,NO_EDGE,0.55,0.1149,0.0,0.08,0.3551,"{""core"": 46.7, ""attack"": 46.9, ""balanced"": 46.7, ""defensive"": 49.0}"
2025-11-11,2025-11-12,NEUTRAL,NO_EDGE,0.55,0.1149,0.0,0.08,0.355,"{""core"": 46.3, ""attack"": 46.6, ""balanced"": 46.3, ""defensive"": 48.6}"
