layer,source,field,field_present,non_null_ratio,missing_reason,strategy,row_count,non_null_count
source_definition,scoreRank/core/candle_pattern_features.py,pattern_score,True,,,,,
source_definition,scoreRank/core/candle_pattern_features.py,pattern_risk_level,True,,,,,
source_definition,scoreRank/core/candle_pattern_features.py,pattern_sentiment,True,,,,,
source_definition,scoreRank/core/candle_pattern_features.py,bullish_pattern_count,True,,,,,
source_definition,scoreRank/core/candle_pattern_features.py,bearish_pattern_count,True,,,,,
source_definition,scoreRank/core/candle_pattern_features.py,top_pattern_ids,True,,,,,
source_definition,scoreRank/cli/run_daily.py,pattern_score,True,,,,,
source_definition,scoreRank/cli/run_daily.py,pattern_risk_level,True,,,,,
source_definition,scoreRank/cli/run_daily.py,pattern_sentiment,True,,,,,
source_definition,scoreRank/cli/run_daily.py,bullish_pattern_count,True,,,,,
source_definition,scoreRank/cli/run_daily.py,bearish_pattern_count,True,,,,,
source_definition,scoreRank/cli/run_daily.py,top_pattern_ids,True,,,,,
source_definition,scripts/research_full_pool_liquidity_strategies.py,pattern_score,True,,,,,
source_definition,scripts/research_full_pool_liquidity_strategies.py,pattern_risk_level,True,,,,,
source_definition,scripts/research_full_pool_liquidity_strategies.py,pattern_sentiment,True,,,,,
source_definition,scripts/research_full_pool_liquidity_strategies.py,bullish_pattern_count,True,,,,,
source_definition,scripts/research_full_pool_liquidity_strategies.py,bearish_pattern_count,True,,,,,
source_definition,scripts/research_full_pool_liquidity_strategies.py,top_pattern_ids,True,,,,,
source_definition,scripts/research_trusted_strategy_account_backtest.py,pattern_score,True,,,,,
source_definition,scripts/research_trusted_strategy_account_backtest.py,pattern_risk_level,True,,,,,
source_definition,scripts/research_trusted_strategy_account_backtest.py,pattern_sentiment,True,,,,,
source_definition,scripts/research_trusted_strategy_account_backtest.py,bullish_pattern_count,True,,,,,
source_definition,scripts/research_trusted_strategy_account_backtest.py,bearish_pattern_count,True,,,,,
source_definition,scripts/research_trusted_strategy_account_backtest.py,top_pattern_ids,False,,field_not_defined_in_source_file,,,
raw_pattern_source,,pattern_score,False,0.0,source_not_provided,,0.0,0.0
raw_pattern_source,,pattern_risk_level,False,0.0,source_not_provided,,0.0,0.0
raw_pattern_source,,pattern_sentiment,False,0.0,source_not_provided,,0.0,0.0
