field,field_present,layer,missing_reason,non_null_count,non_null_ratio,row_count,source,strategy
pattern_score,True,source_definition,,,,,scoreRank/core/candle_pattern_features.py,
pattern_risk_level,True,source_definition,,,,,scoreRank/core/candle_pattern_features.py,
pattern_sentiment,True,source_definition,,,,,scoreRank/core/candle_pattern_features.py,
bullish_pattern_count,True,source_definition,,,,,scoreRank/core/candle_pattern_features.py,
bearish_pattern_count,True,source_definition,,,,,scoreRank/core/candle_pattern_features.py,
top_pattern_ids,True,source_definition,,,,,scoreRank/core/candle_pattern_features.py,
pattern_score,True,source_definition,,,,,scoreRank/cli/run_daily.py,
pattern_risk_level,True,source_definition,,,,,scoreRank/cli/run_daily.py,
pattern_sentiment,True,source_definition,,,,,scoreRank/cli/run_daily.py,
bullish_pattern_count,True,source_definition,,,,,scoreRank/cli/run_daily.py,
bearish_pattern_count,True,source_definition,,,,,scoreRank/cli/run_daily.py,
top_pattern_ids,True,source_definition,,,,,scoreRank/cli/run_daily.py,
pattern_score,True,source_definition,,,,,scripts/research_full_pool_liquidity_strategies.py,
pattern_risk_level,True,source_definition,,,,,scripts/research_full_pool_liquidity_strategies.py,
pattern_sentiment,True,source_definition,,,,,scripts/research_full_pool_liquidity_strategies.py,
bullish_pattern_count,True,source_definition,,,,,scripts/research_full_pool_liquidity_strategies.py,
bearish_pattern_count,True,source_definition,,,,,scripts/research_full_pool_liquidity_strategies.py,
top_pattern_ids,True,source_definition,,,,,scripts/research_full_pool_liquidity_strategies.py,
pattern_score,True,source_definition,,,,,scripts/research_trusted_strategy_account_backtest.py,
pattern_risk_level,True,source_definition,,,,,scripts/research_trusted_strategy_account_backtest.py,
pattern_sentiment,True,source_definition,,,,,scripts/research_trusted_strategy_account_backtest.py,
bullish_pattern_count,True,source_definition,,,,,scripts/research_trusted_strategy_account_backtest.py,
bearish_pattern_count,True,source_definition,,,,,scripts/research_trusted_strategy_account_backtest.py,
top_pattern_ids,True,source_definition,,,,,scripts/research_trusted_strategy_account_backtest.py,
pattern_score,False,raw_pattern_source,source_not_provided,0.0,0.0,0.0,,
pattern_risk_level,False,raw_pattern_source,source_not_provided,0.0,0.0,0.0,,
pattern_sentiment,False,raw_pattern_source,source_not_provided,0.0,0.0,0.0,,
bullish_pattern_count,False,raw_pattern_source,source_not_provided,0.0,0.0,0.0,,
bearish_pattern_count,False,raw_pattern_source,source_not_provided,0.0,0.0,0.0,,
top_pattern_ids,False,raw_pattern_source,source_not_provided,0.0,0.0,0.0,,
pattern_score,True,backtest_candidates_all_strategies,field_all_null,0.0,0.0,15350.0,exports/signal_research/20260619_070339_967843_trusted_account_backtest/trusted_account_backtest_candidates.csv,
pattern_risk_level,True,backtest_candidates_all_strategies,field_all_null,0.0,0.0,15350.0,exports/signal_research/20260619_070339_967843_trusted_account_backtest/trusted_account_backtest_candidates.csv,
pattern_sentiment,True,backtest_candidates_all_strategies,field_all_null,0.0,0.0,15350.0,exports/signal_research/20260619_070339_967843_trusted_account_backtest/trusted_account_backtest_candidates.csv,
bullish_pattern_count,True,backtest_candidates_all_strategies,field_all_null,0.0,0.0,15350.0,exports/signal_research/20260619_070339_967843_trusted_account_backtest/trusted_account_backtest_candidates.csv,
bearish_pattern_count,True,backtest_candidates_all_strategies,field_all_null,0.0,0.0,15350.0,exports/signal_research/20260619_070339_967843_trusted_account_backtest/trusted_account_backtest_candidates.csv,
top_pattern_ids,True,backtest_candidates_all_strategies,field_all_null,0.0,0.0,15350.0,exports/signal_research/20260619_070339_967843_trusted_account_backtest/trusted_account_backtest_candidates.csv,
pattern_score,True,backtest_candidates_target_strategy,field_all_null,0.0,0.0,3070.0,exports/signal_research/20260619_070339_967843_trusted_account_backtest/trusted_account_backtest_candidates.csv,production_governed_vol_position_v1_2b_gate_tuned
pattern_risk_level,True,backtest_candidates_target_strategy,field_all_null,0.0,0.0,3070.0,exports/signal_research/20260619_070339_967843_trusted_account_backtest/trusted_account_backtest_candidates.csv,production_governed_vol_position_v1_2b_gate_tuned
pattern_sentiment,True,backtest_candidates_target_strategy,field_all_null,0.0,0.0,3070.0,exports/signal_research/20260619_070339_967843_trusted_account_backtest/trusted_account_backtest_candidates.csv,production_governed_vol_position_v1_2b_gate_tuned
bullish_pattern_count,True,backtest_candidates_target_strategy,field_all_null,0.0,0.0,3070.0,exports/signal_research/20260619_070339_967843_trusted_account_backtest/trusted_account_backtest_candidates.csv,production_governed_vol_position_v1_2b_gate_tuned
bearish_pattern_count,True,backtest_candidates_target_strategy,field_all_null,0.0,0.0,3070.0,exports/signal_research/20260619_070339_967843_trusted_account_backtest/trusted_account_backtest_candidates.csv,production_governed_vol_position_v1_2b_gate_tuned
top_pattern_ids,True,backtest_candidates_target_strategy,field_all_null,0.0,0.0,3070.0,exports/signal_research/20260619_070339_967843_trusted_account_backtest/trusted_account_backtest_candidates.csv,production_governed_vol_position_v1_2b_gate_tuned
pattern_score,False,shadow_monitor,field_missing,0.0,0.0,20.0,exports/research_shadow_candidate/20260619_070407_research_shadow_candidate_monitor/research_shadow_candidate_monitor.csv,
pattern_risk_level,False,shadow_monitor,field_missing,0.0,0.0,20.0,exports/research_shadow_candidate/20260619_070407_research_shadow_candidate_monitor/research_shadow_candidate_monitor.csv,
