strategy,trade_date,industry,weight,market_value
baseline_full_liquidity_detail_market_gate,2023-09-08,半导体,0.9999308778217408,488524.55000000005
baseline_full_liquidity_detail_market_gate,2023-09-11,半导体,0.9999303584403991,484880.92
baseline_full_liquidity_detail_market_gate,2023-09-07,半导体,0.9999296301732123,479862.47
baseline_full_liquidity_detail_market_gate,2023-09-12,半导体,0.9999295368539628,479226.91000000003
baseline_full_liquidity_detail_market_gate,2023-09-13,半导体,0.9999284529534249,471966.36
baseline_full_liquidity_detail_market_gate,2023-09-14,半导体,0.9999275254545436,465925.9
baseline_full_liquidity_detail_market_gate,2024-09-02,银行,0.9985263964108406,276086.63
baseline_full_liquidity_detail_market_gate,2024-09-03,银行,0.9984815492560869,267920.43
baseline_full_liquidity_detail_market_gate,2024-09-04,银行,0.998474664928267,266709.38
baseline_full_liquidity_detail_market_gate,2024-08-30,银行,0.9963774260388243,273859.08
baseline_full_liquidity_detail_vol_position,2024-09-02,银行,0.9031577344493339,245883.36
baseline_full_liquidity_detail_vol_position,2024-09-04,银行,0.9000470411907239,237577.04
baseline_full_liquidity_detail_vol_position,2024-09-03,银行,0.8992564647785118,238469.41
baseline_full_liquidity_detail_vol_position,2024-08-30,银行,0.8988507529489556,243130.94
tiered_liquidity_then_bs_v2,2025-10-17,电气设备,0.8707148723360321,86102.63
baseline_full_liquidity_detail_vol_position,2023-09-07,半导体,0.857762462493665,402301.91000000003
baseline_full_liquidity_detail_vol_position,2023-09-08,半导体,0.8532578172300597,410274.85000000003
baseline_full_liquidity_detail_vol_position,2023-09-11,半导体,0.8521667236934785,407417.06
baseline_full_liquidity_detail_vol_position,2023-09-12,半导体,0.8495878909332508,403972.51
baseline_full_liquidity_detail_vol_position,2023-09-13,半导体,0.8474394695221736,397948.5
baseline_full_liquidity_detail_vol_position,2023-09-14,半导体,0.8445603343556594,392513.31
baseline_full_liquidity_detail_vol_position,2025-10-16,半导体,0.8351686974814342,311485.52
baseline_full_liquidity_detail_vol_position,2025-10-14,半导体,0.8339232096127106,316604.17000000004
baseline_full_liquidity_detail_vol_position,2025-10-15,半导体,0.8328334379331974,312566.33
baseline_full_liquidity_detail_vol_position,2025-10-13,半导体,0.8312860001782527,322421.02
