trough_date,drawdown,risk_decision,miss_reason
2026-03-31,-0.29287247008216444,"hard_reduce,normal",no_defensive_action_in_prior_10_calendar_days
2026-04-02,-0.28377861354100076,"hard_reduce,normal",no_defensive_action_in_prior_10_calendar_days
2026-04-03,-0.2809727670824079,"hard_reduce,normal",no_defensive_action_in_prior_10_calendar_days
2026-03-30,-0.28000921346339747,"hard_reduce,normal",no_defensive_action_in_prior_10_calendar_days
2026-04-07,-0.27696728557050776,"hard_reduce,normal",no_defensive_action_in_prior_10_calendar_days
2026-03-23,-0.27454739804521877,normal,no_defensive_action_in_prior_10_calendar_days
2026-04-01,-0.27430345597759864,"hard_reduce,normal",no_defensive_action_in_prior_10_calendar_days
2026-03-27,-0.27308441356299096,"hard_reduce,normal",no_defensive_action_in_prior_10_calendar_days
2026-02-11,-0.27101378532502907,"hard_reduce,normal",no_defensive_action_in_prior_10_calendar_days
2025-12-04,-0.27077252488289727,"hard_reduce,normal",no_defensive_action_in_prior_10_calendar_days
2026-03-26,-0.2686501830065604,normal,no_defensive_action_in_prior_10_calendar_days
2026-02-10,-0.2682790608573391,"hard_reduce,normal",no_defensive_action_in_prior_10_calendar_days
2025-11-24,-0.2648154638896919,normal,no_defensive_action_in_prior_10_calendar_days
2026-02-06,-0.26446427989909316,"hard_reduce,normal",no_defensive_action_in_prior_10_calendar_days
2026-03-24,-0.2640634869051758,normal,no_defensive_action_in_prior_10_calendar_days
2026-02-24,-0.2639470575769104,normal,no_defensive_action_in_prior_10_calendar_days
2026-03-20,-0.2620343673863952,normal,no_defensive_action_in_prior_10_calendar_days
2026-02-13,-0.26150844633871784,"hard_reduce,normal",no_defensive_action_in_prior_10_calendar_days
2026-02-12,-0.2611119554823109,"hard_reduce,normal",no_defensive_action_in_prior_10_calendar_days
2025-12-03,-0.26038292467471813,"hard_reduce,normal",no_defensive_action_in_prior_10_calendar_days
