strategy,trade_date,industry,weight,market_value
production_governed_vol_position_v1_2b_dynamic_score,2026-05-13,半导体,0.6241662021062818,280540.0
production_governed_vol_position_v1_2b_dynamic_score,2026-05-25,半导体,0.6125473857626643,325734.0
production_governed_vol_position_v1_2b_dynamic_score,2026-05-12,半导体,0.6118722198741925,267670.0
production_governed_vol_position_v1_2b_dynamic_score,2026-05-22,半导体,0.5988097506048925,300189.0
production_governed_vol_position_v1_2b_dynamic_score,2026-05-21,半导体,0.5830608992902404,279171.0
production_governed_vol_position_v1_2b_dynamic_score,2026-05-20,半导体,0.5756859887765715,275850.0
production_governed_vol_position_v1_2b_dynamic_score,2026-01-26,软件服务,0.5753947994693223,255835.0
production_governed_vol_position_v1_2b_dynamic_score,2026-01-16,软件服务,0.5742000280957321,244166.0
production_governed_vol_position_v1_2b_dynamic_score,2026-01-27,软件服务,0.5733320446908864,252253.0
production_governed_vol_position_v1_2b_dynamic_score,2026-01-22,软件服务,0.5637342122725046,240015.00000000003
production_governed_vol_position_v1_2b_dynamic_score,2026-01-23,软件服务,0.5632035456812778,241338.99999999997
production_governed_vol_position_v1_2b_dynamic_score,2026-01-19,软件服务,0.559488982741326,235062.99999999997
production_governed_vol_position_v1_2b_dynamic_score,2026-05-19,半导体,0.5591626625497188,256563.0
production_governed_vol_position_v1_2b_dynamic_score,2026-05-15,半导体,0.5588608023108568,248544.0
production_governed_vol_position_v1_2b_dynamic_score,2026-05-18,半导体,0.5543629879212142,249387.0
production_governed_vol_position_v1_2b_dynamic_score,2026-01-20,软件服务,0.5536490755854961,232283.0
production_governed_vol_position_v1_2b_dynamic_score,2026-05-14,半导体,0.5522835309481863,242454.0
production_governed_vol_position_v1_2b_dynamic_score,2026-01-21,软件服务,0.5521458363993272,230966.0
production_governed_vol_position_v1_2b_dynamic_score,2024-12-30,半导体,0.5048554633805387,228759.66
production_governed_vol_position_v1_2b_dynamic_score,2026-06-05,元器件,0.4934007514474525,271377.15
production_governed_vol_position_v1_2b_dynamic_score,2024-12-31,半导体,0.4928366855034977,217526.84
production_governed_vol_position_v1_2b_dynamic_score,2026-06-04,元器件,0.49258385323283393,274300.0
production_governed_vol_position_v1_2b_dynamic_score,2026-06-08,元器件,0.4918567439118644,264358.0
production_governed_vol_position_v1_2b_dynamic_score,2025-01-10,半导体,0.4907610530526682,213374.29
production_governed_vol_position_v1_2b_dynamic_score,2026-06-03,元器件,0.48716744778843546,268278.0
production_governed_vol_position_v1_2b_dynamic_score,2025-01-13,半导体,0.4849369482464233,207092.2
