trade_date,risk_decision,target_position_ratio,selected_strategy,reason
2023-11-29,normal,0.7,baseline_full_liquidity_detail_vol_position,defensive_weak_market_or_attack_industry_risk
2023-12-01,normal,0.7,baseline_full_liquidity_detail_vol_position,hold_min_state_5_days
2023-12-05,normal,0.7,baseline_full_liquidity_detail_vol_position,defensive_weak_market_or_attack_industry_risk
2023-12-06,normal,0.7,baseline_full_liquidity_detail_vol_position,defensive_weak_market_or_attack_industry_risk
2023-12-07,normal,0.7,baseline_full_liquidity_detail_vol_position,defensive_weak_market_or_attack_industry_risk
2023-12-08,normal,0.7,baseline_full_liquidity_detail_vol_position,defensive_weak_market_or_attack_industry_risk
2023-12-11,normal,0.7,baseline_full_liquidity_detail_vol_position,defensive_weak_market_or_attack_industry_risk
2023-12-12,normal,0.7,baseline_full_liquidity_detail_vol_position,defensive_weak_market_or_attack_industry_risk
2023-12-13,normal,0.7,baseline_full_liquidity_detail_vol_position,defensive_weak_market_or_attack_industry_risk
2023-12-14,reduce_position,0.45,baseline_full_liquidity_detail_vol_position,defensive_weak_market_or_attack_industry_risk
2023-12-15,reduce_position,0.45,baseline_full_liquidity_detail_vol_position,defensive_weak_market_or_attack_industry_risk
2023-12-18,reduce_position,0.45,baseline_full_liquidity_detail_vol_position,defensive_weak_market_or_attack_industry_risk
2023-12-19,reduce_position,0.45,baseline_full_liquidity_detail_vol_position,defensive_weak_market_or_attack_industry_risk
2023-12-20,reduce_position,0.45,baseline_full_liquidity_detail_vol_position,defensive_weak_market_or_attack_industry_risk
2023-12-21,reduce_position,0.45,baseline_full_liquidity_detail_vol_position,defensive_weak_market_or_attack_industry_risk
2023-12-22,reduce_position,0.45,baseline_full_liquidity_detail_vol_position,defensive_weak_market_or_attack_industry_risk
2023-12-25,reduce_position,0.45,baseline_full_liquidity_detail_vol_position,defensive_low_liquidity_weak_index
2023-12-26,reduce_position,0.45,baseline_full_liquidity_detail_vol_position,defensive_weak_market_or_attack_industry_risk
2023-12-27,reduce_position,0.45,baseline_full_liquidity_detail_vol_position,defensive_weak_market_or_attack_industry_risk
2023-12-28,reduce_position,0.45,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority
2023-12-29,reduce_position,0.45,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority
2024-01-02,reduce_position,0.45,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority
2024-01-03,reduce_position,0.45,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority
2024-01-04,reduce_position,0.45,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority
2024-01-05,reduce_position,0.45,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority
2024-01-08,reduce_position,0.45,baseline_full_liquidity_detail_vol_position,defensive_weak_market_or_attack_industry_risk
2024-01-09,reduce_position,0.45,baseline_full_liquidity_detail_vol_position,defensive_weak_market_or_attack_industry_risk
2024-01-10,reduce_position,0.45,baseline_full_liquidity_detail_vol_position,defensive_weak_market_or_attack_industry_risk
2024-01-11,reduce_position,0.45,baseline_full_liquidity_detail_vol_position,hold_min_state_5_days
2024-01-12,reduce_position,0.45,baseline_full_liquidity_detail_vol_position,hold_min_state_5_days
2024-01-15,reduce_position,0.45,baseline_full_liquidity_detail_vol_position,defensive_weak_market_or_attack_industry_risk
2024-01-16,reduce_position,0.45,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority
2024-01-17,reduce_position,0.45,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority
2024-01-18,reduce_position,0.45,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority
2024-01-19,reduce_position,0.45,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority
2024-01-22,reduce_position,0.45,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority
2024-01-23,reduce_position,0.45,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority
2024-01-24,reduce_position,0.45,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority
2024-01-25,reduce_position,0.45,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority
2024-01-26,reduce_position,0.45,baseline_full_liquidity_detail_vol_position,defensive_weak_market_or_attack_industry_risk
2024-01-29,reduce_position,0.45,baseline_full_liquidity_detail_vol_position,hold_min_state_5_days
2024-01-30,reduce_position,0.45,baseline_full_liquidity_detail_vol_position,defensive_weak_market_or_attack_industry_risk
2024-01-31,reduce_position,0.45,baseline_full_liquidity_detail_vol_position,defensive_weak_market_or_attack_industry_risk
2024-02-01,reduce_position,0.45,baseline_full_liquidity_detail_vol_position,defensive_weak_market_or_attack_industry_risk
2024-02-02,reduce_position,0.45,baseline_full_liquidity_detail_vol_position,defensive_weak_market_or_attack_industry_risk
2024-02-05,reduce_position,0.45,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority
2024-02-06,reduce_position,0.45,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority
