event_source_window,position_diff_bucket,shadow_recovery_status,shadow_risk_decision,top5_overlap_bucket,execution_feasibility,large_slippage_proxy_bucket,open_gap_proxy_bucket,estimated_turnover_impact_bucket,fp_explanation_label,event_count,positive_rate,cumulative_theory_gap,avg_theory_gap,median_theory_gap,max_drawdown_after_event,degraded_count
missing,0.05_0.10,recovered,recovery_reduce,full_overlap,degraded_large_slippage_proxy,3_5pct,3_5pct,le_0.5pct,unknown_pending_forward_return,2,0.5,-0.0099784199505945,-0.00498920997529725,-0.00498920997529725,,2
missing,0.05_0.10,recovered,recovery_reduce,full_overlap,degraded_large_slippage_proxy,3_5pct,le_1pct,le_0.5pct,unknown_pending_forward_return,1,1.0,0.0026316856271857,0.0026316856271857,0.0026316856271857,,1
missing,0.05_0.10,recovered,recovery_reduce,full_overlap,pass,1_3pct,1_3pct,le_0.5pct,unknown_pending_forward_return,15,0.5333333333333333,-0.0328247607627341,-0.002188317384182273,0.0005451907036762,,0
missing,0.05_0.10,recovered,recovery_reduce,full_overlap,pass,1_3pct,le_1pct,le_0.5pct,unknown_pending_forward_return,15,0.6666666666666666,0.08219146650591974,0.005479431100394649,0.0043091997037221,,0
missing,0.05_0.10,recovered,recovery_reduce,full_overlap,pass,le_1pct,le_1pct,le_0.5pct,unknown_pending_forward_return,18,0.5555555555555556,-0.008442547485464101,-0.00046903041585911673,0.00043109207564145,,0
missing,0.10_0.15,recovered,recovery_reduce,full_overlap,degraded_large_slippage_proxy,3_5pct,3_5pct,le_0.5pct,unknown_pending_forward_return,1,1.0,0.0237448032301719,0.0237448032301719,0.0237448032301719,,1
missing,0.10_0.15,recovered,recovery_reduce,full_overlap,pass,1_3pct,1_3pct,le_0.5pct,unknown_pending_forward_return,5,0.4,-0.011394603175722499,-0.0022789206351444997,-0.004390190814333,,0
missing,0.10_0.15,recovered,recovery_reduce,full_overlap,pass,le_1pct,le_1pct,le_0.5pct,unknown_pending_forward_return,2,0.0,-0.036988644522363695,-0.018494322261181848,-0.018494322261181848,,0
missing,zero,blocked_kill_switch,hard_reduce,full_overlap,pass,1_3pct,1_3pct,le_0.5pct,unknown_pending_forward_return,10,0.5,-0.0051632367739303,-0.00051632367739303,-6.324400494674999e-05,,0
missing,zero,blocked_kill_switch,hard_reduce,full_overlap,pass,1_3pct,le_1pct,le_0.5pct,unknown_pending_forward_return,10,0.5,0.02252365792294,0.002252365792294,0.00190409811815105,,0
missing,zero,blocked_kill_switch,hard_reduce,full_overlap,pass,le_1pct,le_1pct,le_0.5pct,unknown_pending_forward_return,11,0.7272727272727273,0.0243275617661283,0.0022115965241934817,0.0022063826328253,,0
missing,zero,blocked_recovery_streak_exceeded,reduce_position,full_overlap,pass,1_3pct,1_3pct,le_0.5pct,unknown_pending_forward_return,1,1.0,0.0082398183652847,0.0082398183652847,0.0082398183652847,,0
missing,zero,blocked_recovery_streak_exceeded,reduce_position,full_overlap,pass,1_3pct,le_1pct,le_0.5pct,unknown_pending_forward_return,2,0.5,-0.0148108129245124,-0.0074054064622562,-0.0074054064622562,,0
missing,zero,blocked_recovery_streak_exceeded,reduce_position,full_overlap,pass,le_1pct,le_1pct,le_0.5pct,unknown_pending_forward_return,5,0.4,0.005389416278541101,0.0010778832557082202,-0.0033723423064461,,0
