prev,curr,ret_diff,dd_diff,cal_diff,anomaly
A45,A46,0.0945,0.0338,0.1103,False
A46,A47,-0.1896,-0.0478,-0.2047,True
A47,A48,0.4505,0.0078,0.3983,True
A48,A49,-0.2159,0.0302,-0.156,True
A49,A50,-0.1716,-0.0609,-0.1839,True
A50,A51,0.1731,0.0231,0.1581,True
A51,A52,0.0054,-0.0159,-0.0052,False
A52,A53,-0.1683,-0.001,-0.1432,True
A53,A54,0.3208,0.0278,0.2891,True
A54,A55,-0.344,-0.0258,-0.3099,True
A55,A56,0.7641,0.0145,0.5954,True
A56,A57,-0.2328,-0.0045,-0.1648,True
A57,A58,-0.3904,-0.0204,-0.3123,True
A58,A59,-0.0925,-0.0073,-0.0784,False
A59,A60,0.0588,-0.0116,0.0446,False
A60,A61,0.0084,-0.0071,0.0043,False
A61,A62,0.0768,0.005,0.0595,False
A62,A63,-0.1008,-0.0065,-0.0783,False
A63,A64,-0.0146,-0.0178,-0.0152,False
A64,A65,-0.0802,0.0023,-0.0608,False
A65,A66,-0.0266,0.0045,-0.0211,False
A66,A67,0.0014,-0.0024,0.0012,False
A67,A68,0.2257,0.0028,0.1698,True
A68,A69,-0.2318,-0.0036,-0.1747,True
A69,A70,0.0334,-0.0429,0.0245,False
