period,position_pct,total_return,max_drawdown,calmar,cvar95,ulcer,max_dd_duration,worst_5d,n_days
2023,50,-0.036086,-0.072385,-0.5208,0.008371,0.015024,11,-0.041534,241
2023,55,-0.038541,-0.078459,-0.5132,0.009025,0.016215,11,-0.045229,241
2023,60,-0.04687,-0.119557,-0.4095,0.012913,0.026644,9,-0.111687,241
2023,65,-0.049533,-0.122249,-0.4232,0.013708,0.02741,9,-0.113853,241
2023,70,-0.049898,-0.124882,-0.4173,0.014114,0.028378,9,-0.116054,241
2024,50,-0.091929,-0.274676,-0.3478,0.034524,0.101236,148,-0.10961,242
2024,55,-0.104567,-0.31283,-0.3473,0.039419,0.113759,148,-0.118922,242
2024,60,-0.127834,-0.254801,-0.521,0.037671,0.106528,125,-0.133894,242
2024,65,-0.153617,-0.272379,-0.5853,0.039083,0.119951,125,-0.132952,242
2024,70,-0.184109,-0.318985,-0.5986,0.046257,0.141732,125,-0.144841,242
2025,50,-0.070352,-0.196442,-0.3709,0.029974,0.120509,192,-0.091685,243
2025,55,-0.009683,-0.173437,-0.0579,0.033149,0.096571,192,-0.105854,243
2025,60,-0.064472,-0.20665,-0.3231,0.036825,0.120796,200,-0.106583,243
2025,65,-0.03539,-0.204844,-0.179,0.04077,0.108283,145,-0.140187,243
2025,70,-0.040063,-0.231476,-0.1793,0.048224,0.128303,133,-0.151343,243
2026H1,50,0.299009,-0.143533,5.3317,0.048959,0.067244,83,-0.099308,116
2026H1,55,0.230285,-0.175125,3.2472,0.065134,0.102215,4,-0.117427,116
2026H1,60,0.488782,-0.184682,7.4392,0.059374,0.066696,25,-0.129764,116
2026H1,65,0.362441,-0.202271,4.7358,0.063564,0.083245,97,-0.136128,116
2026H1,70,0.425212,-0.173299,6.6889,0.061286,0.091394,81,-0.126135,116
2023-2024弱市,50,-0.139688,-0.274676,-0.2749,0.027191,0.075193,148,-0.10961,483
2023-2024弱市,55,-0.15528,-0.31283,-0.2694,0.030579,0.084288,148,-0.118922,483
2023-2024弱市,60,-0.1854,-0.258948,-0.3918,0.032611,0.084191,196,-0.133894,483
2023-2024弱市,65,-0.213323,-0.275313,-0.4274,0.034063,0.092862,196,-0.132952,483
2023-2024弱市,70,-0.243514,-0.318985,-0.4248,0.038434,0.10601,125,-0.144841,483
2025-2026强势,50,0.223816,-0.196442,0.7754,0.035669,0.106447,217,-0.099308,359
2025-2026强势,55,0.231653,-0.175125,0.8993,0.042688,0.098438,4,-0.117427,359
2025-2026强势,60,0.421858,-0.20665,1.3562,0.044075,0.10649,216,-0.129764,359
2025-2026强势,65,0.33424,-0.204844,1.0953,0.047769,0.100961,145,-0.140187,359
2025-2026强势,70,0.390028,-0.231476,1.1235,0.052714,0.117738,218,-0.151343,359
