curve,target_position,total_return,annualized_return,max_drawdown,sharpe,calmar,volatility,cvar95,ulcer,max_dd_duration,max_dd_recovery,worst_5d,worst_10d,worst_20d,max_loss_streak,avg_position_count,avg_actual_exposure,n_days
A45,0.45,0.071865,0.020988,-0.293045,0.0909,0.0716,0.230806,0.030762,0.147652,393,190,-0.115061,-0.101864,-0.136731,8,3.6,0.3155,842
A46,0.46,0.166392,0.047142,-0.259214,0.2111,0.1819,0.223328,0.031218,0.092526,148,23,-0.10725,-0.102685,-0.138872,7,3.7,0.3226,842
A47,0.47,-0.0232,-0.007001,-0.306983,-0.0337,-0.0228,0.207594,0.029621,0.15675,203,0,-0.09461,-0.103908,-0.143907,8,3.6,0.3301,842
A48,0.48,0.427274,0.112352,-0.299229,0.4985,0.3755,0.225394,0.031517,0.120767,153,28,-0.116058,-0.130012,-0.167692,10,3.6,0.3398,842
A49,0.49,0.211373,0.059068,-0.269046,0.2516,0.2195,0.234801,0.033616,0.095099,148,23,-0.106426,-0.104216,-0.14311,7,3.7,0.3444,842
A50,0.5,0.039766,0.011739,-0.329965,0.0536,0.0356,0.219031,0.031028,0.167794,394,135,-0.10961,-0.104804,-0.144762,8,3.6,0.3525,842
A51,0.51,0.212841,0.059452,-0.306906,0.2582,0.1937,0.230298,0.034782,0.119438,153,28,-0.115217,-0.131497,-0.171272,10,3.7,0.359,842
A52,0.52,0.218195,0.06085,-0.322767,0.2134,0.1885,0.28516,0.03586,0.162695,381,122,-0.158389,-0.129337,-0.169747,6,3.7,0.3676,842
A53,0.53,0.049895,0.014679,-0.323724,0.0562,0.0453,0.260978,0.035066,0.172651,394,135,-0.113891,-0.129534,-0.170789,6,3.7,0.3744,842
A54,0.54,0.370666,0.09896,-0.295954,0.4164,0.3344,0.237649,0.033377,0.138086,286,132,-0.122092,-0.117686,-0.152789,8,3.6,0.3827,842
A55,0.55,0.026631,0.007897,-0.321769,0.0296,0.0245,0.266805,0.035928,0.170829,259,0,-0.118922,-0.130823,-0.173902,8,3.7,0.3889,842
A56,0.56,0.790683,0.190489,-0.307314,0.6644,0.6199,0.286718,0.038797,0.139954,148,23,-0.140223,-0.144233,-0.178448,7,3.7,0.3981,842
A57,0.57,0.557896,0.14189,-0.311791,0.5161,0.4551,0.274944,0.038212,0.144732,284,175,-0.14112,-0.135334,-0.180304,6,3.6,0.4047,842
A58,0.58,0.16749,0.047437,-0.332237,0.1907,0.1428,0.248704,0.037184,0.151328,598,170,-0.138759,-0.150401,-0.166141,10,3.7,0.4116,842
A59,0.59,0.07497,0.021872,-0.339508,0.0874,0.0644,0.250192,0.037508,0.165778,613,118,-0.132824,-0.122769,-0.163317,10,3.7,0.4188,842
A60,0.6,0.133731,0.038279,-0.351144,0.1489,0.109,0.257125,0.038301,0.17093,613,118,-0.133894,-0.125739,-0.174298,10,3.7,0.4249,842
A61,0.61,0.142161,0.040584,-0.358232,0.1554,0.1133,0.2612,0.038996,0.167446,612,184,-0.144048,-0.158212,-0.17254,10,3.7,0.434,842
A62,0.62,0.218954,0.061048,-0.353209,0.2245,0.1728,0.271977,0.040945,0.162907,525,168,-0.144608,-0.151564,-0.179251,8,3.7,0.4415,842
A63,0.63,0.118185,0.033998,-0.359677,0.1268,0.0945,0.268039,0.040018,0.171168,534,177,-0.139562,-0.154429,-0.173842,10,3.7,0.4483,842
A64,0.64,0.103611,0.029946,-0.377504,0.1095,0.0793,0.273479,0.040914,0.183098,542,185,-0.140213,-0.157421,-0.178637,10,3.7,0.4558,842
A65,0.65,0.023366,0.006937,-0.37517,0.0255,0.0185,0.272061,0.040885,0.183244,621,193,-0.140187,-0.156689,-0.179357,10,3.7,0.4633,842
A66,0.66,-0.003193,-0.000957,-0.370705,-0.0035,-0.0026,0.271474,0.041716,0.188765,428,0,-0.148276,-0.160204,-0.19224,10,3.7,0.471,842
A67,0.67,-0.001759,-0.000527,-0.373068,-0.0018,-0.0014,0.298585,0.043514,0.187178,428,0,-0.143973,-0.16037,-0.197131,8,3.7,0.4785,842
A68,0.68,0.223898,0.062334,-0.370228,0.2141,0.1684,0.291183,0.042708,0.175087,597,169,-0.151211,-0.15249,-0.1968,10,3.7,0.4857,842
A69,0.69,-0.007865,-0.00236,-0.373876,-0.0083,-0.0063,0.285149,0.043462,0.193331,428,0,-0.146421,-0.159985,-0.204511,8,3.7,0.492,842
A70,0.7,0.025554,0.00758,-0.416778,0.0259,0.0182,0.292536,0.045603,0.217529,545,188,-0.151343,-0.178899,-0.199649,10,3.7,0.5008,842
