rank,strategy_id,candidate_type,eligible,annualized_return,max_drawdown,positive_quarter_ratio,calmar,cvar_95_daily,blockers
,adaptive_market_style,single,False,,,,,,missing_explicit_source
,alpha_decay_exit_v2,single,False,,,,,,missing_explicit_source
,alpha_risk_portfolio_v2,single,False,,,,,,missing_explicit_source
,ashare_auto_shadow,single,False,,,,,,missing_explicit_source
,ashare_hybrid_conservative_shadow,single,False,,,,,,missing_explicit_source
,ashare_trend_breakout_shadow,single,False,,,,,,missing_explicit_source
,baseline_full_liquidity_detail_vol_position,single,False,,,,,,missing_explicit_source
,dual_system_adaptive_route,single,False,,,,,,missing_explicit_source
,full_strategy_v3,single,False,,,,,,missing_explicit_source
,industry_neutral_alpha_v3,single,False,,,,,,missing_explicit_source
,market_exposure_governor_v1,composite,False,,,,,,missing_explicit_source
,meta_allocator_v1,composite,False,,,,,,missing_explicit_source
,production_governed_vol_position,single,False,,,,,,missing_explicit_source|baseline_reference_only
,production_governed_vol_position_v1_2b_dynamic_score,single,False,,,,,,missing_explicit_source
,production_governed_vol_position_v1_2b_execution_safe_uplift,single,False,,,,,,missing_explicit_source
,repair_reversal_shadow,single,False,,,,,,missing_explicit_source
,tiered_liquidity_then_bs_v2,single,False,,,,,,missing_explicit_source
