signal_date,rank_no,symbol,name,industry,rank_score,effective_weight,bs_score_v2,is_bs_candidate,index_bucket,market_liquidity_bucket,review_status,risk_tags
2026-06-22,1,300285,国瓷材料,陶瓷,95.91744186046512,0.07103651076050752,58.97,0,index_strong,high_liquidity,剔除,BS门禁偏弱;周内重复推荐
2026-06-22,2,301217,铜冠铜箔,元器件,95.7318992248062,0.08848113707945726,60.57,0,index_strong,high_liquidity,观察,
2026-06-22,3,600392,盛和资源,小金属,95.63011627906977,0.13074210105089407,58.33,1,index_strong,high_liquidity,剔除,BS门禁偏弱;周内重复推荐
2026-06-22,4,300857,协创数据,IT设备,95.49573643410852,0.10616857108855518,64.69,0,index_strong,high_liquidity,观察,周内重复推荐
2026-06-22,5,600378,昊华科技,化工原料,93.43081395348837,0.103571680020586,67.89,0,index_strong,high_liquidity,可用,
2026-06-23,1,002008,大族激光,专用机械,94.71629342632055,0.09999999999999999,57.33,1,index_neutral,normal_liquidity,剔除,BS门禁偏弱;周内重复推荐
2026-06-23,2,600392,盛和资源,小金属,94.42265271858453,0.09999999999999999,59.96,0,index_neutral,normal_liquidity,剔除,BS门禁偏弱;周内重复推荐
2026-06-23,3,300285,国瓷材料,陶瓷,94.39528606483275,0.09999999999999999,53.01,0,index_neutral,normal_liquidity,剔除,BS门禁偏弱;周内重复推荐
2026-06-23,4,300857,协创数据,IT设备,94.20975590856257,0.09999999999999999,61.62,0,index_neutral,normal_liquidity,观察,周内重复推荐
2026-06-23,5,603986,兆易创新,半导体,93.54052176159111,0.09999999999999999,65.77,0,index_neutral,normal_liquidity,可用,周内重复推荐
2026-06-24,1,002008,大族激光,专用机械,95.28212971926428,0.09999999999999999,69.93,0,index_neutral,normal_liquidity,可用,周内重复推荐
2026-06-24,2,603986,兆易创新,半导体,95.18995805098419,0.09999999999999999,55.65,0,index_neutral,normal_liquidity,剔除,BS门禁偏弱;周内重复推荐
2026-06-24,3,300857,协创数据,IT设备,94.98704098096161,0.09999999999999999,68.88,0,index_neutral,normal_liquidity,可用,周内重复推荐
2026-06-24,4,300285,国瓷材料,陶瓷,94.4192449177154,0.09999999999999999,55.6,0,index_neutral,normal_liquidity,剔除,BS门禁偏弱;周内重复推荐
2026-06-24,5,300373,扬杰科技,半导体,94.17921910293643,0.09999999999999999,63.21,0,index_neutral,normal_liquidity,观察,
2026-06-25,1,000021,深科技,元器件,95.05516172767771,0.09999999999999999,61.94,0,index_neutral,normal_liquidity,观察,周内重复推荐
2026-06-25,2,300285,国瓷材料,陶瓷,94.95927174123571,0.09999999999999999,55.86,0,index_neutral,normal_liquidity,剔除,BS门禁偏弱;周内重复推荐
2026-06-25,3,688110,东芯股份,半导体,94.78928529924464,0.09999999999999999,65.46,0,index_neutral,normal_liquidity,可用,行业集中;周内重复推荐
2026-06-25,4,688521,芯原股份,半导体,94.74989734650396,0.09999999999999999,67.96,0,index_neutral,normal_liquidity,可用,行业集中
2026-06-25,5,603986,兆易创新,半导体,94.5450629478985,0.09999999999999999,61.16,0,index_neutral,normal_liquidity,观察,行业集中;周内重复推荐
2026-06-26,1,000021,深科技,元器件,96.26150271107669,0.09999999999999999,57.13,0,index_neutral,normal_liquidity,剔除,BS门禁偏弱;周内重复推荐
2026-06-26,2,688110,东芯股份,半导体,96.20698683191326,0.09999999999999999,66.95,0,index_neutral,normal_liquidity,可用,行业集中;周内重复推荐
2026-06-26,3,002008,大族激光,专用机械,95.1390265943713,0.09999999999999999,65.13,0,index_neutral,normal_liquidity,可用,周内重复推荐
2026-06-26,4,001309,德明利,半导体,94.98225148463725,0.09999999999999999,66.69,0,index_neutral,normal_liquidity,可用,行业集中
2026-06-26,5,603986,兆易创新,半导体,94.59065582235993,0.09999999999999999,64.42,0,index_neutral,normal_liquidity,观察,行业集中;周内重复推荐
